dataset	compartment	sample	patient	timepoint	response_raw	gene	value	metric	probe
GSE111414	PBMC_CD8	373_N1	Patient BS373	N1	responder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	373_N2	Patient BS373	N2	responder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	375_N1	Patient BS375	N1	nonresponder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	375_N2	Patient BS375	N2	nonresponder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	379_N1	Patient BS379	N1	nonresponder	TACSTD2	0.17554784792258693	log2CPM	
GSE111414	PBMC_CD8	379_N4	Patient BS379	N4	nonresponder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	381_N1	Patient BS381	N1	responder	TACSTD2	0.26884144756039163	log2CPM	
GSE111414	PBMC_CD8	381_N2	Patient BS381	N2	responder	TACSTD2	0.5845055818883895	log2CPM	
GSE111414	PBMC_CD8	385_N1	Patient BS385	N1	responder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	385_N2	Patient BS385	N2	responder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	391_N1	Patient BS391	N1	nonresponder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	391_N2	Patient BS391	N2	nonresponder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	394_N1	Patient BS394	N1	responder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	394_N2	Patient BS394	N2	responder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	395_N1	Patient BS395	N1	responder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	395_N2	Patient BS395	N2	responder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	409_N1	Patient BS409	N1	nonresponder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	409_N2	Patient BS409	N2	nonresponder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	418_N1	Patient BS418	N1	nonresponder	TACSTD2	0.0658259836075739	log2CPM	
GSE111414	PBMC_CD8	418_N2	Patient BS418	N2	nonresponder	TACSTD2	0.0	log2CPM	
GSE111414	PBMC_CD8	373_N1	Patient BS373	N1	responder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	373_N2	Patient BS373	N2	responder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	375_N1	Patient BS375	N1	nonresponder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	375_N2	Patient BS375	N2	nonresponder	CLDN4	0.21515170891079555	log2CPM	
GSE111414	PBMC_CD8	379_N1	Patient BS379	N1	nonresponder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	379_N4	Patient BS379	N4	nonresponder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	381_N1	Patient BS381	N1	responder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	381_N2	Patient BS381	N2	responder	CLDN4	0.07793037654244117	log2CPM	
GSE111414	PBMC_CD8	385_N1	Patient BS385	N1	responder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	385_N2	Patient BS385	N2	responder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	391_N1	Patient BS391	N1	nonresponder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	391_N2	Patient BS391	N2	nonresponder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	394_N1	Patient BS394	N1	responder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	394_N2	Patient BS394	N2	responder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	395_N1	Patient BS395	N1	responder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	395_N2	Patient BS395	N2	responder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	409_N1	Patient BS409	N1	nonresponder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	409_N2	Patient BS409	N2	nonresponder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	418_N1	Patient BS418	N1	nonresponder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	418_N2	Patient BS418	N2	nonresponder	CLDN4	0.0	log2CPM	
GSE111414	PBMC_CD8	373_N1	Patient BS373	N1	responder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	373_N2	Patient BS373	N2	responder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	375_N1	Patient BS375	N1	nonresponder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	375_N2	Patient BS375	N2	nonresponder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	379_N1	Patient BS379	N1	nonresponder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	379_N4	Patient BS379	N4	nonresponder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	381_N1	Patient BS381	N1	responder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	381_N2	Patient BS381	N2	responder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	385_N1	Patient BS385	N1	responder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	385_N2	Patient BS385	N2	responder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	391_N1	Patient BS391	N1	nonresponder	EPCAM	0.5818997368188474	log2CPM	
GSE111414	PBMC_CD8	391_N2	Patient BS391	N2	nonresponder	EPCAM	0.14569364732598042	log2CPM	
GSE111414	PBMC_CD8	394_N1	Patient BS394	N1	responder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	394_N2	Patient BS394	N2	responder	EPCAM	0.9258534863636133	log2CPM	
GSE111414	PBMC_CD8	395_N1	Patient BS395	N1	responder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	395_N2	Patient BS395	N2	responder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	409_N1	Patient BS409	N1	nonresponder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	409_N2	Patient BS409	N2	nonresponder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	418_N1	Patient BS418	N1	nonresponder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	418_N2	Patient BS418	N2	nonresponder	EPCAM	0.0	log2CPM	
GSE111414	PBMC_CD8	373_N1	Patient BS373	N1	responder	KRT8	0.37604526900710333	log2CPM	
GSE111414	PBMC_CD8	373_N2	Patient BS373	N2	responder	KRT8	0.3479578303678797	log2CPM	
GSE111414	PBMC_CD8	375_N1	Patient BS375	N1	nonresponder	KRT8	0.20807411307554968	log2CPM	
GSE111414	PBMC_CD8	375_N2	Patient BS375	N2	nonresponder	KRT8	0.0	log2CPM	
GSE111414	PBMC_CD8	379_N1	Patient BS379	N1	nonresponder	KRT8	0.17554784792258693	log2CPM	
GSE111414	PBMC_CD8	379_N4	Patient BS379	N4	nonresponder	KRT8	0.33442624448245095	log2CPM	
