dataset	gene	n_cells	frac_detected	mean_count
GSE285888	TACSTD2	222144	0.0008057836358398156	0.0009408311725727456
GSE285888	PTPRC	222144	0.9777261596081821	11.797824834341688
GSE285888	EPCAM	222144	0.00081028522039758	0.0008507994814174589
GSE285888	CD8A	222144	0.15731237395563238	0.36822511524056467
GSE285888	IL1B	222144	0.12586430423509076	0.717948717948718
GSE285888	CXCL8	222144	0.1274488619994238	1.1462834917891098
GSE285888	CLDN4	222144	0.0018186401613367906	0.0019221766061653701
GSE285888	PRF1	222144	0.28895221117833475	0.9933781691155287
GSE285888	CD3D	222144	0.4624387784500144	1.769235270815327
GSE285888	KRT8	222144	0.0037948357821953327	0.004105445116681072
GSE285888	KRT18	222144	0.00914271823681936	0.00961988619994238
GSE285888	GZMB	222144	0.2724043863439931	1.5551083981561509
