regulon	tf	program	kind	n_targets	elf3_given	n_patients_paired	n_GSE131907	n_GSE205335	delta_median_high_minus_low	p	wilcoxon_stat	delta_GSE131907	p_GSE131907	delta_GSE205335	p_GSE205335	note	targets	n_cells	n_patients	fdr
IFN		IFN	program_set	222	False	50.0	29.0	21.0	-0.00027751687474720024	0.3325668996889135	536.0	-0.00017685519375931769	0.7493221610784531	-0.000979813921822413	0.35541629791259766	program gene-set AUCell; not a TF regulon	ADAR;APOL6;ARID5B;ARL4A;AUTS2;B2M;BANK1;BATF2;BPGM;BST2;BTG1;C1R;C1S;CASP1;CASP3;CASP4;CASP7;CASP8;CCL2;CCL5;CCL7;CCRL2;CD274;CD38;CD40;CD47;CD69;CD74;CD86;CDKN1A;CFB;CFH;CIITA;CMKLR1;CMPK2;CMTR1;CNP;CSF1;CSF2RB;CXCL10;CXCL11;CXCL9;DDX58;DDX60;DHX58;EIF2AK2;EIF4E3;ELF1;EPSTI1;FAS;FCGR1A;FGL2;FPR1;GBP2;GBP4;GBP6;GCH1;GMPR;GPR18;GZMA;HELZ2;HERC6;HIF1A;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DQA1;HLA-DRB1;HLA-G;ICAM1;IDO1;IFI27;IFI30;IFI35;IFI44;IFI44L;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IFITM2;IFITM3;IFNAR2;IL10RA;IL15;IL15RA;IL18BP;IL2RB;IL4R;IL6;IL7;IRF1;IRF2;IRF4;IRF5;IRF7;IRF8;IRF9;ISG15;ISG20;ISOC1;ITGB7;JAK2;KLRK1;LAMP3;LAP3;LATS2;LCP2;LGALS3BP;LPAR6;LY6E;LYSMD2;METTL7B;MOV10;MT2A;MTHFD2;MVB12A;MVP;MX1;MX2;MYD88;NAMPT;NCOA3;NCOA7;NFKB1;NFKBIA;NLRC5;NMI;NOD1;NUB1;NUP93;OAS1;OAS2;OAS3;OASL;OGFR;P2RY14;PARP12;PARP14;PARP9;PDE4B;PELI1;PFKP;PIM1;PLA2G4A;PLSCR1;PML;PNP;PNPT1;PROCR;PSMA2;PSMA3;PSMB10;PSMB2;PSMB8;PSMB9;PSME1;PSME2;PTGS2;PTPN1;PTPN2;PTPN6;RAPGEF6;RBCK1;RIPK1;RIPK2;RNF213;RNF31;RSAD2;RTP4;SAMD9;SAMD9L;SAMHD1;SECTM1;SELL;SELP;SERPING1;SLAMF7;SLC25A28;SOCS1;SOCS3;SOD2;SP110;SPPL2A;SRI;SSPN;ST3GAL5;ST8SIA4;STAT1;STAT2;STAT3;STAT4;TAP1;TAPBP;TDRD7;TENT5A;TMEM140;TNFAIP2;TNFAIP3;TNFAIP6;TNFSF10;TOR1B;TRAFD1;TRIM14;TRIM21;TRIM25;TRIM26;TRIM5;TXNIP;UBA7;UBE2L6;UPP1;USP18;VAMP5;VAMP8;VCAM1;XAF1;XCL1;ZBP1;ZNFX1			0.3959129758201351
IFN_IFNA		IFN_IFNA	program_set	96	False	50.0	29.0	21.0	-0.0009498286774819575	0.0857934137886982	459.0	-0.0004960317460317304	0.44202057644724846	-0.002152808884632613	0.10321426391601562	program gene-set AUCell; not a TF regulon	ADAR;B2M;BATF2;BST2;C1S;CASP1;CASP8;CCRL2;CD47;CD74;CMPK2;CMTR1;CNP;CSF1;CXCL10;CXCL11;DDX60;DHX58;EIF2AK2;ELF1;EPSTI1;GBP2;GBP4;GMPR;HELZ2;HERC6;HLA-C;IFI27;IFI30;IFI35;IFI44;IFI44L;IFIH1;IFIT2;IFIT3;IFITM1;IFITM2;IFITM3;IL15;IL4R;IL7;IRF1;IRF2;IRF7;IRF9;ISG15;ISG20;LAMP3;LAP3;LGALS3BP;LPAR6;LY6E;MOV10;MVB12A;MX1;NCOA7;NMI;NUB1;OAS1;OASL;OGFR;PARP12;PARP14;PARP9;PLSCR1;PNPT1;PROCR;PSMA3;PSMB8;PSMB9;PSME1;PSME2;RIPK2;RNF31;RSAD2;RTP4;SAMD9;SAMD9L;SELL;SLC25A28;SP110;STAT2;TAP1;TDRD7;TENT5A;TMEM140;TRAFD1;TRIM14;TRIM21;TRIM25;TRIM26;TRIM5;TXNIP;UBA7;UBE2L6;USP18			0.1128860707746029
IFN_IFNG		IFN_IFNG	program_set	198	False	50.0	29.0	21.0	-0.0006887598058586374	0.11393994202132163	473.0	-0.0005452550152474714	0.33573371544480324	-0.0010772013161907366	0.2428417205810547	program gene-set AUCell; not a TF regulon	ADAR;APOL6;ARID5B;ARL4A;AUTS2;B2M;BANK1;BATF2;BPGM;BST2;BTG1;C1R;C1S;CASP1;CASP3;CASP4;CASP7;CASP8;CCL2;CCL5;CCL7;CD274;CD38;CD40;CD69;CD74;CD86;CDKN1A;CFB;CFH;CIITA;CMKLR1;CMPK2;CMTR1;CSF2RB;CXCL10;CXCL11;CXCL9;DDX58;DDX60;DHX58;EIF2AK2;EIF4E3;EPSTI1;FAS;FCGR1A;FGL2;FPR1;GBP4;GBP6;GCH1;GPR18;GZMA;HELZ2;HERC6;HIF1A;HLA-A;HLA-B;HLA-DMA;HLA-DQA1;HLA-DRB1;HLA-G;ICAM1;IDO1;IFI27;IFI30;IFI35;IFI44;IFI44L;IFIH1;IFIT1;IFIT2;IFIT3;IFITM2;IFITM3;IFNAR2;IL10RA;IL15;IL15RA;IL18BP;IL2RB;IL4R;IL6;IL7;IRF1;IRF2;IRF4;IRF5;IRF7;IRF8;IRF9;ISG15;ISG20;ISOC1;ITGB7;JAK2;KLRK1;LAP3;LATS2;LCP2;LGALS3BP;LY6E;LYSMD2;METTL7B;MT2A;MTHFD2;MVP;MX1;MX2;MYD88;NAMPT;NCOA3;NFKB1;NFKBIA;NLRC5;NMI;NOD1;NUP93;OAS2;OAS3;OASL;OGFR;P2RY14;PARP12;PARP14;PDE4B;PELI1;PFKP;PIM1;PLA2G4A;PLSCR1;PML;PNP;PNPT1;PSMA2;PSMA3;PSMB10;PSMB2;PSMB8;PSMB9;PSME1;PSME2;PTGS2;PTPN1;PTPN2;PTPN6;RAPGEF6;RBCK1;RIPK1;RIPK2;RNF213;RNF31;RSAD2;RTP4;SAMD9L;SAMHD1;SECTM1;SELP;SERPING1;SLAMF7;SLC25A28;SOCS1;SOCS3;SOD2;SP110;SPPL2A;SRI;SSPN;ST3GAL5;ST8SIA4;STAT1;STAT2;STAT3;STAT4;TAP1;TAPBP;TDRD7;TNFAIP2;TNFAIP3;TNFAIP6;TNFSF10;TOR1B;TRAFD1;TRIM14;TRIM21;TRIM25;TRIM26;TXNIP;UBE2L6;UPP1;USP18;VAMP5;VAMP8;VCAM1;XAF1;XCL1;ZBP1;ZNFX1			0.14607684874528412
MHC_I		MHC_I	program_set	21	False	50.0	29.0	21.0	0.0062251022286959334	0.002799360749817126	333.0	0.006409521261006412	0.007456466555595398	0.0034735251950851476	0.11105823516845703	program gene-set AUCell; not a TF regulon	B2M;CALR;CANX;ERAP1;ERAP2;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-G;IRF1;NLRC5;PDIA3;PSMB10;PSMB8;PSMB9;TAP1;TAP2;TAPBP;TAPBPL			0.0042414556815410995
TJ		TJ	program_set	80	False	50.0	29.0	21.0	0.0011217439083658944	0.0001941578147395262	264.0	0.0006310766211756365	0.020265981554985046	0.0013340284563215718	0.004284858703613281	program gene-set AUCell; not a TF regulon	ABCC8;ACTG1;AFDN;APC;ARL2;CDH5;CHAF1B;CLDN1;CLDN10;CLDN11;CLDN12;CLDN14;CLDN15;CLDN16;CLDN17;CLDN18;CLDN19;CLDN2;CLDN20;CLDN22;CLDN23;CLDN24;CLDN25;CLDN3;CLDN34;CLDN5;CLDN6;CLDN7;CLDN8;CLDN9;DLG1;ECT2;EPHA2;EPHB2;ESAM;EXT1;F11R;FRMPD2;FZD5;GPBAR1;GRHL2;IKBKB;IL17A;ILDR1;LSR;MARVELD2;MARVELD3;MICALL2;MPDZ;MPP7;MYO1C;NPHP1;NPHP4;OCEL1;OCLN;PAK2;PARD3;PATJ;PDCD6IP;PECAM1;PLEC;POF1B;PRKACA;PRKCH;RAB13;RAMP2;ROCK1;ROCK2;SLC39A9;SNAI1;SNAI2;SRF;STRN;SVEP1;TBCD;TGFB3;TGFBR1;TJP1;TNF;WNT11			0.00033475485299918316
keratin		keratin	program_set	109	False	50.0	29.0	21.0	0.001991066536819715	1.9077969426462005e-08	109.0	0.0015873322315257607	4.700571298599243e-05	0.006434809367474845	0.00024127960205078125	program gene-set AUCell; not a TF regulon	ABCA12;ADAM9;AKR1C3;ANXA1;ASAH1;BCR;CASP14;CASP3;CDH3;CDSN;CERS3;CFLAR;CLIC4;CNFN;CSTA;CYP26B1;DSP;EPHA2;EREG;EVPL;EXPH5;FGFR1;HRNR;IL1A;IVL;JAG1;KAZN;KLK5;KRT1;KRT10;KRT13;KRT14;KRT15;KRT16;KRT17;KRT18;KRT19;KRT2;KRT20;KRT3;KRT4;KRT5;KRT6A;KRT6B;KRT6C;KRT7;KRT71;KRT72;KRT73;KRT74;KRT75;KRT76;KRT77;KRT78;KRT79;KRT8;KRT80;KRT81;KRT82;KRT83;KRT84;KRT85;KRT86;KRTAP6-1;KRTAP6-3;LCE1A;LCE1B;LCE1C;LCE1D;LCE1E;LCE1F;LCE2C;LCE3A;LCE3D;LCE3E;LCE5A;LCE6A;LIPK;LIPM;LIPN;MED1;OPN3;PIP5K1A;POU2F3;PPHLN1;PPL;PPP3CA;S100A7;SCEL;SFN;SHARPIN;SPRR1A;SPRR1B;SPRR2B;SPRR2D;SPRR2E;SPRR2F;SPRR2G;SPRR3;SPRR4;ST14;TCHH;TGM1;TGM3;TMEM79;TXNIP;UGCG;WNT16;WNT5A			6.359323142154002e-08
APICAL_JUNCTION		APICAL_JUNCTION	program_set	199	False	50.0	29.0	21.0	-0.0012877445426996946	4.792291008470784e-10	69.0	-0.0010801084615016006	0.0001104697585105896	-0.0028943799981690395	1.9073486328125e-06	program gene-set AUCell; not a TF regulon	ACTA1;ACTB;ACTC1;ACTG1;ACTG2;ACTN1;ACTN2;ACTN3;ACTN4;ADAM15;ADAM23;ADAM9;ADAMTS5;ADRA1B;AKT2;AKT3;ALOX15B;AMH;AMIGO1;AMIGO2;ARHGEF6;ARPC2;ATP1A3;B4GALT1;BAIAP2;BMP1;CADM2;CADM3;CALB2;CAP1;CD209;CD274;CD276;CD34;CD86;CD99;CDH1;CDH11;CDH15;CDH3;CDH4;CDH6;CDH8;CDK8;CDSN;CERCAM;CLDN11;CLDN14;CLDN15;CLDN18;CLDN19;CLDN5;CLDN6;CLDN7;CLDN8;CLDN9;CNN2;CNTN1;COL16A1;COL17A1;COL9A1;CRAT;CRB3;CTNNA1;CTNND1;CX3CL1;DHX16;DLG1;DMP1;DSC1;DSC3;EGFR;EPB41L2;EVL;EXOC4;FBN1;FLNC;FSCN1;FYB1;GAMT;GNAI1;GNAI2;GRB7;GTF2F1;HADH;HRAS;ICAM1;ICAM2;ICAM4;ICAM5;IKBKG;INPPL1;INSIG1;IRS1;ITGA10;ITGA2;ITGA3;ITGA9;ITGB1;ITGB4;JAM3;JUP;KCNH2;KRT31;LAMA3;LAMB3;LAMC2;LAYN;LDLRAP1;LIMA1;MADCAM1;MAP3K20;MAP4K2;MAPK11;MAPK13;MAPK14;MDK;MMP2;MMP9;MPP5;MPZL1;MPZL2;MSN;MVD;MYH10;MYH9;MYL12B;MYL9;NECTIN1;NECTIN2;NECTIN3;NECTIN4;NEGR1;NEXN;NF1;NF2;NFASC;NLGN2;NLGN3;NRAP;NRTN;NRXN2;PARD6G;PARVA;PBX2;PCDH1;PDZD3;PECAM1;PFN1;PIK3CB;PIK3R3;PKD1;PLCG1;PPP2R2C;PTEN;PTK2;PTPRC;RAC2;RASA1;RHOF;RRAS;RSU1;SDC3;SGCE;SHC1;SHROOM2;SIRPA;SKAP2;SLC30A3;SLIT2;SORBS3;SPEG;SRC;STX4;SYK;SYMPK;TAOK2;TGFBI;THBS3;THY1;TIAL1;TJP1;TMEM8B;TNFRSF11B;TRAF1;TRO;TSC1;TSPAN4;TUBG1;VASP;VAV2;VCAM1;VCAN;VCL;VWF;WASL;WNK4;YWHAH;ZYX			2.396145504235392e-09
STAT1_prior	STAT1	IFN	public_prior	856	False	50.0	29.0	21.0	1.7305152086704786e-05	0.7089524432753507	598.0	7.181263409741095e-05	0.08774079009890556	-0.00012043460087296856	0.20291709899902344	public prior AUCell; not cisTarget; not ChIP	A2M;AAK1;ABCA1;ABCB1;ABCC8;ABL1;ACAT1;ACSL1;ACSL5;ACTB;ADAMTS4;ADAR;ADCY7;AFF1;AGFG2;AGT;AHNAK;AIM2;AK2;AKAP13;AKT1;ALCAM;ALDH1A2;AMPD3;ANKRD44;ANXA1;AOX1;AP3D1;AP3S2;APOC2;APOE;APOL4;APOL6;APP;ARHGAP15;ARHGAP25;ARHGAP26;ARHGEF10L;ARHGEF2;ARHGEF3;ARID1A;ARID5B;ARSG;ASAP1;ATG4C;ATP11C;ATP6V0A1;ATP8B4;ATR;ATXN1;B3GAT3;BACE1;BANP;BAX;BCAR3;BCAT1;BCL11A;BCL2;BCL2L14;BCL3;BCL6;BCOR;BCR;BHLHE40;BIN1;BIRC2;BLVRA;BRD8;BST2;BTBD1;C1QB;CACNA1A;CASP2;CASP3;CASP4;CASP7;CASP8;CAST;CCDC12;CCDC88C;CCL1;CCL11;CCL19;CCL2;CCL3;CCL5;CCL8;CCN2;CCND1;CCND2;CCND3;CCR1;CCR5;CD14;CD180;CD200;CD22;CD274;CD36;CD40;CD40LG;CD44;CD69;CD79A;CD82;CD83;CD86;CDC42EP3;CDC42SE2;CDC7;CDH23;CDK19;CDK5RAP2;CDK6;CDK8;CDKN1A;CDKN1B;CEBPD;CEBPE;CELF1;CEMIP2;CFAP46;CFB;CFH;CFLAR;CFTR;CH25H;CHAT;CHD9;CHN2;CHST15;CIITA;CISH;CLC;CLIC2;CLIP2;CLU;CMKLR1;CMTM7;CNTF;COL1A1;COL1A2;COL2A1;COPS5;CPQ;CREB5;CREBBP;CREM;CRYBG1;CSF1;CSN2;CSNK2A2;CTSB;CTSL;CUEDC1;CUX1;CX3CL1;CXCL10;CXCL11;CXCL8;CXCL9;CYBB;CYP19A1;CYTH1;CYTH4;DAPK1;DCLRE1C;DDX50;DEFB4B;DENND3;DGKG;DIAPH1;DIMT1;DLEU1;DMXL2;DNAJB12;DNM2;DNMT1;DOCK10;DOCK4;DOCK8;DPYSL2;DSE;DTNB;DTNBP1;DUOX2;DUSP10;DUSP22;EARS2;ECE1;EDEM2;EDN1;EEF2K;EGFR;EGLN3;EHD1;EIF2AK1;EIF2AK2;EIF2AK3;EIF4E;ELF1;ELF5;ELL;ELMO1;ELP3;EMC2;ENPP2;EPB41L3;ERC2;ERCC1;ERGIC1;ERN1;ESR1;ESR2;ETV6;ETV7;FAM78A;FAS;FASLG;FBXO5;FCGR1A;FCGR3A;FCGRT;FCHSD2;FGF2;FGFR1;FGFR3;FGGY;FGL2;FHAD1;FKBP5;FNBP1;FNDC3B;FNIP2;FOS;FOXK1;FOXN3;FOXO3;FOXP1;FOXP3;FRMD4B;FSCN1;FYB1;FYN;GAB2;GADD45A;GAS7;GAST;GATA3;GBP1;GBP2;GCK;GCNT2;GFI1;GLIPR2;GLIS3;GLS;GM2A;GNA12;GNAI2;GPCPD1;GPD2;GPR107;GPR132;GPR141;GPR146;GRAMD1A;GRAMD1B;GRB2;GREB1;GRK2;GSAP;GSE1;GSN;GSTK1;HAMP;HCFC1;HDAC4;HDAC7;HDAC9;HIVEP2;HIVEP3;HK1;HK2;HLA-A;HLA-DMA;HLA-DMB;HLA-DQA2;HLA-DRB1;HLA-E;HLX;HM13;HMGB1;HMOX1;HNRNPR;HOOK2;HPCAL1;HSP90AA1;HSPA4;HSPB1;HSPG2;HTRA1;ICAM1;IDO1;IDO2;IER5;IFI27;IFI30;IFI35;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IFNA1;IFNB1;IFNG;IFNGR1;IFNGR2;IFNL3;IFNLR1;IGF1;IGF1R;IGF2R;IGFBP3;IGFLR1;IL10;IL12A;IL12B;IL12RB1;IL12RB2;IL13;IL15;IL16;IL17A;IL17D;IL17RA;IL18BP;IL1B;IL1R1;IL21;IL21R;IL27;IL2RA;IL4;IL4R;IL6;IL6R;IL6ST;IL7R;INO80;INPP4A;INPP5D;IPCEF1;IQGAP2;IQSEC1;IRF1;IRF2;IRF7;IRF8;IRF9;ISG15;ISG20;ITGB1;ITGB2;ITPR1;IVL;JADE2;JAK1;JAK2;JMJD1C;JUN;JUNB;KCNJ15;KCNMA1;KDM6B;KIF2A;KITLG;KLF4;KLF6;KLF7;KLF9;KLHL6;KRT17;KRT79;KYNU;LAMA3;LAP3;LAPTM4B;LAPTM5;LAT;LCN2;LCP2;LDLR;LGALS3;LHFPL2;LIMD1;LIMS1;LINC00299;LIPA;LITAF;LMNA;LMO2;LONP1;LPL;LPP;LRCH1;LRRFIP1;LY96;LYN;MACF1;MAD1L1;MAML3;MAN1A1;MAP1LC3B;MAP3K14;MAP3K5;MAP3K8;MAPK1;MAPKAPK2;MAPKAPK3;MARK3;MAT2A;MBNL1;MBP;MCF2L;MCF2L2;MCL1;MCTP1;MDC1;MDM2;MED15;MED16;MED23;MEF2D;MET;METTL9;MGAT1;MGLL;MGRN1;MLC1;MMP13;MMP7;MMP9;MNT;MPZL1;MRTFA;MSN;MSR1;MTMR9;MTSS1;MUC1;MUC4;MVP;MX1;MYC;MYD88;MYH9;MYO18A;MYO9B;MYOF;N4BP1;NAA35;NABP1;NCF2;NCL;NCOA7;NCOR2;NEDD4L;NEDD9;NEK6;NFE2L2;NFKB1;NFKBIZ;NIBAN1;NIBAN2;NLRC5;NLRP3;NMI;NOS2;NOX1;NOX4;NOX5;NPAT;NR1H4;NR3C1;NR4A2;NRP1;NRP2;OAS1;OAS2;OAS3;OASL;OPRM1;OSBPL3;OSM;P2RY6;PACSIN2;PARK7;PARP14;PDE4B;PDE4D;PDGFB;PFKFB3;PGS1;PHACTR2;PIAS1;PIK3AP1;PIK3CB;PIK3R1;PIK3R5;PIM1;PIP4K2A;PKIG;PLAC8;PLAU;PLB1;PLCB1;PLCG1;PLCG2;PLEC;PLEKHA2;PLEKHG3;PLEKHO1;PLSCR1;PLXNC1;PMAIP1;PML;POLA1;POLR1A;POMC;POU2F2;POU3F1;PPARA;PPARG;PPFIBP2;PPIP5K2;PPM1H;PRDM16;PREX1;PRF1;PRKAG2;PRKCB;PRKCD;PRKCE;PRKCH;PRL;PROS1;PRPF31;PRUNE2;PSMB9;PSMD1;PSTPIP2;PTGFR;PTGS2;PTK2B;PTN;PTP4A2;PTPN2;PTPN6;PTPRE;PTPRJ;PTTG1IP;PWP2;RAB31;RAB3GAP2;RAD51B;RALGDS;RAP1GAP2;RAPGEF1;RAPGEF2;RARA;RASA3;RASGEF1B;RASSF2;RASSF4;RASSF5;RB1;RBAK;RBFOX3;RBM47;RBMS1;RBPJ;RC3H1;RCN1;RELA;RERE;REST;REV3L;RFTN1;RFX3;RGS12;RHBDD2;RHBDF2;RHOA;RHOF;RIN2;RIN3;RIPK1;RIPOR2;RNF213;RPGR;RPS24;RREB1;RTN4;RUNX1;RUNX3;RXYLT1;S100A10;S100A11;SAMD4A;SAMSN1;SBNO2;SCARB1;SCGB3A1;SEC14L1;SEMA4B;SEMA4D;SEPTIN9;SERPINB3;SERPINB4;SGK1;SGMS1;SH2B3;SH3BP2;SH3BP5;SH3KBP1;SH3TC1;SHANK2;SIK3;SKI;SKP2;SLA;SLC12A8;SLC1A2;SLC1A3;SLC25A37;SLC26A3;SLC2A2;SLC44A3;SLC6A6;SLC7A7;SLC8A1;SLCO3A1;SLPI;SLURP1;SMAD3;SMARCA4;SMCO4;SMG6;SNAP91;SNRNP27;SNX10;SNX30;SNX8;SOCS1;SOCS2;SOCS3;SOCS4;SOCS5;SOCS6;SOCS7;SOD2;SP110;SP7;SPIDR;SQOR;SRC;SRGN;ST14;ST3GAL1;ST3GAL2;ST6GAL1;STAG1;STAT2;STAT3;STAT6;STK10;STK40;SUB1;SUSD1;SUSD6;SYK;TACC1;TAF1B;TAOK3;TAP1;TBC1D1;TBC1D14;TBC1D2B;TBX21;TBXAS1;TCF4;TCF7L2;TFEB;TFF1;TG;TGFA;TGFBI;TGM2;TH;THADA;TIAM1;TIMP1;TIMP3;TLE4;TLR3;TLR8;TMX3;TNF;TNFAIP3;TNFAIP8;TNFRSF10B;TNFRSF1A;TNFRSF8;TNFSF10;TNFSF11;TNFSF13B;TNFSF8;TNIP1;TNS1;TNS3;TP53;TP53BP1;TP73;TPCN1;TRAF1;TRAF6;TRAPPC9;TRIM25;TRIM63;TRIM69;TRIO;TRIP6;TRPS1;TSHB;TSPAN14;TTC7A;TTC7B;TUBA1C;TUBGCP5;TYK2;UBC;UBR1;UPP1;USP10;UTP14A;UTRN;VANGL1;VEGFA;VEGFC;VEGFD;VIM;VIP;VMP1;VOPP1;VPS33B;VPS53;VRK2;VSIR;WIPF1;XAF1;XXYLT1;XYLT1;ZBTB7B;ZC3HAV1;ZCCHC2;ZEB2;ZFP1;ZFP30;ZFP36;ZFP36L1;ZMIZ1;ZNF107;ZNF112;ZNF114;ZNF12;ZNF124;ZNF140;ZNF155;ZNF157;ZNF169;ZNF175;ZNF181;ZNF184;ZNF19;ZNF200;ZNF205;ZNF222;ZNF226;ZNF227;ZNF23;ZNF230;ZNF235;ZNF25;ZNF251;ZNF254;ZNF267;ZNF268;ZNF273;ZNF282;ZNF302;ZNF311;ZNF331;ZNF333;ZNF337;ZNF33B;ZNF343;ZNF354A;ZNF365;ZNF367;ZNF398;ZNF41;ZNF417;ZNF418;ZNF419;ZNF425;ZNF460;ZNF490;ZNF496;ZNF510;ZNF519;ZNF529;ZNF546;ZNF550;ZNF567;ZNF585A;ZNF589;ZNF596;ZNF599;ZNF613;ZNF619;ZNF630;ZNF655;ZNF669;ZNF670;ZNF680;ZNF689;ZNF713;ZNF721;ZNF746;ZNF764;ZNF777;ZNF778;ZNF782;ZNF786;ZNF79;ZNF8;ZNF81;ZNF84;ZNF860;ZNF875;ZNF878;ZNF879;ZSWIM6			0.754204726888671
STAT1_priorANDprog	STAT1	IFN	prior_AND_program	90	False	50.0	29.0	21.0	-0.0006139092170086569	0.20795951830847592	506.0	8.506885171275652e-05	0.9152156375348568	-0.0017591170881794127	0.11934185028076172	prior targets ∩ matching program set	ADAR;APOL6;ARID5B;BST2;CASP3;CASP4;CASP7;CASP8;CCL2;CCL5;CD274;CD40;CD69;CD86;CDKN1A;CFB;CFH;CIITA;CMKLR1;CSF1;CXCL10;CXCL11;CXCL9;EIF2AK2;ELF1;FAS;FCGR1A;FGL2;GBP2;HLA-A;HLA-DMA;HLA-DRB1;ICAM1;IDO1;IFI27;IFI30;IFI35;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IL15;IL18BP;IL4R;IL6;IRF1;IRF2;IRF7;IRF8;IRF9;ISG15;ISG20;JAK2;LAP3;LCP2;MVP;MX1;MYD88;NCOA7;NFKB1;NLRC5;NMI;OAS1;OAS2;OAS3;OASL;PARP14;PDE4B;PIM1;PLSCR1;PML;PSMB9;PTGS2;PTPN2;PTPN6;RIPK1;RNF213;SOCS1;SOCS3;SOD2;SP110;STAT2;STAT3;TAP1;TNFAIP3;TNFSF10;TRIM25;UPP1;XAF1			0.2599493978855949
STAT1_RNA	STAT1	IFN	tf_rna	0	False	50.0	29.0	21.0	0.0587184876203537	4.2698192537216073e-07	151.0	0.06059783697128296	9.424984455108643e-07	0.03933416306972504	0.02385425567626953	TF RNA log1p; ELF3 RNA vs CLDN4 is A10-given, not a discovery				1.016623631838478e-06
