cohort	tf	program	n_cells_high	n_cells_low	n_top	n_high_specific	mean_r	high_specific	elf3_given
GSE131907	STAT1	IFN	15346	15785	0	0			False
GSE131907	STAT2	IFN	15346	15785	0	0			False
GSE131907	IRF1	IFN_MHC	15346	15785	0	0			False
GSE131907	IRF7	IFN	15346	15785	0	0			False
GSE131907	IRF9	IFN	15346	15785	0	0			False
GSE131907	NLRC5	MHC_I	15346	15785	0	0			False
GSE131907	RFX5	MHC_I	15346	15785	0	0			False
GSE131907	GRHL2	TJ	15346	15785	0	0			False
GSE131907	OVOL1	TJ	15346	15785	0	0			False
GSE131907	OVOL2	TJ	15346	15785	0	0			False
GSE131907	KLF5	TJ	15346	15785	0	0			False
GSE131907	ELF3	TJ_GIVEN	15346	15785	0	0			True
GSE131907	TP63	keratin	15346	15785	0	0			False
GSE131907	GRHL1	keratin	15346	15785	0	0			False
GSE131907	KLF4	keratin	15346	15785	0	0			False
GSE131907	NKX2-1	control	15346	15785	0	0			False
GSE131907	SOX2	control	15346	15785	0	0			False
GSE205335	STAT1	IFN	13963	14549	0	0			False
GSE205335	STAT2	IFN	13963	14549	0	0			False
GSE205335	IRF1	IFN_MHC	13963	14549	0	0			False
GSE205335	IRF7	IFN	13963	14549	0	0			False
GSE205335	IRF9	IFN	13963	14549	0	0			False
GSE205335	NLRC5	MHC_I	13963	14549	0	0			False
GSE205335	RFX5	MHC_I	13963	14549	0	0			False
GSE205335	GRHL2	TJ	13963	14549	0	0			False
GSE205335	OVOL1	TJ	13963	14549	0	0			False
GSE205335	OVOL2	TJ	13963	14549	0	0			False
GSE205335	KLF5	TJ	13963	14549	0	0			False
GSE205335	ELF3	TJ_GIVEN	13963	14549	0	0			True
GSE205335	TP63	keratin	13963	14549	0	0			False
GSE205335	GRHL1	keratin	13963	14549	0	0			False
GSE205335	KLF4	keratin	13963	14549	0	0			False
GSE205335	NKX2-1	control	13963	14549	0	0			False
GSE205335	SOX2	control	13963	14549	0	0			False
