Sample	Sample_Origin	B lymphocytes	Endothelial cells	Epithelial cells	Fibroblasts	MAST cells	Myeloid cells	NK cells	Oligodendrocytes	T lymphocytes	Undetermined
BRONCHO_11	mLN	1413	0	204	10	0	739	26	0	783	3
BRONCHO_58	tL/B	162	0	497	91	0	515	135	0	1411	2
EBUS_06	tL/B	111	0	1197	4	0	380	101	0	510	0
EBUS_10	mLN	2366	0	400	12	0	835	34	0	1496	1
EBUS_12	mLN	176	0	262	13	0	2332	22	0	306	4
EBUS_13	mLN	1871	0	381	0	0	145	1	0	1149	3
EBUS_15	mLN	39	0	263	1	0	319	152	0	327	4
EBUS_19	mLN	98	0	228	1	0	356	251	0	1176	2
EBUS_28	tL/B	7	0	4766	16	0	158	9	0	223	3
EBUS_49	tL/B	189	0	122	0	0	276	338	0	788	62
EBUS_51	mLN	99	0	1315	0	0	716	498	0	645	2
EFFUSION_06	PE	446	0	228	0	0	846	640	0	2653	71
EFFUSION_11	PE	100	0	81	0	0	688	159	0	1789	126
EFFUSION_12	PE	795	0	25	0	0	1256	286	0	1799	63
EFFUSION_13	PE	1012	0	47	0	0	194	124	0	3044	20
EFFUSION_64	PE	932	0	15	0	0	79	88	0	2689	9
LN_01	nLN	1107	0	0	0	0	101	0	0	2399	19
LN_02	nLN	687	0	0	0	0	121	0	0	2356	14
LN_03	nLN	661	0	0	0	0	79	0	0	2232	41
LN_04	nLN	747	0	0	0	0	51	0	0	2278	16
LN_05	nLN	962	0	0	0	0	35	0	0	2079	11
LN_06	nLN	634	0	0	0	0	73	0	0	2197	32
LN_07	nLN	1125	0	0	0	0	154	0	0	4408	26
LN_08	nLN	1513	0	0	0	0	152	0	0	2717	13
LN_11	nLN	984	0	0	0	0	159	0	0	2625	20
LN_12	nLN	2164	0	0	0	0	363	0	0	2028	63
LUNG_N01	nLung	82	34	199	17	230	1306	374	0	952	0
LUNG_N06	nLung	29	9	178	10	30	1310	166	0	1107	0
LUNG_N08	nLung	60	116	299	20	84	1349	737	0	715	0
LUNG_N09	nLung	83	57	384	53	103	1171	179	0	498	0
LUNG_N18	nLung	89	177	399	183	82	2041	312	0	1345	0
LUNG_N19	nLung	48	403	174	85	187	1134	1041	0	798	0
LUNG_N20	nLung	36	77	305	16	157	3545	766	0	896	0
LUNG_N28	nLung	36	11	233	12	57	785	659	0	1618	0
LUNG_N30	nLung	56	187	334	230	56	935	581	0	1505	0
LUNG_N31	nLung	50	180	548	858	28	1337	623	0	617	0
LUNG_N34	nLung	65	90	650	186	65	1759	1386	0	1021	0
LUNG_T06	tLung	521	54	145	485	94	588	40	0	1499	0
LUNG_T08	tLung	1014	14	42	206	91	270	22	0	2106	0
LUNG_T09	tLung	153	28	119	22	56	1481	103	0	1878	0
LUNG_T18	tLung	274	19	1028	188	87	1019	60	0	1030	0
LUNG_T19	tLung	430	159	316	114	424	1206	187	0	1525	0
LUNG_T20	tLung	53	3	526	17	83	921	80	0	2338	0
LUNG_T25	tLung	1707	32	226	21	185	604	79	0	1520	0
LUNG_T28	tLung	586	30	1228	63	155	1012	105	0	1526	0
LUNG_T30	tLung	118	153	882	73	478	976	144	0	1270	0
LUNG_T31	tLung	419	144	272	500	117	413	128	0	3585	0
LUNG_T34	tLung	37	19	2486	29	39	304	56	0	310	0
NS_02	mBrain	142	0	181	3	56	863	443	91	534	0
NS_03	mBrain	16	0	2720	10	0	99	65	0	80	0
NS_04	mBrain	4	0	1234	180	1	348	20	6	111	0
NS_06	mBrain	30	0	84	46	2	440	118	85	265	0
NS_07	mBrain	54	0	5112	59	1	313	39	25	127	0
NS_12	mBrain	9	0	2815	49	1	286	9	0	13	0
NS_13	mBrain	656	0	1363	15	440	564	57	27	1723	0
NS_16	mBrain	256	0	81	16	3	182	24	394	361	0
NS_17	mBrain	70	0	1117	88	4	651	28	69	382	0
NS_19	mBrain	74	0	756	170	0	1911	56	19	314	0
