cohort	endpoint	covariate	composition_name	n_sig_genes	n	rho	p	ci_low	ci_high	k
OncoSG	CD8A	unadj	PURITY	215	169	-0.3803664661130725	3.376491109743246e-07	-0.5024743510756036	-0.24338143131318163	0
OncoSG	CD8A	CLDN4	PURITY	215	169	-0.21708348476795128	0.004705937568867397	-0.3567668599484451	-0.06790565639868257	1
OncoSG	CD8A	signature	PURITY	215	169	-0.2837936378722512	0.00019310927975564021	-0.417273544419338	-0.13832766829759544	1
OncoSG	CD8A	CLDN4+signature	PURITY	215	169	-0.2283567572957095	0.0029957342127263954	-0.36747660219899564	-0.07924117346879196	2
OncoSG	CD8A	composition	PURITY	215	169	-0.30865764191436074	4.688545063105847e-05	-0.4395266845505271	-0.16495691362187448	1
OncoSG	CD8A	composition+CLDN4	PURITY	215	169	-0.20811420140745296	0.0069580848862288505	-0.3489492647739756	-0.05808642655354145	2
OncoSG	CD8A	composition+signature	PURITY	215	169	-0.2616727715750321	0.0006357742760988519	-0.3977311019131364	-0.11435341795332757	2
OncoSG	ImmuneScore	unadj	PURITY	215	169	-0.3872333548804137	1.9818179340487578e-07	-0.5084698826619749	-0.2509426179971037	0
OncoSG	ImmuneScore	CLDN4	PURITY	215	169	-0.2174752314530124	0.004629710993247324	-0.3571256316710179	-0.06831490660023584	1
OncoSG	ImmuneScore	signature	PURITY	215	169	-0.2894799801228558	0.0001412949373827629	-0.4223769449770408	-0.14439922310031078	1
OncoSG	ImmuneScore	CLDN4+signature	PURITY	215	169	-0.23333168186037528	0.002408042074761785	-0.3720131440512657	-0.08446092528140114	2
OncoSG	ImmuneScore	composition	PURITY	215	169	-0.3177689432608658	2.700924161461279e-05	-0.44764122366750764	-0.17476781478000386	1
OncoSG	ImmuneScore	composition+CLDN4	PURITY	215	169	-0.207894859564568	0.007019127645061251	-0.34874790374731873	-0.05785793602395257	2
OncoSG	ImmuneScore	composition+signature	PURITY	215	169	-0.26887328898845964	0.00044235065826091387	-0.4042312858478722	-0.12199083179640238	2
GSE273377 discovery	CD8A	unadj	stromal	221	103	0.03894477880771428	0.696114444765346	-0.1557537671233187	0.2307304798263537	0
GSE273377 discovery	CD8A	CLDN4	stromal	221	103	-0.022859733602844986	0.8196024031242773	-0.21637271436024041	0.17238151017067208	1
GSE273377 discovery	CD8A	signature	stromal	221	103	0.15406690918198984	0.12208791157073207	-0.041656093679483634	0.3384025396769176	1
GSE273377 discovery	CD8A	CLDN4+signature	stromal	221	103	0.008976825089771628	0.9290065576411155	-0.18679014727542897	0.20405808390589286	2
GSE273377 discovery	CD8A	composition	stromal	221	103	-0.027737006104698713	0.7819868238452204	-0.22101968932690677	0.167642178074546	1
GSE273377 discovery	CD8A	composition+CLDN4	stromal	221	103	-0.04678886913660341	0.642200796224769	-0.2400331772767309	0.15002225492021642	2
GSE273377 discovery	CD8A	composition+signature	stromal	221	103	0.08428680917423702	0.4020190092157678	-0.11301413039063396	0.27519283409167616	2
GSE273377 discovery	ImmuneScore	unadj	stromal	221	103	0.09647234547291657	0.3323447531375562	-0.09889873681108645	0.2846820593255037	0
GSE273377 discovery	ImmuneScore	CLDN4	stromal	221	103	0.014292767342329586	0.8866233987106177	-0.18068435697692561	0.20818898536418637	1
GSE273377 discovery	ImmuneScore	signature	stromal	221	103	0.22269563866907377	0.024466273138352323	0.029498274014925316	0.3998534000654882	1
GSE273377 discovery	ImmuneScore	CLDN4+signature	stromal	221	103	0.05355966020030402	0.5947606194624969	-0.1433804610247216	0.2464194878860908	2
GSE273377 discovery	ImmuneScore	composition	stromal	221	103	0.030181344270721097	0.7633164976040872	-0.16526356942243606	0.22334531276125796	1
