nhood	n_samples_present	n_samples_A	n_samples_B	n_cells	mean_prop_A	mean_prop_B	logFC_B_minus_A	t	p	testable	BH_FDR	SpatialFDR
0	1	1	0	31	0.0003068608138740683	0.0				False		
1	1	1	0	31	0.0003068608138740683	0.0				False		
2	2	1	1	31	0.00028706334201122517	1.6917897443705695e-05				False		
3	7	6	1	31	0.00023850280631977126	6.767158977482278e-05				False		
4	1	1	0	31	0.0003068608138740683	0.0				False		
5	1	1	0	31	0.0003068608138740683	0.0				False		
6	6	4	2	31	0.000412052977999622	7.525673276109579e-05	-2.452780597524539	-1.2048965994645746	0.24249978666498317	True	0.8204703695087084	0.8509927880069886
7	1	1	0	31	0.0003068608138740683	0.0				False		
8	1	1	0	31	0.0003068608138740683	0.0				False		
9	1	1	0	31	0.0003068608138740683	0.0				False		
10	1	1	0	31	0.0003068608138740683	0.0				False		
11	1	1	0	31	0.0003068608138740683	0.0				False		
12	1	1	0	31	0.0003068608138740683	0.0				False		
13	1	1	0	31	0.0003068608138740683	0.0				False		
14	1	1	0	31	0.0003068608138740683	0.0				False		
15	1	1	0	31	0.0003068608138740683	0.0				False		
16	1	1	0	31	0.0003068608138740683	0.0				False		
17	1	1	0	31	0.0003068608138740683	0.0				False		
18	2	2	0	31	0.0003452841151830929	0.0				False		
19	1	1	0	31	0.0003068608138740683	0.0				False		
20	1	1	0	31	0.0003068608138740683	0.0				False		
21	1	1	0	31	0.0003068608138740683	0.0				False		
22	1	1	0	31	0.0003068608138740683	0.0				False		
23	1	1	0	31	0.0003068608138740683	0.0				False		
24	1	1	0	31	0.0003068608138740683	0.0				False		
25	1	1	0	31	0.0003068608138740683	0.0				False		
26	1	1	0	31	0.0003068608138740683	0.0				False		
27	1	1	0	31	0.0003068608138740683	0.0				False		
28	1	1	0	31	0.0003068608138740683	0.0				False		
29	3	3	0	31	0.00037206800380191416	0.0				False		
30	1	1	0	31	0.0003068608138740683	0.0				False		
31	1	1	0	31	0.0003068608138740683	0.0				False		
32	1	1	0	31	0.0003068608138740683	0.0				False		
33	1	1	0	31	0.0003068608138740683	0.0				False		
34	1	1	0	31	0.0003068608138740683	0.0				False		
35	1	1	0	31	0.0003068608138740683	0.0				False		
36	1	1	0	31	0.0003068608138740683	0.0				False		
37	1	1	0	31	0.0003068608138740683	0.0				False		
38	1	1	0	31	0.0003068608138740683	0.0				False		
39	1	1	0	31	0.0003068608138740683	0.0				False		
40	1	1	0	31	0.0003068608138740683	0.0				False		
41	4	3	1	31	0.0002619753116598297	5.075369233111709e-05				False		
42	1	1	0	31	0.0003068608138740683	0.0				False		
43	1	1	0	31	0.0003068608138740683	0.0				False		
44	1	1	0	31	0.0003068608138740683	0.0				False		
45	1	1	0	31	0.0003068608138740683	0.0				False		
46	1	1	0	31	0.0003068608138740683	0.0				False		
47	1	1	0	31	0.0003068608138740683	0.0				False		
48	1	1	0	31	0.0003068608138740683	0.0				False		
49	1	1	0	31	0.0003068608138740683	0.0				False		
50	1	1	0	31	0.0003068608138740683	0.0				False		
51	1	1	0	31	0.0003068608138740683	0.0				False		
52	1	1	0	31	0.0003068608138740683	0.0				False		
53	1	1	0	31	0.0003068608138740683	0.0				False		
54	1	1	0	31	0.0003068608138740683	0.0				False		
55	1	1	0	31	0.0003068608138740683	0.0				False		
56	12	8	4	31	0.0003993462748784209	0.00039165234530767816	-0.028065948939135055	-0.023084758485446576	0.9817268960710366	True	0.9951957688532823	0.9952167431945993
57	1	1	0	31	0.0003068608138740683	0.0				False		
58	3	2	1	31	0.000137996481831571	0.0001607200257152041				False		
59	2	1	1	31	0.0002969620779426467	8.458948721852847e-06				False		
60	2	2	0	31	0.00030049833344641816	0.0				False		
61	1	1	0	31	0.0003068608138740683	0.0				False		
62	1	1	0	31	0.0003068608138740683	0.0				False		
63	5	4	1	31	0.00034963400536332885	4.378667133724494e-05				False		
64	1	1	0	31	0.0003068608138740683	0.0				False		
65	1	1	0	31	0.0003068608138740683	0.0				False		
66	1	1	0	31	0.0003068608138740683	0.0				False		
67	3	3	0	31	0.00038004464715257134	0.0				False		
68	1	1	0	31	0.0003068608138740683	0.0				False		
69	2	2	0	31	0.000367894125041526	0.0				False		
70	1	1	0	31	0.0003068608138740683	0.0				False		
71	1	1	0	31	0.0003068608138740683	0.0				False		
72	1	1	0	31	0.0003068608138740683	0.0				False		
73	1	1	0	31	0.0003068608138740683	0.0				False		
74	2	2	0	31	0.00032607246452858054	0.0				False		
75	1	1	0	31	0.0003068608138740683	0.0				False		
76	1	1	0	31	0.0003068608138740683	0.0				False		
77	1	1	0	31	0.0003068608138740683	0.0				False		
78	1	1	0	31	0.0003068608138740683	0.0				False		
79	2	2	0	31	0.0003036795736602432	0.0				False		
80	1	1	0	31	0.0003068608138740683	0.0				False		
81	1	1	0	31	0.0003068608138740683	0.0				False		
82	1	1	0	31	0.0003068608138740683	0.0				False		
83	1	1	0	31	0.0003068608138740683	0.0				False		
84	1	1	0	31	0.0003068608138740683	0.0				False		
85	1	1	0	31	0.0003068608138740683	0.0				False		
86	1	1	0	31	0.0003068608138740683	0.0				False		
87	1	1	0	31	0.0003068608138740683	0.0				False		
88	1	1	0	31	0.0003068608138740683	0.0				False		
89	1	1	0	31	0.0003068608138740683	0.0				False		
90	1	1	0	31	0.0003068608138740683	0.0				False		
91	2	2	0	31	0.00032607246452858054	0.0				False		
92	7	5	2	31	0.0005801344187830534	8.814106673414963e-05	-2.71836215044976	-1.7790901203480733	0.09057236212214911	True	0.8204703695087084	0.8509927880069886
93	1	1	0	31	0.0003068608138740683	0.0				False		
94	1	1	0	31	0.0003068608138740683	0.0				False		
95	1	1	0	31	0.0003068608138740683	0.0				False		
96	7	5	2	31	0.0004777428750060279	0.0001444578607305568	-1.7255159780291756	-1.1886407817724198	0.24453541571288653	True	0.8204703695087084	0.8509927880069886
97	1	1	0	31	0.0003068608138740683	0.0				False		
98	1	1	0	31	0.0003068608138740683	0.0				False		
99	4	3	1	31	0.00031746035757446845	8.458948721852847e-06				False		
100	4	3	1	31	0.0003216342363348566	8.458948721852847e-06				False		
101	4	3	1	31	0.00030993545754107074	1.4595557112414983e-05				False		
102	1	1	0	31	0.0003068608138740683	0.0				False		
103	1	1	0	31	0.0003068608138740683	0.0				False		
