dataset	sample	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm
GSE148071	P1	5317	3286	147	1.2062486410140991	0.04281969123215846	low
GSE148071	P10	3740	2459	70	1.10429048538208	0.0276789244760775	low
GSE148071	P11	574	104	46	0.03538918122649193	0.30666666666666664	low
GSE148071	P12	891	1	46		0.9787234042553191	unscored
GSE148071	P13	938	122	90	1.7487804889678955	0.42452830188679247	high
GSE148071	P14	1808	572	31	0.43161943554878235	0.05140961857379768	low
GSE148071	P15	3606	2017	17	1.2946597337722778	0.008357915437561455	high
GSE148071	P16	1148	872	0	1.7255853414535522	0.0	high
GSE148071	P17	8700	5972	0	0.7044427394866943	0.0	low
GSE148071	P18	3314	1559	88	1.2173537015914917	0.05343047965998786	low
GSE148071	P19	453	72	48	1.812164545059204	0.4	high
GSE148071	P2	306	120	1	1.9771252870559692	0.008264462809917356	high
GSE148071	P20	429	231	0	2.183753252029419	0.0	high
GSE148071	P21	1968	1080	12	1.4101277589797974	0.01098901098901099	high
GSE148071	P22	644	46	231	1.781869649887085	0.8339350180505415	high
GSE148071	P23	2387	1388	32	0.658175528049469	0.022535211267605635	low
GSE148071	P24	386	79	64	1.007836103439331	0.44755244755244755	low
GSE148071	P25	4029	3108	2	1.156801700592041	0.0006430868167202572	low
GSE148071	P26	570	63	82	1.6699109077453613	0.5655172413793104	high
GSE148071	P27	707	33	87	1.4928152561187744	0.725	high
GSE148071	P28	2373	356	64	1.6435954570770264	0.1523809523809524	high
GSE148071	P29	969	320	1	0.8770560026168823	0.003115264797507788	low
GSE148071	P3	7835	6808	17	0.9790173768997192	0.002490842490842491	low
GSE148071	P30	742	541	4	0.9143273830413818	0.007339449541284404	low
GSE148071	P31	387	329	4	1.4403133392333984	0.012012012012012012	high
GSE148071	P32	595	132	79	2.774290084838867	0.3744075829383886	high
GSE148071	P33	350	86	0	2.2222509384155273	0.0	high
GSE148071	P34	972	403	14	1.0129364728927612	0.03357314148681055	low
GSE148071	P35	1079	1	15		0.9375	unscored
GSE148071	P36	500	153	3	0.8154506087303162	0.019230769230769232	low
GSE148071	P37	2486	12	43	0.0855594202876091	0.7818181818181819	low
GSE148071	P38	1358	46	150	1.232067584991455	0.7653061224489796	unscored
GSE148071	P39	1896	1	227		0.9956140350877193	unscored
GSE148071	P4	4558	99	304	0.37932005524635315	0.7543424317617866	low
GSE148071	P40	1155	73	373	1.6507854461669922	0.8363228699551569	high
GSE148071	P41	6222	5157	3	1.3796054124832153	0.0005813953488372093	high
GSE148071	P42	1001	146	454	0.10314798355102539	0.7566666666666667	low
GSE148071	P5	2454	23	36	0.7294541001319885	0.6101694915254238	low
GSE148071	P6	3119	1439	88	1.9742186069488525	0.05762933857236411	high
GSE148071	P7	3059	128	1060	0.5325690507888794	0.8922558922558923	low
GSE148071	P8	1342	129	66	2.2132463455200195	0.3384615384615385	high
GSE148071	P9	3520	358	62	1.6414695978164673	0.14761904761904762	high
