tf	target	resource	confidence	effect	reference	note
ELF3	ANGPT1	CollecTRI		Activation	CollecTRI:14715662;CollecTRI2:14715662	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	AR	CollecTRI		Activation	CollecTRI:23435425;CollecTRI2:23435425	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	CCL20	CollecTRI		Activation	CollecTRI2:12414801;CollecTRI:12414801	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	CCND3	CollecTRI		Activation	CollecTRI:11509675	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	CLDN7	CollecTRI		Activation	CollecTRI:17060315;CollecTRI2:17060315;DoRothEA:17060315;CollecTRI2:20566751;TRRUST:17060315	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	COL2A1	CollecTRI		Activation	CollecTRI:18044710;CollecTRI2:27310669;CollecTRI2:18044710	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	EGR1	CollecTRI		Activation	CollecTRI2:19074849;CollecTRI:19074849	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	EHF	CollecTRI		Activation	CollecTRI2:18475289;CollecTRI:18475289	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	ERBB2	CollecTRI		Activation	CollecTRI2:23464919;CollecTRI2:12713734;CollecTRI2:23835029;CollecTRI2:29187433;CollecTRI:12713734;CollecTRI2:11175365;CollecTRI2:12242338;CollecTRI2:15025473;CollecTRI2:12708845;CollecTRI2:25753424;CollecTRI:11175365;CollecTRI2:9129154;CollecTRI2:35963541;CollecTRI:12032832;CollecTRI2:31183315;Coll	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	FOLH1	CollecTRI		Activation	CollecTRI:10506207;CollecTRI2:10506207	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	GADD45GIP1	CollecTRI		Activation	CollecTRI:19801644	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	HP	CollecTRI		Activation	CollecTRI:17905856	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	IL1B	CollecTRI		Activation	CollecTRI:18044710	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	KLK3	CollecTRI		Activation	CollecTRI:10506207	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	KRT4	CollecTRI		Repression	DoRothEA:10773884;TRRUST:10773884;CollecTRI:10773884;CollecTRI2:10773884	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	KRT8	CollecTRI		Activation	CollecTRI:9234700;CollecTRI2:10891534	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	LYZ	CollecTRI		Activation	CollecTRI2:17905856;CollecTRI:17905856	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	MED23	CollecTRI		Activation	CollecTRI:12708845	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	MMP13	CollecTRI		Activation	CollecTRI:22158614;CollecTRI2:34250664;CollecTRI2:27310669;CollecTRI2:22158614;CollecTRI2:23417678;CollecTRI2:29691435	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	MMP9	CollecTRI		Repression	CollecTRI2:18302674;TRRUST:18302674;CollecTRI:18302674;DoRothEA:18302674	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	NOS2	CollecTRI		Activation	CollecTRI2:32185234;CollecTRI2:35607962;CollecTRI2:11036073;CollecTRI:11036073;CollecTRI2:20689519;CollecTRI2:29691435	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	NOTCH3	CollecTRI		Activation	CollecTRI:26977885;CollecTRI2:26977885	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	POU5F1	CollecTRI		Repression	CollecTRI:24971534;CollecTRI2:24971534;DoRothEA:24971534	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	PRR9	CollecTRI		Activation	CollecTRI:22307044;CollecTRI2:22307044;CollecTRI2:22327739;CollecTRI:22327739	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	PTGS2	CollecTRI		Activation	CollecTRI2:15794755;CollecTRI2:35607962;CollecTRI:15794755;TRRUST:15794755;CollecTRI2:29691435;DoRothEA:15794755;CollecTRI2:27313839	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	SPMAP2	CollecTRI		Activation	CollecTRI:11509675	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	SPRR1A	CollecTRI		Activation	DoRothEA:9733767;CollecTRI2:9733767;TRRUST:9733767;CollecTRI:9733767	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	SPRR1B	CollecTRI		Activation	CollecTRI2:12682075;CollecTRI2:27667567;CollecTRI:12682075;TRRUST:12682075;DoRothEA:12682075	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	SPRR2A	CollecTRI		Activation	DoRothEA:10773884;CollecTRI2:9234700;CollecTRI2:10506207;TRRUST:10773884;CollecTRI:9234700;CollecTRI2:10891534;CollecTRI2:10773884;CollecTRI2:12624109;CollecTRI:10773884	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	SPRR3	CollecTRI		Activation	DoRothEA:9889002;CollecTRI:9889002;CollecTRI2:9889002;TRRUST:9889002	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	TGFB1	CollecTRI		Activation	CollecTRI2:10644990;CollecTRI:10644990	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	TGFBR2	CollecTRI		Activation	CollecTRI2:9417054;CollecTRI:11893733;CollecTRI:9417054;CollecTRI2:11893733;CollecTRI2:17408644;CollecTRI2:11313868;CollecTRI2:14582709;CollecTRI2:10644990;CollecTRI:14582709;CollecTRI2:14976186;CollecTRI2:20079749;CollecTRI2:11687969;CollecTRI:11313868;CollecTRI:10644990;CollecTRI:14976186	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	TIMP3	CollecTRI		Activation	TRRUST:12407165;CollecTRI:12407165;CollecTRI2:12407165;DoRothEA:12407165	CollecTRI via OmniPath; not a lung ChIP peak
ELF3	ITGB6	DoRothEA	B	Activation	CollecTRI2:36840413	DoRothEA via OmniPath; not a lung ChIP peak
ELF3	SPRR2A	DoRothEA	A	Activation	DoRothEA:10773884;CollecTRI2:9234700;CollecTRI2:10506207;TRRUST:10773884;CollecTRI:9234700;CollecTRI2:10891534;CollecTRI2:10773884;CollecTRI2:12624109;CollecTRI:10773884	DoRothEA via OmniPath; not a lung ChIP peak
ELF3	CLDN7	TRRUST_v2		Unknown	17060315	curated literature TF-target; not a ChIP peak
ELF3	KRT4	TRRUST_v2		Repression	10773884	curated literature TF-target; not a ChIP peak
ELF3	MMP9	TRRUST_v2		Repression	18302674	curated literature TF-target; not a ChIP peak
ELF3	PTGS2	TRRUST_v2		Unknown	15794755	curated literature TF-target; not a ChIP peak
ELF3	SPRR1A	TRRUST_v2		Unknown	9733767	curated literature TF-target; not a ChIP peak
ELF3	SPRR1B	TRRUST_v2		Activation	12682075	curated literature TF-target; not a ChIP peak
ELF3	SPRR2A	TRRUST_v2		Activation	10773884	curated literature TF-target; not a ChIP peak
ELF3	SPRR3	TRRUST_v2		Unknown	9889002	curated literature TF-target; not a ChIP peak
ELF3	TIMP3	TRRUST_v2		Activation	12407165	curated literature TF-target; not a ChIP peak
FOXA1	ABCA1	CollecTRI		Repression	TRRUST:24807696;DoRothEA:24807696;CollecTRI:24807696;CollecTRI2:24807696	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	AFP	CollecTRI		Activation	CollecTRI:14521963;CollecTRI2:14521963;CollecTRI:10455192;CollecTRI2:20348100;CollecTRI2:10455192;CollecTRI2:26773721	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	AGR2	CollecTRI		Activation	TRRUST:16222343;DoRothEA:16222343;CollecTRI2:32606743;CollecTRI:16222343;CollecTRI2:16222343;CollecTRI:20048076;CollecTRI2:20048076;CollecTRI2:25100862	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	ALB	CollecTRI		Activation	CollecTRI2:20008934;CollecTRI2:8455618;CollecTRI:14521963;CollecTRI2:14521963;CollecTRI:8455618;CollecTRI2:15959514;CollecTRI2:26773721;CollecTRI2:9199315	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	APOB	CollecTRI		Activation	CollecTRI:8441395;CollecTRI2:8441395;CollecTRI2:22238690;TRRUST:8441395	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	AR	CollecTRI		Activation	CollecTRI2:24948874;CollecTRI2:32094298;CollecTRI2:21572438;CollecTRI2:23539448;CollecTRI2:26457646;SIGNOR:24875621;CollecTRI2:23420418;CollecTRI2:26336819;CollecTRI2:24875621;CollecTRI2:35550030;CollecTRI2:18178153;CollecTRI2:36171192;CollecTRI:18178153;CollecTRI2:22879989;CollecTRI:24875621;Collec	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	BCL2	CollecTRI		Repression	CollecTRI2:19127412;CollecTRI2:31221478;HTRIdb:19127412;CollecTRI2:28789340;DoRothEA:19127412;CollecTRI:19127412;TRRUST:19127412;CollecTRI2:31371698;CollecTRI2:30043639	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	BMP2	CollecTRI		Activation	CollecTRI2:17513867;CollecTRI:17513867	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	BPIFA4P	CollecTRI		Activation	CollecTRI:18172302;CollecTRI2:18172302	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	BRCA1	CollecTRI		Activation	CollecTRI2:16331276;DoRothEA:16331276;CollecTRI:16331276;TRRUST:16331276	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	CCND1	CollecTRI		Activation	CollecTRI2:16980581;CollecTRI2:30233244;CollecTRI2:28488543;CollecTRI:16980581;CollecTRI2:30043639	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	CCNG2	CollecTRI		Activation	TRRUST:22596188;DoRothEA:22596188;CollecTRI:22596188;CollecTRI2:22596188	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	CD274	CollecTRI		Activation	CollecTRI2:24531377;CollecTRI2:28436428;CollecTRI:24531377;CollecTRI2:36323682	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	CDKN1B	CollecTRI		Activation	CollecTRI2:31221478;CollecTRI2:17163418;CollecTRI:16331276;CollecTRI:17163418;CollecTRI2:16331276	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	CDKN2A	CollecTRI		Activation	CollecTRI:19340300;CollecTRI2:25264199;CollecTRI2:19340300;CollecTRI2:23443045;HTRIdb:19340300;DoRothEA:19340300;CollecTRI2:27349269;CollecTRI:23443045	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	CEBPA	CollecTRI		Activation	CollecTRI:19074951;HTRIdb:19074951;CollecTRI2:19074951;DoRothEA:19074951	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	CFTR	CollecTRI		Repression	CollecTRI:24440874;CollecTRI2:24440874;TRRUST:24440874;DoRothEA:24440874;CollecTRI2:9199315	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	DIO1	CollecTRI		Activation	CollecTRI2:22067325;CollecTRI:22067325	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	ELF3	CollecTRI		Repression	CollecTRI2:23266329;CollecTRI:23266329	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	ELK4	CollecTRI		Activation	CollecTRI2:18469865;CollecTRI:18469865	CollecTRI via OmniPath; not a lung ChIP peak
FOXA1	EN1	CollecTRI		Activation	CollecTRI:17596284;CollecTRI2:17596284	CollecTRI via OmniPath; not a lung ChIP peak
