cohort	source	CLDN4_present	n_CLDN4	n_tumors	CXCL9_present	n_CXCL9	CXCL10_present	n_CXCL10	n_CLDN4_CXCL9	n_CLDN4_CXCL10
LUAD	freeze_v1.2	True	79	110	True	45	True	80	37	71
LUAD	linkedomics_NArm	False	0	110	False	0	True	55	0	0
LSCC	freeze_v1.2	True	78	108	True	88	True	98	63	73
LSCC	linkedomics_NArm	False	0	108	True	59	True	88	0	0
