probe	gene	named_in_task	on_gpl570	in_processed_matrix	n_samples	mean_log2	median_log2	min_log2	max_log2	percentile_rank_of_mean	median_per_sample_percentile	n_samples_above_sample_median	detection_rate_above_sample_median	n_samples_above_sample_p75	detection_rate_above_sample_p75
202286_s_at	TACSTD2	True	True	True	173	4.2474	3.7895	2.7656	7.4104	41.97	33.76	57	0.3295	3	0.0173
201428_at	CLDN4	True	True	True	173	3.4169	3.3984	2.8759	4.1562	26.37	26.4	0	0.0	0	0.0
227128_s_at	TACSTD2	False	True	False	0										
212587_s_at	PTPRC	False	True	True	173	11.9693	11.9822	10.3614	12.9015	99.28	99.21	173	1.0	173	1.0
207238_s_at	PTPRC	False	True	True	173	11.3093	11.3807	9.8182	12.0971	98.73	98.7	173	1.0	173	1.0
214617_at	PRF1	False	True	True	173	10.4362	10.4333	7.9314	12.9977	97.59	97.3	173	1.0	173	1.0
213539_at	CD3D	False	True	True	173	8.8154	8.822	7.0269	10.4743	92.73	92.5	173	1.0	173	1.0
209604_s_at	GATA3	False	True	True	173	8.6176	8.7331	6.4137	9.9971	91.71	91.88	173	1.0	172	0.9942
205758_at	CD8A	False	True	True	173	8.2904	8.3055	6.2098	10.6607	89.84	89.85	173	1.0	171	0.9884
1569421_at	CLDN4	False	True	True	173	6.1593	6.1503	5.6405	6.6745	70.72	70.66	173	1.0	15	0.0867
207634_at	PDCD1	False	True	True	173	5.8972	5.8845	5.2827	6.6616	67.31	66.98	173	1.0	7	0.0405
201596_x_at	KRT18	False	True	True	173	5.171	5.1852	4.5438	5.8825	57.0	57.65	167	0.9653	0	0.0
209008_x_at	KRT8	False	True	True	173	4.9508	4.9555	4.3853	5.4614	53.75	53.89	158	0.9133	0	0.0
202285_s_at	TACSTD2	False	True	True	173	3.8464	3.8327	3.2437	4.5905	34.76	35.07	0	0.0	0	0.0
202287_s_at	TACSTD2	False	True	True	173	3.1379	3.1221	2.7297	3.7021	20.13	19.86	0	0.0	0	0.0
201839_s_at	EPCAM	False	True	True	173	3.0509	2.9262	2.3997	5.7549	18.12	15.85	2	0.0116	0	0.0
