title	geo_accession	source_name	platform_id	sample_type	group	matrix_col
C1 baseline	GSM9161914	Whole blood	GPL570	baseline	1LIO	C1
C7 baseline	GSM9161915	Whole blood	GPL570	baseline	2LIO	C7
C9 baseline	GSM9161916	Whole blood	GPL570	baseline	2LIO	C9
C10 baseline	GSM9161917	Whole blood	GPL570	baseline	1LIO	C10
C15 baseline	GSM9161918	Whole blood	GPL570	baseline	1LIO	C15
C16 baseline	GSM9161919	Whole blood	GPL570	baseline	1LIO	C16
C17 baseline	GSM9161920	Whole blood	GPL570	baseline	2LIO	C17
C20 baseline	GSM9161921	Whole blood	GPL570	baseline	1LIO	C20
C21 baseline	GSM9161922	Whole blood	GPL570	baseline	1LIO	C21
C23 baseline	GSM9161923	Whole blood	GPL570	baseline	2LIO	C23
C30 baseline	GSM9161924	Whole blood	GPL570	baseline	1LIO	C30
C33 baseline	GSM9161925	Whole blood	GPL570	baseline	2LIO	C33
C34 baseline	GSM9161926	Whole blood	GPL570	baseline	1LIO	C34
C36 baseline	GSM9161927	Whole blood	GPL570	baseline	2LIO	C36
C37 baseline	GSM9161928	Whole blood	GPL570	baseline	2LIO	C37
C42 baseline	GSM9161929	Whole blood	GPL570	baseline	1LIO	C42
C44 baseline	GSM9161930	Whole blood	GPL570	baseline	1LIO	C44
C47 baseline	GSM9161931	Whole blood	GPL570	baseline	1LIO	C47
C50 baseline	GSM9161932	Whole blood	GPL570	baseline	2LIO	C50
C51 baseline	GSM9161933	Whole blood	GPL570	baseline	2LIO	C51
C61 baseline	GSM9161934	Whole blood	GPL570	baseline	2LIO	C61
C63 baseline	GSM9161935	Whole blood	GPL570	baseline	1LIO	C63
C65 baseline	GSM9161936	Whole blood	GPL570	baseline	2LIO	C65
C67 baseline	GSM9161937	Whole blood	GPL570	baseline	2LIO	C67
C72 baseline	GSM9161938	Whole blood	GPL570	baseline	2LIO	C72
C74 baseline	GSM9161939	Whole blood	GPL570	baseline	1LIO	C74
C78 baseline	GSM9161940	Whole blood	GPL570	baseline	1LIO	C78
C82 baseline	GSM9161941	Whole blood	GPL570	baseline	2LIO	C82
C84 baseline	GSM9161942	Whole blood	GPL570	baseline	1LIO	C84
C89 baseline	GSM9161943	Whole blood	GPL570	baseline	2LIO	C89
C95 baseline	GSM9161944	Whole blood	GPL570	baseline	2LIO	C95
C102 baseline	GSM9161945	Whole blood	GPL570	baseline	2LIO	C102
C107 baseline	GSM9161946	Whole blood	GPL570	baseline	1LIO	C107
C109 baseline	GSM9161947	Whole blood	GPL570	baseline	1LIO	C109
C112 baseline	GSM9161948	Whole blood	GPL570	baseline	2LIO	C112
C113 baseline	GSM9161949	Whole blood	GPL570	baseline	2LIO	C113
C116 baseline	GSM9161950	Whole blood	GPL570	baseline	2LIO	C116
C129 baseline	GSM9161951	Whole blood	GPL570	baseline	2LIO	C129
C133 baseline	GSM9161952	Whole blood	GPL570	baseline	1LIO	C133
C138 baseline	GSM9161953	Whole blood	GPL570	baseline	2LIO	C138
C139 baseline	GSM9161954	Whole blood	GPL570	baseline	2LIO	C139
C149 baseline	GSM9161955	Whole blood	GPL570	baseline	1LIO	C149
C150 baseline	GSM9161956	Whole blood	GPL570	baseline	1LIO	C150
C159 baseline	GSM9161957	Whole blood	GPL570	baseline	2LIO	C159
C161 baseline	GSM9161958	Whole blood	GPL570	baseline	1LIO	C161
C162 baseline	GSM9161959	Whole blood	GPL570	baseline	1LIO	C162
C169 baseline	GSM9161960	Whole blood	GPL570	baseline	1LIO	C169
C176 baseline	GSM9161961	Whole blood	GPL570	baseline	CHTIO	C176
C180 baseline	GSM9161962	Whole blood	GPL570	baseline	CHTIO	C180
C185 baseline	GSM9161963	Whole blood	GPL570	baseline	CHTIO	C185
C198 baseline	GSM9161964	Whole blood	GPL570	baseline	CHTIO	C198
C202 baseline	GSM9161965	Whole blood	GPL570	baseline	2LIO	C202
C204 baseline	GSM9161966	Whole blood	GPL570	baseline	CHTIO	C204
C206 baseline	GSM9161967	Whole blood	GPL570	baseline	1LIO	C206
C210 baseline	GSM9161968	Whole blood	GPL570	baseline	CHTIO	C210
C217 baseline	GSM9161969	Whole blood	GPL570	baseline	1LIO	C217
C218 baseline	GSM9161970	Whole blood	GPL570	baseline	CHTIO	C218
C220 baseline	GSM9161971	Whole blood	GPL570	baseline	1LIO	C220
C221 baseline	GSM9161972	Whole blood	GPL570	baseline	1LIO	C221
C235 baseline	GSM9161973	Whole blood	GPL570	baseline	1LIO	C235
C238 baseline	GSM9161974	Whole blood	GPL570	baseline	1LIO	C238
C239 baseline	GSM9161975	Whole blood	GPL570	baseline	CHTIO	C239
C251 baseline	GSM9161976	Whole blood	GPL570	baseline	CHTIO	C251
C261 baseline	GSM9161977	Whole blood	GPL570	baseline	CHTIO	C261
C262 baseline	GSM9161978	Whole blood	GPL570	baseline	CHTIO	C262
C280 baseline	GSM9161979	Whole blood	GPL570	baseline	CHTIO	C280
C283 baseline	GSM9161980	Whole blood	GPL570	baseline	CHTIO	C283
C288 baseline	GSM9161981	Whole blood	GPL570	baseline	CHTIO	C288
C289 baseline	GSM9161982	Whole blood	GPL570	baseline	CHTIO	C289
C290 baseline	GSM9161983	Whole blood	GPL570	baseline	CHTIO	C290
C312 baseline	GSM9161984	Whole blood	GPL570	baseline	CHTIO	C312
C320 baseline	GSM9161985	Whole blood	GPL570	baseline	CHTIO	C320
C322 baseline	GSM9161986	Whole blood	GPL570	baseline	CHTIO	C322
C323 baseline	GSM9161987	Whole blood	GPL570	baseline	CHTIO	C323
C331 baseline	GSM9161988	Whole blood	GPL570	baseline	CHTIO	C331
C400 baseline	GSM9161989	Whole blood	GPL570	baseline	CHTIO	C400
C1+4 follow-up	GSM9161991	Whole blood	GPL570	follow-up	1LIO	C1+4
C7+4 follow-up	GSM9161992	Whole blood	GPL570	follow-up	2LIO	C7+4
C9+4 follow-up	GSM9161993	Whole blood	GPL570	follow-up	2LIO	C9+4
C10+4 follow-up	GSM9161994	Whole blood	GPL570	follow-up	1LIO	C10+4
C15+4 follow-up	GSM9161995	Whole blood	GPL570	follow-up	1LIO	C15+4
