probe	gene	n_paired	n_paired_1LIO	baseline_mean_all_paired	followup_mean_all_paired	median_delta_all_paired	wilcoxon_p_all_paired	baseline_mean_1LIO	followup_mean_1LIO	median_delta_1LIO	wilcoxon_p_1LIO	percentile_rank_of_mean
201428_at	CLDN4	76	29	3.3456	3.5035	0.1577	0.00023223196495147743	3.4331	3.385	-0.0317	0.35785307362675667	26.37
202286_s_at	TACSTD2	76	29	4.2609	4.324	0.0796	0.18675993305426342	4.1381	4.2124	0.0979	0.39265386015176773	41.97
