probe	expected_gene	gpl570_gene_symbol	gpl570_gene_title	gpl570_gene_id	symbol_matches_expected
1569421_at	CLDN4	CLDN4	claudin 4	1364	True
201428_at	CLDN4	CLDN4	claudin 4	1364	True
201596_x_at	KRT18	KRT18	keratin 18	3875	True
201839_s_at	EPCAM	EPCAM	epithelial cell adhesion molecule	4072	True
202285_s_at	TACSTD2	TACSTD2	tumor-associated calcium signal transducer 2	4070	True
202286_s_at	TACSTD2	TACSTD2	tumor-associated calcium signal transducer 2	4070	True
202287_s_at	TACSTD2	TACSTD2	tumor-associated calcium signal transducer 2	4070	True
205758_at	CD8A	CD8A	CD8a molecule	925	True
207238_s_at	PTPRC	PTPRC	protein tyrosine phosphatase, receptor type C	5788	True
207634_at	PDCD1	PDCD1	programmed cell death 1	5133	True
209008_x_at	KRT8	KRT8	keratin 8	3856	True
209604_s_at	GATA3	GATA3	GATA binding protein 3	2625	True
212587_s_at	PTPRC	PTPRC	protein tyrosine phosphatase, receptor type C	5788	True
213539_at	CD3D	CD3D	CD3d molecule	915	True
214617_at	PRF1	PRF1	perforin 1	5551	True
227128_s_at	TACSTD2	TACSTD2	tumor-associated calcium signal transducer 2	4070	True
