sample	B	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	NK	Neutrophil	Plasma	T	Unassigned
BD_immune01	38.0	11.0	588.0	24.0	47.0	1010.0	192.0	2013.0	327.0	482.0	9.0
BD_immune02	1898.0	6.0	107.0	7.0	7.0	125.0	103.0	234.0	53.0	2796.0	9.0
BD_immune03	850.0	10.0	804.0	27.0	75.0	611.0	368.0	122.0	1639.0	4692.0	61.0
BD_immune04	438.0	11.0	145.0	33.0	64.0	1340.0	411.0	581.0	162.0	5205.0	8.0
BD_immune05	202.0	4.0	1484.0	21.0	9.0	229.0	81.0	75.0	273.0	732.0	3.0
BD_immune06	87.0	15.0	64.0	4.0	86.0	881.0	349.0	558.0	29.0	2575.0	1.0
BD_immune07	69.0	116.0	5121.0	277.0	153.0	1789.0	161.0	23.0	469.0	926.0	27.0
BD_immune08	182.0	33.0	190.0	471.0	199.0	630.0	134.0	184.0	738.0	3040.0	24.0
BD_immune09	135.0	3.0	271.0	20.0	14.0	908.0	203.0	55.0	156.0	3080.0	4.0
BD_immune10	68.0	7.0	208.0	75.0	29.0	1261.0	534.0	443.0	403.0	3546.0	69.0
BD_immune11	249.0	18.0	439.0	2.0	34.0	979.0	307.0	322.0	24.0	1383.0	2.0
BD_immune12	1221.0	2.0	482.0	3.0	73.0	785.0	102.0	2021.0	258.0	1284.0	2.0
BD_immune13	117.0	5.0	35.0	12.0	13.0	3522.0	76.0	1625.0	70.0	1271.0	7.0
BD_immune14	1684.0	36.0	186.0	17.0	59.0	400.0	227.0	184.0	105.0	2636.0	12.0
BD_immune15	366.0	22.0	545.0	11.0	54.0	3897.0	454.0	1613.0	38.0	1071.0	15.0
