dataset_id	title	page	tissue	panel_name	design_id	n_gene_targets	n_cldn4	cldn_family	has_CD8A	has_KRT8	has_EPCAM	role
official_predesigned_lung_panel	Xenium Human Lung Gene Expression Panel	https://www.10xgenomics.com/support/software/xenium-panel-designer/latest/tutorials/pre-designed-xenium-v1	predesigned panel (not a tissue run)	Xenium Human Lung Gene Expression	hLung_v1.1	289	0	CLDN5	1	0	1	lung_base_official
xenium_human_lung_preview_cancer	Xenium Human Lung Preview Data — invasive adenocarcinoma	https://www.10xgenomics.com/datasets/xenium-human-lung-preview-data-1-standard	FFPE invasive lung adenocarcinoma (Avaden)	PD_346_LX16_hLung_100g_PD339-large-AddOn gene panel	PD_346	392	0	CLDN5	1	0	1	lung_preview_addon
xenium_human_lung_preview_nondiseased	Xenium Human Lung Preview Data — non-diseased lung	https://www.10xgenomics.com/datasets/xenium-human-lung-preview-data-1-standard	FFPE healthy adult lung (Avaden)	PD_346_LX16_hLung_100g_PD339-large-AddOn gene panel	PD_346	392	0	CLDN5	1	0	1	lung_preview_addon
xenium_hlung_cancer_multitissue_preview	Human Lung Cancer Preview Data (Multi-Tissue and Cancer Panel)	https://www.10xgenomics.com/datasets/human-lung-cancer-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	FFPE lung cancer microstrip (AcePix)	Human Multi-Tissue and Cancer Gene Expression	hMultiCancer	377	0		1	0	1	multitissue_377
xenium_ffpe_luad_multimodal	Preview Data: FFPE Human Lung Cancer with Multimodal Cell Segmentation	https://www.10xgenomics.com/datasets/preview-data-ffpe-human-lung-cancer-with-xenium-multimodal-cell-segmentation-1-standard	FFPE lung adenocarcinoma (BioIVT)	Xenium Human Multi-Tissue and Cancer Gene Expression Panel	hMulti_v1	377	0		1	0	1	multitissue_377
xenium_ffpe_nsclc_io_addon	FFPE Human Lung Cancer with Human Immuno-Oncology Profiling Panel and Custom Add-on	https://www.10xgenomics.com/datasets/ffpe-human-lung-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard	FFPE NSCLC Stage I-B Grade 2 (Discovery Life Sciences)	Xenium Human Immuno-Oncology Add-on A Gene Expression Panel	N/A	480	0		1	0	1	io_addon
xenium_postxenium_v1_lung_panel	Post-Xenium Technical Note — Experiment 1 (Xenium v1 lung panel)	https://www.10xgenomics.com/datasets/xenium-human-lung-cancer-post-xenium-technote	FFPE lung adenocarcinoma (invasive acinar)	Xenium Human Lung Gene Expression Panel	hLung_v1.1	289	0	CLDN5	1	0	1	lung_base_official
xenium_postxenium_prime5k	Post-Xenium Technical Note — Experiment 2 (Xenium Prime 5K)	https://www.10xgenomics.com/datasets/xenium-human-lung-cancer-post-xenium-technote	FFPE lung adenocarcinoma (same donor series as Exp. 1)	Xenium Human 5K Pan Tissue & Pathways Panel	hAtlas_v1.1	5001	0	CLDN1,CLDN18,CLDN5,CLDN7	1	0	1	prime5k
