cohort	accession	model	kras	is_kl	sample	group	role	ordinal	transform	cldn4	tacstd2	nhej_core_zmean	ifn_chemokine_zmean
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_UnTx_rep1_quant	control_untreated	other		log2_cpm	0.0903733	0.0903733	0.448475	-1.47825
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_UnTx_rep2_quant	control_untreated	other		log2_cpm	0	0	0.701639	1.49211
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_UnTx_rep1_quant	setdb1_ko_untreated	other		log2_cpm	0.110065	0.212324	0.154842	-0.85202
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_UnTx_rep2_quant	setdb1_ko_untreated	other		log2_cpm	0.204737	0	0.390559	0.362668
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_UnTx_rep3_quant	setdb1_ko_untreated	other		log2_cpm	1.43204	0.725251	-0.155506	0.508767
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_UnTx_rep4_quant	setdb1_ko_untreated	other		log2_cpm	0.584873	0.192611	0.199553	0.423663
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_UnTx_rep5_quant	setdb1_ko_untreated	other		log2_cpm	0.452331	0.102523	0.310091	-1.00501
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_UnTx_rep6_quant	setdb1_ko_untreated	other		log2_cpm	0.691836	1.54742	0.314909	-0.040547
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_UnTx_rep7_quant	setdb1_ko_untreated	other		log2_cpm	0.102513	0.452292	0.502782	-0.462404
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_UnTx_rep8_quant	setdb1_ko_untreated	other		log2_cpm	0.11226	0.216411	0.312844	0.416176
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_UnTx_rep9_quant	setdb1_ko_untreated	other		log2_cpm	0	0.447372	0.129379	0.0104392
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_UnTx_rep3_quant	control_untreated	other		log2_cpm	0.184115	0	0.407722	0.560404
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_UnTx_rep10_quant	setdb1_ko_untreated	other		log2_cpm	0.111442	0	-0.139597	0.0365248
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_Tx_rep1_quant	control_icb	resistant		log2_cpm	0.100305	0.443608	-0.75657	-0.358799
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_Tx_rep2_quant	control_icb	resistant		log2_cpm	0.393255	0.170363	0.215691	-0.28886
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_Tx_rep3_quant	control_icb	resistant		log2_cpm	0.195265	0.367224	0.164688	0.0300914
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_Tx_rep4_quant	control_icb	resistant		log2_cpm	0.089434	0.533732	-0.39381	0.761197
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_Tx_rep5_quant	control_icb	resistant		log2_cpm	0.208098	0.301875	0.121894	0.554342
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_Tx_rep6_quant	control_icb	resistant		log2_cpm	0.622164	0.907791	0.279622	0.270887
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_UnTx_rep4_quant	control_untreated	other		log2_cpm	0	0.185229	-0.0740286	0.10238
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_Tx_rep1_quant	setdb1_ko_icb	reference		log2_cpm	0.375379	0.919562	-0.646872	0.938908
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_Tx_rep2_quant	setdb1_ko_icb	reference		log2_cpm	0.304313	0.392985	-1.26653	0.114527
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_Tx_rep3_quant	setdb1_ko_icb	reference		log2_cpm	0.0795306	0.594613	-0.346946	0.287631
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_Tx_rep4_quant	setdb1_ko_icb	reference		log2_cpm	0.261832	0.550245	-0.248159	0.260602
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_UnTx_rep5_quant	control_untreated	other		log2_cpm	0	0.43229	0.503195	-0.249244
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_Tx_rep5_quant	setdb1_ko_icb	reference		log2_cpm	0.593214	0.172681	-0.168045	-0.456795
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_Tx_rep6_quant	setdb1_ko_icb	reference		log2_cpm	0.312496	0.0846949	-0.691213	-0.414692
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_setdb1_sg4_Tx_rep7_quant	setdb1_ko_icb	reference		log2_cpm	3.83474	5.62356	-0.971035	-0.732212
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_UnTx_rep6_quant	control_untreated	other		log2_cpm	0.517329	0.0862602	0.135233	-0.114389
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_UnTx_rep7_quant	control_untreated	other		log2_cpm	0.116217	0.116217	0.514346	-1.40229
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_UnTx_rep8_quant	control_untreated	other		log2_cpm	0.375244	0.290182	0.459249	0.369404
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_UnTx_rep9_quant	control_untreated	other		log2_cpm	0.259294	0.756277	-0.861765	-0.12746
GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	0	llc_control_sg5_UnTx_rep10_quant	control_untreated	other		log2_cpm	0	0.108836	0.453359	0.482254
