question	cohort	accession	model	kras	response_family	confounded	subset	module	score	association	transform	sample_filter	effect_name	effect	p	n	n_resistant	n_reference	n_genes	thesis_aligned	eligible_headline	pre_specified	q_bh
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			mwu	log2_count	all	median_resistant_minus_reference	-0.736966	0.311933	13	6	7		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			welch	log2_count	all	median_resistant_minus_reference	-0.736966	0.254428	13	6	7		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			spearman_binary	log2_count	all	spearman_rho	-0.312751	0.298148	13	6	7		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			fisher_median	log2_count	all	odds_ratio_high_cldn4_in_resistant	0.2	0.286131	13	6	7		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			fisher_tertile	log2_count	all	odds_ratio_high_cldn4_in_resistant	0.333333	1	13	6	7		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			fisher_quartile	log2_count	all	odds_ratio_high_cldn4_in_resistant	0.25	1	13	6	7		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			mwu	log2_count	drop_max_cldn4	median_resistant_minus_reference	-0.576002	0.51591	12	6	6		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			welch	log2_count	drop_max_cldn4	median_resistant_minus_reference	-0.576002	0.509368	12	6	6		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			spearman_binary	log2_count	drop_max_cldn4	spearman_rho	-0.220366	0.491307	12	6	6		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			fisher_median	log2_count	drop_max_cldn4	odds_ratio_high_cldn4_in_resistant	0.25	0.5671	12	6	6		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			fisher_tertile	log2_count	drop_max_cldn4	odds_ratio_high_cldn4_in_resistant	0.333333	1	12	6	6		0	0	0	1
cldn4_response	GSE155972_LLC	GSE155972	LLC	KrasG12C and NrasQ61; not Stk11/Lkb1	tismo_label	1	pooled			fisher_quartile	log2_count	drop_max_cldn4	odds_ratio_high_cldn4_in_resistant	1	1	12	6	6		0	0	0	1
