set_name	library	genotype	score_mean_log2fpkm1
TJ_EPITHELIAL	B6AL10-1-RNA	KP	3.697860588015009
TJ_EPITHELIAL	B6AL10-2-RNA	KP	3.906301274438241
TJ_EPITHELIAL	B6AL10-3-RNA	KP	2.403349609828504
TJ_EPITHELIAL	B6AL10-4-RNA	KP	3.6359461360203604
TJ_EPITHELIAL	B6AL10-5-RNA	KP	3.740659783680754
TJ_EPITHELIAL	KL155mix-control-2-RNA	KL	4.971360649673374
TJ_EPITHELIAL	KL47-1-untreated-1-RNA	KL	4.97667344874778
TJ_EPITHELIAL	KLC-RNA	KL	5.207150879890147
TJ_EPITHELIAL	KLD-RNA	KL	5.1278382497726795
TJ_EPITHELIAL	KLE-RNA	KL	5.234226477877002
TJ_TISMO	B6AL10-1-RNA	KP	4.4138290099685715
TJ_TISMO	B6AL10-2-RNA	KP	4.545190846400181
TJ_TISMO	B6AL10-3-RNA	KP	2.854568655410737
TJ_TISMO	B6AL10-4-RNA	KP	4.274478999672965
TJ_TISMO	B6AL10-5-RNA	KP	4.311348839915664
TJ_TISMO	KL155mix-control-2-RNA	KL	7.069169147857404
TJ_TISMO	KL47-1-untreated-1-RNA	KL	7.242771916840016
TJ_TISMO	KLC-RNA	KL	7.264065121954524
TJ_TISMO	KLD-RNA	KL	7.7727368331375475
TJ_TISMO	KLE-RNA	KL	7.393262186000705
CLDN4_TJ_EDGE	B6AL10-1-RNA	KP	3.3163441928360515
CLDN4_TJ_EDGE	B6AL10-2-RNA	KP	3.5889894782229876
CLDN4_TJ_EDGE	B6AL10-3-RNA	KP	2.080988395386551
CLDN4_TJ_EDGE	B6AL10-4-RNA	KP	3.26703657289398
CLDN4_TJ_EDGE	B6AL10-5-RNA	KP	3.417458417242999
CLDN4_TJ_EDGE	KL155mix-control-2-RNA	KL	5.347782804097231
CLDN4_TJ_EDGE	KL47-1-untreated-1-RNA	KL	5.407257568792433
CLDN4_TJ_EDGE	KLC-RNA	KL	5.712234245602414
CLDN4_TJ_EDGE	KLD-RNA	KL	5.724966906648441
