library	genotype	genotype_source	in_primary
B6AL10-1-RNA	KP	GEO Sample_description: KrasLSL-G12D crossed with p53 conditional knockout	yes
B6AL10-2-RNA	KP	GEO Sample_description: KrasLSL-G12D crossed with p53 conditional knockout	yes
B6AL10-3-RNA	KP	GEO Sample_description: KrasLSL-G12D crossed with p53 conditional knockout	yes
B6AL10-4-RNA	KP	GEO Sample_description: KrasLSL-G12D crossed with p53 conditional knockout	yes
B6AL10-5-RNA	KP	GEO Sample_description: KrasLSL-G12D crossed with p53 conditional knockout	yes
KL155mix-control-2-RNA	KL	GEO Sample_description: KrasLSL-G12D crossed with Lkb1	yes
KL47-1-untreated-1-RNA	KL	GEO Sample_description: KrasLSL-G12D crossed with Lkb1	yes
KLC-RNA	KL	GEO Sample_description: KrasLSL-G12D crossed with Lkb1	yes
KLD-RNA	KL	GEO Sample_description: KrasLSL-G12D crossed with Lkb1	yes
KLE-RNA	KL	GEO Sample_description: KrasLSL-G12D crossed with Lkb1	yes
normal-lung-RNA	normal_lung	GEO title normal-lung-RNA; tissue Lung; excluded from KL vs KP	no
