set_name	gene	status	source
TJ_EPITHELIAL	Cldn1	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Cldn3	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Cldn4	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Cldn7	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Ocln	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Marveld2	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Marveld3	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Tjp1	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Tjp2	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Tjp3	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	F11r	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Jam2	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Jam3	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Cgn	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Cgnl1	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Crb3	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Ildr1	used	18 structural epithelial tight-junction genes
TJ_EPITHELIAL	Lsr	used	18 structural epithelial tight-junction genes
TJ_TISMO	Cldn3	used	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	Cldn4	used	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	Cldn6	used	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	Cldn7	used	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	Cdh1	used	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	F11r	used	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
TJ_TISMO	Ocln	used	TISMO TJ list: Cldn3/4/6/7, Cdh1, F11r, Ocln
CLDN4_TJ_EDGE	Cldn4	used	prior TJ-core leading edge, vendored
CLDN4_TJ_EDGE	Cldn1	used	prior TJ-core leading edge, vendored
CLDN4_TJ_EDGE	Cldn7	used	prior TJ-core leading edge, vendored
CLDN4_TJ_EDGE	Cgnl1	used	prior TJ-core leading edge, vendored
CLDN4_TJ_EDGE	Marveld2	used	prior TJ-core leading edge, vendored
CLDN4_TJ_EDGE	Marveld3	used	prior TJ-core leading edge, vendored
CLDN4_TJ_EDGE	Tjp1	used	prior TJ-core leading edge, vendored
CLDN4_TJ_EDGE	Tjp2	used	prior TJ-core leading edge, vendored
CLDN4_TJ_EDGE	Ildr1	used	prior TJ-core leading edge, vendored
CLDN4_TJ_EDGE	Cldn3	used	prior TJ-core leading edge, vendored
CLDN4_TJ_EDGE	Ocln	used	prior TJ-core leading edge, vendored
NHEJ_CORE	Xrcc6	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_CORE	Xrcc5	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_CORE	Prkdc	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_CORE	Xrcc4	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_CORE	Lig4	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_CORE	Nhej1	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_CORE	Dclre1c	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_CORE	Paxx	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_CORE	Poll	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_CORE	Polm	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_CORE	Trp53bp1	used	c-NHEJ enzymes plus Trp53bp1
NHEJ_EXTENDED	Trp53bp1	used	53BP1-pathway and end-sensing genes
NHEJ_EXTENDED	Rnf8	used	53BP1-pathway and end-sensing genes
