ensembl	gene	log2FC	t	pvalue	mean_KO	mean_WT	padj
ENSMUSG00000051397	Tacstd2	-3.8211685643857187	-5.297353427363515	0.001079236576173238	11.018102648690116	159.15045512234832	0.6478966738953086
ENSMUSG00000047501	Cldn4	-0.8172280353675259	-1.2458679029478745	0.25291925759343825	1673.7895169202948	2604.829025055698	0.9408937088421523
ENSMUSG00000045394	Epcam	-1.2618615808354399	-2.9953732326889413	0.021457068522227	1317.2327049343908	2955.574774839264	0.8274267427791254
ENSMUSG00000022512	Cldn1	-2.1807070102827377	-2.549853554757158	0.034988150464178316	17.50530954904041	97.64550013111764	0.8530880614102223
ENSMUSG00000070473	Cldn3	-1.437720102641391	-2.0045323070615972	0.08205248942486885	113.31941007616724	287.58800392237345	0.8926774703156148
ENSMUSG00000018569	Cldn7	-0.8228841611013129	-2.1219770364077735	0.09063371097479317	139.42333075021799	285.616921305738	0.8957327879471728
ENSMUSG00000030516	Tjp1	-0.07367406059102066	-0.16395364372007165	0.8746575474759269	2019.7341799623598	2282.009365481153	0.9869164797296937
ENSMUSG00000024812	Tjp2	-0.6273431750786624	-1.764741656943386	0.12401986988823163	593.0167402449827	967.8792590207555	0.9097889429604632
ENSMUSG00000021638	Ocln	-0.6612764303503198	-2.208329366044782	0.07777295420828834	112.60272069067275	190.0845905429492	0.8926774703156148
ENSMUSG00000038235	F11r	-0.09721905759822569	-0.590528244748857	0.5797194329036832	887.3714342589379	968.2126243023322	0.9757906818837069
ENSMUSG00000000303	Cdh1	-0.9591452728027168	-1.8440392438670146	0.1132637617273333	1255.5854338708882	2701.3904398256154	0.9021486754499922
ENSMUSG00000026728	Vim	0.07644690730083425	0.3287947616072828	0.7515944765872592	26669.39604676964	24901.32326979942	0.9807736549639847
ENSMUSG00000042821	Snai1	0.0875813374498211	0.2722484510993617	0.7940182176151823	292.22876330945223	292.6656962429526	0.9832141480702736
ENSMUSG00000022676	Snai2	-0.4864830434890166	-1.2179961226679	0.28618939027558327	58.36479600273132	72.29584260180582	0.9500469815947382
ENSMUSG00000024238	Zeb1	-0.15013836895799315	-0.8958022125329519	0.39785903526646005	507.49683889716425	567.1141066363698	0.9669695803582258
ENSMUSG00000026104	Stat1	0.460047866536172	1.193285327253577	0.2872011038721638	2815.969139593924	2281.2260638625135	0.9500469815947382
ENSMUSG00000040033	Stat2	0.23213947039573668	0.6122465130580174	0.5605873352988693	1061.2382542407508	959.8345784616358	0.9751097359008175
ENSMUSG00000018899	Irf1	0.2687549366521065	1.5839936425282575	0.17896093662813956	2239.238750733494	1904.155600100178	0.9208435595347795
ENSMUSG00000035692	Isg15	-0.09074158395022547	-0.21023083161354264	0.838755133540179	272.50826274168037	287.421868951179	0.9840475156402266
ENSMUSG00000000386	Mx1	0.1595883351210956	0.45317381612300006	0.6664509346670644	129.16587285574536	125.09312274771469	0.9757906818837069
