accession	model	gene	sample	group	value
GSE114601	KP GEMM	Tacstd2	s1795	anti-PD1	40.91
GSE114601	KP GEMM	Tacstd2	s2467	anti-PD1-JQ1	37.67
GSE114601	KP GEMM	Tacstd2	s2503	JQ1	60.54
GSE114601	KP GEMM	Tacstd2	s2521	anti-PD1	102.61
GSE114601	KP GEMM	Tacstd2	s2596	Vehicle	292.84
GSE114601	KP GEMM	Tacstd2	s2617	Vehicle	72.31
GSE114601	KP GEMM	Tacstd2	s2625	JQ1	19.68
GSE114601	KP GEMM	Tacstd2	s2669	anti-PD1-JQ1	43.94
GSE114601	KP GEMM	Cldn4	s1795	anti-PD1	16.24
GSE114601	KP GEMM	Cldn4	s2467	anti-PD1-JQ1	116.77
GSE114601	KP GEMM	Cldn4	s2503	JQ1	29.32
GSE114601	KP GEMM	Cldn4	s2521	anti-PD1	46.88
GSE114601	KP GEMM	Cldn4	s2596	Vehicle	72.68
GSE114601	KP GEMM	Cldn4	s2617	Vehicle	69.12
GSE114601	KP GEMM	Cldn4	s2625	JQ1	149.58
GSE114601	KP GEMM	Cldn4	s2669	anti-PD1-JQ1	209.43
GSE114601	KP GEMM	Cd8a	s1795	anti-PD1	0.65
GSE114601	KP GEMM	Cd8a	s2467	anti-PD1-JQ1	0.0
GSE114601	KP GEMM	Cd8a	s2503	JQ1	0.95
GSE114601	KP GEMM	Cd8a	s2521	anti-PD1	1.77
GSE114601	KP GEMM	Cd8a	s2596	Vehicle	0.0
GSE114601	KP GEMM	Cd8a	s2617	Vehicle	1.06
GSE114601	KP GEMM	Cd8a	s2625	JQ1	0.0
GSE114601	KP GEMM	Cd8a	s2669	anti-PD1-JQ1	0.0
GSE114601	KP GEMM	Cd274	s1795	anti-PD1	17.53
GSE114601	KP GEMM	Cd274	s2467	anti-PD1-JQ1	26.37
GSE114601	KP GEMM	Cd274	s2503	JQ1	14.19
GSE114601	KP GEMM	Cd274	s2521	anti-PD1	10.61
GSE114601	KP GEMM	Cd274	s2596	Vehicle	14.25
GSE114601	KP GEMM	Cd274	s2617	Vehicle	14.89
GSE114601	KP GEMM	Cd274	s2625	JQ1	14.96
GSE114601	KP GEMM	Cd274	s2669	anti-PD1-JQ1	7.32
GSE157880	HKP1 lung	Tacstd2	0-1_S13	IgG_0Gy	5.40711
GSE157880	HKP1 lung	Tacstd2	0-2_S14	IgG_0Gy	2.57645
GSE157880	HKP1 lung	Tacstd2	0-3_S15	IgG_0Gy	14.3823
GSE157880	HKP1 lung	Tacstd2	4_2_S26	IgG_4Gy	19.1183
GSE157880	HKP1 lung	Tacstd2	4_3_S27	IgG_4Gy	4.30889
GSE157880	HKP1 lung	Tacstd2	8_1_S31	IgG_8Gy	4.1926
