accession	model	design	gene	group_a	group_b	n_a	n_b	mean_a	mean_b	log2FC_b_vs_a	log2FC_KL_vs_KP	welch_p	mwu_p	author_p	value_space	icb	response	genotype	note
GSE114601	KP GEMM lung nodules	anti-PD1 vs vehicle	Tacstd2	vehicle	anti-PD1	2	2	182.575	71.75999999999999	-1.3351521518707479		0.49236009523882696	0.6666666666666666		log2_mean_plus1	True	False	False	n=2 vs 2; orthotopic GEMM
GSE114601	KP GEMM lung nodules	anti-PD1+JQ1 vs vehicle	Tacstd2	vehicle	anti-PD1+JQ1	2	2	182.575	40.805	-2.1346221916972685		0.4206989316256315	0.3333333333333333		log2_mean_plus1	True	False	False	BET+ICB combo
GSE114601	KP GEMM lung nodules	anti-PD1 vs vehicle	Cldn4	vehicle	anti-PD1	2	2	70.9	31.560000000000002	-1.142891071060413		0.2325475923324875	0.3333333333333333		log2_mean_plus1	True	False	False	n=2 vs 2; orthotopic GEMM
GSE114601	KP GEMM lung nodules	anti-PD1+JQ1 vs vehicle	Cldn4	vehicle	anti-PD1+JQ1	2	2	70.9	163.1	1.1905115630744147		0.29605514599568217	0.3333333333333333		log2_mean_plus1	True	False	False	BET+ICB combo
GSE157880	HKP1 orthotopic lung	anti-PD-1 0 Gy vs IgG 0 Gy	Tacstd2	IgG_0Gy	PD-1_0Gy	3	2	7.455286666666667	4.179525	-0.7070338699812242		0.45806726510883405	0.8		log2_(mean+1)	True	False	False	primary ICB without radiation
GSE157880	HKP1 orthotopic lung	anti-PD-1 4 Gy vs IgG 0 Gy	Tacstd2	IgG_0Gy	PD-1_4Gy	3	3	7.455286666666667	7.580663333333334	0.021235512079752317		0.980652992737794	1.0		log2_(mean+1)	True	False	False	radiation confounder
GSE157880	HKP1 orthotopic lung	IgG 4 Gy vs IgG 0 Gy	Tacstd2	IgG_0Gy	IgG_4Gy	3	2	7.455286666666667	11.713595000000002	0.5884464627930257		0.6712311859864777	0.8		log2_(mean+1)	False	False	False	radiation-only control
GSE157880	HKP1 orthotopic lung	anti-PD-1 0 Gy vs IgG 0 Gy	Cldn4	IgG_0Gy	PD-1_0Gy	3	2	4.21442	6.177225	0.4609193580194094		0.40232582277359524	0.8		log2_(mean+1)	True	False	False	primary ICB without radiation
GSE157880	HKP1 orthotopic lung	anti-PD-1 4 Gy vs IgG 0 Gy	Cldn4	IgG_0Gy	PD-1_4Gy	3	3	4.21442	5.243246666666667	0.2597896761930459		0.7023872919632337	0.7		log2_(mean+1)	True	False	False	radiation confounder
GSE157880	HKP1 orthotopic lung	IgG 4 Gy vs IgG 0 Gy	Cldn4	IgG_0Gy	IgG_4Gy	3	2	4.21442	5.66282	0.35362612819564926		0.6640483956962656	0.8		log2_(mean+1)	False	False	False	radiation-only control
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 vs vehicle	Tacstd2	vehicle	polyI:C+aPD-1	8	8	-3.09246197887016	-0.9992444154050555	2.093217563465105		0.000630978729467418	0.0006216006216006216		already_log_mean_diff	True	False	False	NO monotherapy aPD-1 arm; Poly I:C confounder. C_=vehicle, D_=doublet, T_=triplet
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	Tacstd2	vehicle	triplet	8	8	-3.09246197887016	-0.516358806299754	2.576103172570406		0.0009744361953293064	0.0018648018648018648		already_log_mean_diff	True	False	False	triple combo; still no aPD-1 monotherapy
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 vs vehicle	Cldn4	vehicle	polyI:C+aPD-1	8	8	-3.083329046096444	-3.854541246406955	-0.7712122003105111		0.23776200222522692	0.2786324786324786		already_log_mean_diff	True	False	False	NO monotherapy aPD-1 arm; Poly I:C confounder. C_=vehicle, D_=doublet, T_=triplet
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	Cldn4	vehicle	triplet	8	8	-3.083329046096444	-2.4974881080280857	0.5858409380683582		0.3574400818475832	0.1605283605283605		already_log_mean_diff	True	False	False	triple combo; still no aPD-1 monotherapy
GSE262305	LLC subcutaneous	anti-PD-L1 vs isotype	Tacstd2	isotype	aPDL1	3	3	0.15999403833333334	0.18771186766666667	0.03406749794969133		0.6547303981084489	1.0		log2_(mean+1)	True	False	False	monotherapy ICB; FPKM
GSE262305	LLC subcutaneous	BTZ+anti-PD-L1 vs isotype	Tacstd2	isotype	BTZ+aPDL1	3	3	0.15999403833333334	0.16126009966666668	0.001573753220969962		0.9894471630658392	1.0		log2_(mean+1)	True	False	False	combo; FPKM
GSE262305	LLC subcutaneous	anti-PD-L1 vs isotype	Cldn4	isotype	aPDL1	3	3	0.11789805733333335	0.063418892	-0.07207863109607189		0.5094549549023475	0.7		log2_(mean+1)	True	False	False	monotherapy ICB; FPKM
GSE262305	LLC subcutaneous	BTZ+anti-PD-L1 vs isotype	Cldn4	isotype	BTZ+aPDL1	3	3	0.11789805733333335	0.037776693	-0.10729259236905146		0.3637733615784727	0.5065551690490403		log2_(mean+1)	True	False	False	combo; FPKM
GSE274960	LL/2 LLC	anti-PD-1 vs IgG	Tacstd2	IgG	aPD1	3	3	35.333333333333336	26.666666666666668	-0.39314489343000164		0.5987860528945703	0.8247780950825133		log2_(mean+1)	True	False	False	monotherapy ICB
