accession	model	design	gene	group_a	group_b	icb_contrast	response_contrast	genotype_contrast	note	n_a	n_b	mean_a	mean_b	median_a	median_b	log2fc_mean	welch_p	mwu_p	direction	space	welch_fdr_among_icb	author_row
GSE114601	KP GEMM lung nodules	anti-PD1 vs vehicle	Tacstd2	vehicle	anti-PD1	True	False	False	n=2 vs 2; orthotopic GEMM	2	2	182.575	71.75999999999999	182.575	71.75999999999999	-1.3351521518707479	0.49236009523882696	0.6666666666666666	down_in_b	log2_mean_plus1	0.6645011296080398	
GSE114601	KP GEMM lung nodules	anti-PD1+JQ1 vs vehicle	Tacstd2	vehicle	anti-PD1+JQ1	True	False	False	BET+ICB combo	2	2	182.575	40.805	182.575	40.805	-2.1346221916972685	0.4206989316256315	0.3333333333333333	down_in_b	log2_mean_plus1	0.658628147467245	
GSE114601	KP GEMM lung nodules	anti-PD1 vs vehicle	Cldn4	vehicle	anti-PD1	True	False	False	n=2 vs 2; orthotopic GEMM	2	2	70.9	31.560000000000002	70.9	31.560000000000002	-1.142891071060413	0.2325475923324875	0.3333333333333333	down_in_b	log2_mean_plus1	0.6311408767649335	
GSE114601	KP GEMM lung nodules	anti-PD1+JQ1 vs vehicle	Cldn4	vehicle	anti-PD1+JQ1	True	False	False	BET+ICB combo	2	2	70.9	163.1	70.9	163.1	1.1905115630744147	0.29605514599568217	0.3333333333333333	up_in_b	log2_mean_plus1	0.6311408767649335	
GSE114601	KP GEMM lung nodules	anti-PD1 vs vehicle	Cd8a	vehicle	anti-PD1	True	False	False	n=2 vs 2; orthotopic GEMM	2	2	0.53	1.21	0.53	1.21	1.1909412529573065	0.47108723403264857	0.6666666666666666	up_in_b	log2_mean_plus_eps	0.6638047388641867	
GSE114601	KP GEMM lung nodules	anti-PD1+JQ1 vs vehicle	Cd8a	vehicle	anti-PD1+JQ1	True	False	False	BET+ICB combo	2	2	0.53	0.0	0.53	0.0	-19.015635556176196	0.5000000000000001	0.6170750774519738	down_in_b	log2_mean_plus_eps	0.6645011296080398	
GSE114601	KP GEMM lung nodules	anti-PD1 vs vehicle	Cd274	vehicle	anti-PD1	True	False	False	n=2 vs 2; orthotopic GEMM	2	2	14.57	14.07	14.57	14.07	-0.050378545309209946	0.9087163598584099	1.0	down_in_b	log2_mean_plus_eps	0.9713864536417486	
GSE114601	KP GEMM lung nodules	anti-PD1+JQ1 vs vehicle	Cd274	vehicle	anti-PD1+JQ1	True	False	False	BET+ICB combo	2	2	14.57	16.845	14.57	16.845	0.20931953768435266	0.850755940318522	1.0	up_in_b	log2_mean_plus_eps	0.9253836543815502	
GSE157880	HKP1 orthotopic lung	anti-PD-1 0 Gy vs IgG 0 Gy	Tacstd2	IgG_0Gy	PD-1_0Gy	True	False	False	primary ICB without radiation	3	2	7.455286666666667	4.179525	5.40711	4.179525	-0.8349246852670069	0.45806726510883405	0.8	down_in_b	log2_mean_plus_eps	0.6604690799243653	
GSE157880	HKP1 orthotopic lung	anti-PD-1 4 Gy vs IgG 0 Gy	Tacstd2	IgG_0Gy	PD-1_4Gy	True	False	False	radiation confounder	3	3	7.455286666666667	7.580663333333334	5.40711	7.01531	0.02406026404102661	0.980652992737794	1.0	up_in_b	log2_mean_plus_eps	0.9894471630658392	
GSE157880	HKP1 orthotopic lung	IgG 4 Gy vs IgG 0 Gy	Tacstd2	IgG_0Gy	IgG_4Gy	False	False	False	radiation-only control	3	2	7.455286666666667	11.713595000000002	5.40711	11.713595000000002	0.6518481161699546	0.6712311859864777	0.8	up_in_b	log2_mean_plus_eps		
GSE157880	HKP1 orthotopic lung	anti-PD-1 0 Gy vs IgG 0 Gy	Cldn4	IgG_0Gy	PD-1_0Gy	True	False	False	primary ICB without radiation	3	2	4.21442	6.177225	4.00999	6.177225	0.5516246745829466	0.40232582277359524	0.8	up_in_b	log2_mean_plus_eps	0.658628147467245	
GSE157880	HKP1 orthotopic lung	anti-PD-1 4 Gy vs IgG 0 Gy	Cldn4	IgG_0Gy	PD-1_4Gy	True	False	False	radiation confounder	3	3	4.21442	5.243246666666667	4.00999	4.08615	0.3151262541597275	0.7023872919632337	0.7	up_in_b	log2_mean_plus_eps	0.8216606056928394	
GSE157880	HKP1 orthotopic lung	IgG 4 Gy vs IgG 0 Gy	Cldn4	IgG_0Gy	IgG_4Gy	False	False	False	radiation-only control	3	2	4.21442	5.66282	4.00999	5.66282	0.42618648789043545	0.6640483956962656	0.8	up_in_b	log2_mean_plus_eps		
GSE157880	HKP1 orthotopic lung	anti-PD-1 0 Gy vs IgG 0 Gy	Cd8a	IgG_0Gy	PD-1_0Gy	True	False	False	primary ICB without radiation	3	2	74.12633333333333	56.455	69.8317	56.455	-0.38688624249916276	0.5621824570166205	1.0	down_in_b	log2_mean_plus1	0.7113329047965402	
GSE157880	HKP1 orthotopic lung	anti-PD-1 4 Gy vs IgG 0 Gy	Cd8a	IgG_0Gy	PD-1_4Gy	True	False	False	radiation confounder	3	3	74.12633333333333	48.65776666666667	69.8317	38.9017	-0.5972993123504696	0.3664688961860904	0.2	down_in_b	log2_mean_plus1	0.6311408767649335	
GSE157880	HKP1 orthotopic lung	IgG 4 Gy vs IgG 0 Gy	Cd8a	IgG_0Gy	IgG_4Gy	False	False	False	radiation-only control	3	2	74.12633333333333	57.20645	69.8317	57.20645	-0.3681396602524341	0.6543042859875772	0.8	down_in_b	log2_mean_plus1		
GSE157880	HKP1 orthotopic lung	anti-PD-1 0 Gy vs IgG 0 Gy	Cd274	IgG_0Gy	PD-1_0Gy	True	False	False	primary ICB without radiation	3	2	89.33206666666666	64.2535	85.0422	64.2535	-0.46918293038335795	0.15027465476700566	0.2	down_in_b	log2_mean_plus1	0.5176126997530195	
GSE157880	HKP1 orthotopic lung	anti-PD-1 4 Gy vs IgG 0 Gy	Cd274	IgG_0Gy	PD-1_4Gy	True	False	False	radiation confounder	3	3	89.33206666666666	66.07893333333334	85.0422	78.6877	-0.4293784680986526	0.31323548572805077	0.7	down_in_b	log2_mean_plus1	0.6311408767649335	
GSE157880	HKP1 orthotopic lung	IgG 4 Gy vs IgG 0 Gy	Cd274	IgG_0Gy	IgG_4Gy	False	False	False	radiation-only control	3	2	89.33206666666666	50.800200000000004	85.0422	50.800200000000004	-0.8022805477791608	0.32201763497617697	0.2	down_in_b	log2_mean_plus1		
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 vs vehicle	Tacstd2	vehicle	polyI:C+aPD-1	True	False	False	NO monotherapy aPD-1 arm; Poly I:C confounder. C_=vehicle, D_=doublet, T_=triplet	8	8	-3.09246197887016	-0.9992444154050555	-3.10353781011983	-0.8765343602647475	2.093217563465105	0.000630978729467418	0.0006216006216006216	up_in_b	already_log_mean_diff	0.006520113537829986	
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	Tacstd2	vehicle	triplet	True	False	False	triple combo; still no aPD-1 monotherapy	8	8	-3.09246197887016	-0.516358806299754	-3.10353781011983	-0.4556330734072423	2.576103172570406	0.0009744361953293064	0.0018648018648018648	up_in_b	already_log_mean_diff	0.008630720587202429	
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 vs vehicle	Cldn4	vehicle	polyI:C+aPD-1	True	False	False	NO monotherapy aPD-1 arm; Poly I:C confounder. C_=vehicle, D_=doublet, T_=triplet	8	8	-3.083329046096444	-3.854541246406955	-3.10939981550434	-4.21903078062692	-0.7712122003105111	0.23776200222522692	0.2786324786324786	down_in_b	already_log_mean_diff	0.6311408767649335	
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	Cldn4	vehicle	triplet	True	False	False	triple combo; still no aPD-1 monotherapy	8	8	-3.083329046096444	-2.4974881080280857	-3.10939981550434	-1.9851042966772399	0.5858409380683582	0.3574400818475832	0.1605283605283605	up_in_b	already_log_mean_diff	0.6311408767649335	
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 vs vehicle	Cd8a	vehicle	polyI:C+aPD-1	True	False	False	NO monotherapy aPD-1 arm; Poly I:C confounder. C_=vehicle, D_=doublet, T_=triplet	8	8	1.387517720575992	1.5991353484572843	1.3923990629371201	1.7803257224468498	0.204785717122229	0.5144524874384824	0.5737373737373737	up_in_b	log2_mean_plus_eps	0.6645011296080398	
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	Cd8a	vehicle	triplet	True	False	False	triple combo; still no aPD-1 monotherapy	8	8	1.387517720575992	3.3312271427595777	1.3923990629371201	3.504410619609655	1.2635469253089937	7.655488114848011e-05	0.0006216006216006216	up_in_b	log2_mean_plus_eps	0.0011866006578014417	
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 vs vehicle	Cd274	vehicle	polyI:C+aPD-1	True	False	False	NO monotherapy aPD-1 arm; Poly I:C confounder. C_=vehicle, D_=doublet, T_=triplet	8	8	5.153580320068545	7.09546117546069	5.30237162017007	7.251596630014266	0.4613213232586004	1.917698771288302e-06	0.0001554001554001554	up_in_b	log2_mean_plus_eps	5.944866190993735e-05	
GSE239485	LLC subcutaneous	Poly I:C + anti-PD-1 + C5aR1i vs vehicle	Cd274	vehicle	triplet	True	False	False	triple combo; still no aPD-1 monotherapy	8	8	5.153580320068545	7.684949892721255	5.30237162017007	7.78736783206881	0.5764607044636674	1.6357486491298917e-06	0.0001554001554001554	up_in_b	log2_mean_plus_eps	5.944866190993735e-05	
GSE262305	LLC subcutaneous	anti-PD-L1 vs isotype	Tacstd2	isotype	aPDL1	True	False	False	monotherapy ICB; FPKM	3	3	0.15999403833333334	0.18771186766666667	0.210129229	0.175760232	0.23050038407160484	0.6547303981084489	1.0	up_in_b	log2_mean_plus_eps	0.7806400900523814	
GSE262305	LLC subcutaneous	BTZ+anti-PD-L1 vs isotype	Tacstd2	isotype	BTZ+aPDL1	True	False	False	combo; FPKM	3	3	0.15999403833333334	0.16126009966666668	0.210129229	0.124507324	0.011371299391676864	0.9894471630658392	1.0	up_in_b	log2_mean_plus_eps	0.9894471630658392	
GSE262305	LLC subcutaneous	anti-PD-L1 vs isotype	Cldn4	isotype	aPDL1	True	False	False	monotherapy ICB; FPKM	3	3	0.11789805733333335	0.063418892	0.117312911	0.055090429	-0.8945448574978695	0.5094549549023475	0.7	down_in_b	log2_mean_plus_eps	0.6645011296080398	
GSE262305	LLC subcutaneous	BTZ+anti-PD-L1 vs isotype	Cldn4	isotype	BTZ+aPDL1	True	False	False	combo; FPKM	3	3	0.11789805733333335	0.037776693	0.117312911	0.029738465	-1.641945675897789	0.3637733615784727	0.5065551690490403	down_in_b	log2_mean_plus_eps	0.6311408767649335	
GSE262305	LLC subcutaneous	anti-PD-L1 vs isotype	Cd8a	isotype	aPDL1	True	False	False	monotherapy ICB; FPKM	3	3	0.463399893	0.7126967240000001	0.636704085	0.658534466	0.6210294927668363	0.3532978425776141	0.4	up_in_b	log2_mean_plus_eps	0.6311408767649335	
GSE262305	LLC subcutaneous	BTZ+anti-PD-L1 vs isotype	Cd8a	isotype	BTZ+aPDL1	True	False	False	combo; FPKM	3	3	0.463399893	0.7781566253333333	0.636704085	0.762912255	0.7478015959573472	0.2678803022265271	0.1	up_in_b	log2_mean_plus_eps	0.6311408767649335	
GSE262305	LLC subcutaneous	anti-PD-L1 vs isotype	Cd274	isotype	aPDL1	True	False	False	monotherapy ICB; FPKM	3	3	5.895549307333333	8.780286063666667	5.061610469	9.134891371	0.5746416234370505	0.1320752986457752	0.2	up_in_b	log2_mean_plus_eps	0.5117917822523789	
GSE262305	LLC subcutaneous	BTZ+anti-PD-L1 vs isotype	Cd274	isotype	BTZ+aPDL1	True	False	False	combo; FPKM	3	3	5.895549307333333	8.789407101666667	5.061610469	7.7408411	0.5761395296156884	0.20002498493093807	0.4	up_in_b	log2_mean_plus_eps	0.5905499555103886	
GSE274960	LL/2 LLC	anti-PD-1 vs IgG	Tacstd2	IgG	aPD1	True	False	False	monotherapy ICB	3	3	35.333333333333336	26.666666666666668	43.0	24.0	-0.39314489343000164	0.5987860528945703	0.8247780950825133	down_in_b	log2_mean_plus1	0.7364576506129477	
GSE274960	LL/2 LLC	Entrectinib+anti-PD-1 vs IgG	Tacstd2	IgG	Entrectinib+aPD1	True	False	False	combo	3	4	35.333333333333336	11.25	43.0	12.5	-1.568511979940562	0.17510638266072623	0.22857142857142856	down_in_b	log2_mean_plus1	0.5713997749981592	
GSE274960	LL/2 LLC	anti-PD-1 vs IgG	Cldn4	IgG	aPD1	True	False	False	monotherapy ICB	3	3	9.333333333333334	18.666666666666668	8.0	20.0	0.999999922712772	0.3195695775374019	0.36868826936178156	up_in_b	log2_mean_plus_eps	0.6311408767649335	
