family	cohort	stratum	covariates	method	outcome	cut	predictor_cut	predictor	effect	p	aux	n	n_high	n_low
continuous	LUAD	all	KRT5_6_14_TP63	spearman	CD3CD8_z			TACSTD2	-0.1685507027036986	0.00012906676071469233	5.0	516	0	0
continuous	LUAD	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN4	-0.15966757666979384	0.0002903401982803329	5.0	516	0	0
continuous	LUAD	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN7	-0.31838468491697974	1.6775328820585865e-13	5.0	516	0	0
continuous	LUSC	all	KRT5_6_14_TP63	spearman	CD3CD8_z			TACSTD2	-0.13134106919814378	0.0033849505141959647	5.0	501	0	0
continuous	LUSC	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN4	-0.13711823917385235	0.0022094491567892123	5.0	501	0	0
continuous	LUSC	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN7	-0.14587066396568557	0.0011222422967740102	5.0	501	0	0
continuous	BRCA	all	KRT5_6_14_TP63	spearman	CD3CD8_z			TACSTD2	-0.14373833945559084	1.8898410097180572e-06	5.0	1095	0	0
continuous	BRCA	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN4	-0.019973887958252567	0.5100563550893724	5.0	1095	0	0
continuous	BRCA	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN7	-0.17357479802633072	8.02855971458402e-09	5.0	1095	0	0
continuous	CESC	all	KRT5_6_14_TP63	spearman	CD3CD8_z			TACSTD2	0.08675421887537435	0.13448168529460658	5.0	304	0	0
continuous	CESC	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN4	-0.11393538246314862	0.049034840540250174	5.0	304	0	0
continuous	CESC	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN7	-0.0055106196223859765	0.9244029035516833	5.0	304	0	0
continuous	KIRC	all	KRT5_6_14_TP63	spearman	CD3CD8_z			TACSTD2	-0.0833338323609667	0.05566398654548566	5.0	533	0	0
continuous	KIRC	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN4	-0.13124765489045315	0.0025129706664328098	5.0	533	0	0
continuous	KIRC	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN7	-0.0030642983636839376	0.9439982574956383	5.0	533	0	0
continuous	STAD	all	KRT5_6_14_TP63	spearman	CD3CD8_z			TACSTD2	-0.10738829051712918	0.030304967172735023	5.0	412	0	0
continuous	STAD	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN4	-0.09000752134570167	0.06968820341817837	5.0	412	0	0
continuous	STAD	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN7	-0.06201044002972127	0.21189646050066005	5.0	412	0	0
continuous	BLCA	all	KRT5_6_14_TP63	spearman	CD3CD8_z			TACSTD2	-0.1235956086162521	0.013257464439793934	5.0	406	0	0
continuous	BLCA	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN4	-0.13163912545043818	0.008306827320285346	5.0	406	0	0
continuous	BLCA	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN7	-0.18065332041735857	0.0002766375031329578	5.0	406	0	0
continuous	PAAD	all	KRT5_6_14_TP63	spearman	CD3CD8_z			TACSTD2	-0.3054905386525817	4.36780915867986e-05	5.0	178	0	0
continuous	PAAD	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN4	-0.37324301971543467	4.24486496895238e-07	5.0	178	0	0
continuous	PAAD	all	KRT5_6_14_TP63	spearman	CD3CD8_z			CLDN7	-0.38451964860211274	1.759304861368646e-07	5.0	178	0	0
