family	cohort	stratum	covariates	method	outcome	cut	predictor_cut	predictor	effect	p	aux	n	n_high	n_low
quantile	LUAD	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	TACSTD2	-0.24872303347154617	0.0003849952682649555	0.004908353744768775	516	129	129
quantile	LUAD	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN4	-0.2971576227390181	1.3208293057322354e-05	0.004652359625320838	516	129	129
quantile	LUAD	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN7	-0.3667447869719368	3.273229885708811e-08	0.004404347804890351	516	129	129
quantile	LUSC	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	TACSTD2	-0.2456538170823885	0.00045419980504364077	0.004908200977182274	501	126	126
quantile	LUSC	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN4	-0.18505920886873267	0.010140511590975523	0.005181040720561214	501	126	126
quantile	LUSC	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN7	-0.17384731670445955	0.015225212024982192	0.005131030373709243	501	126	126
quantile	BRCA	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	TACSTD2	-0.23695988065427034	6.738753711004746e-07	0.0022743441705223113	1095	274	274
quantile	BRCA	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN4	-0.011508338217273163	0.8163703497677928	0.0024560738921791734	1095	274	274
quantile	BRCA	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN7	-0.2517981778464489	1.2084129385174583e-07	0.002263755970851389	1095	274	274
quantile	CESC	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	TACSTD2	0.17590027700831026	0.056794408131799784	0.008526943232524673	304	76	76
quantile	CESC	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN4	-0.10803324099722991	0.2522299529022972	0.008903113685860076	304	76	76
quantile	CESC	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN7	0.012119113573407203	0.8978013910174699	0.008903204667346142	304	76	76
quantile	KIRC	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	TACSTD2	-0.11517041657384718	0.10267240726729879	0.004979935086437662	533	134	134
quantile	KIRC	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN4	-0.20171530407663177	0.0033998350014187526	0.00474263529638781	533	134	134
quantile	KIRC	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN7	-0.029293829360659388	0.6789815178707717	0.005010249661170602	533	134	134
quantile	STAD	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	TACSTD2	-0.11659911395984542	0.14645549650121184	0.006447005836028159	412	103	103
quantile	STAD	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN4	-0.05665001413893864	0.48259756657318775	0.0065097444192565666	412	103	103
quantile	STAD	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN7	-0.0376095767744368	0.6420793002901692	0.006547517821262838	412	103	103
quantile	BLCA	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	TACSTD2	-0.24529027297193387	0.001734768988112779	0.006132676727686334	406	102	102
quantile	BLCA	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN4	-0.2708573625528643	0.0005238675572092839	0.00609904040394644	406	102	102
quantile	BLCA	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN7	-0.2045367166474433	0.010413512255369944	0.006374651991888178	406	102	102
quantile	PAAD	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	TACSTD2	-0.4508641975308642	2.4357161653084785e-05	0.011411102985068153	178	45	45
quantile	PAAD	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN4	-0.49135802469135803	3.7084920357659513e-06	0.011276679614311072	178	45	45
quantile	PAAD	all	KRT5_6_14_TP63	spearman	CD8_mean	0.25	residual	CLDN7	-0.5101234567901235	7.407491240373333e-07	0.010618822697888252	178	45	45
