outcome	predictor	cohort	expected_rho	got_rho	abs_diff	n
CD8_mean	TACSTD2	BLCA	-0.218597	-0.21859723159056801	2.3159056800059474e-07	406
CD8_mean	TACSTD2	BRCA	-0.147181	-0.14718105622697242	5.6226972411366205e-08	1095
CD8_mean	TACSTD2	CESC	0.080593	0.08059341527794409	4.1527794408802166e-07	304
CD8_mean	TACSTD2	KIRC	-0.074849	-0.07484889517709586	1.0482290413449391e-07	533
CD8_mean	TACSTD2	LUAD	-0.142577	-0.14257678080240957	2.1919759043975695e-07	516
CD8_mean	TACSTD2	LUSC	-0.141121	-0.14112087181271674	1.2818728326036144e-07	501
CD8_mean	TACSTD2	PAAD	-0.260992	-0.26099202850274306	2.8502743054659163e-08	178
CD8_mean	TACSTD2	STAD	-0.039386	-0.03938568585879583	3.1414120416767277e-07	412
CD8_mean	CLDN4	BLCA	-0.134772	-0.13477196571297267	3.4287027328439024e-08	406
CD8_mean	CLDN4	BRCA	-0.012995	-0.012994931368987215	6.86310127843287e-08	1095
CD8_mean	CLDN4	CESC	-0.087846	-0.0878462919608759	2.919608759061054e-07	304
CD8_mean	CLDN4	KIRC	-0.095033	-0.09503323325397217	2.3325397216500399e-07	533
CD8_mean	CLDN4	LUAD	-0.11625	-0.11625048970495207	4.897049520613539e-07	516
CD8_mean	CLDN4	LUSC	-0.11811	-0.1181098784907363	1.2150926370635418e-07	501
CD8_mean	CLDN4	PAAD	-0.34777	-0.34777004913907605	4.913907603043555e-08	178
CD8_mean	CLDN4	STAD	-0.085426	-0.08542617816975798	1.7816975797502188e-07	412
CD8_mean	CLDN7	BLCA	-0.136085	-0.1360854236718321	4.236718320893562e-07	406
CD8_mean	CLDN7	BRCA	-0.164944	-0.16494377546229175	2.245377082599198e-07	1095
CD8_mean	CLDN7	CESC	-0.000992	-0.0009923740073965904	3.7400739659031873e-07	304
CD8_mean	CLDN7	KIRC	-0.027037	-0.027036536083931705	4.6391606829329635e-07	533
CD8_mean	CLDN7	LUAD	-0.281196	-0.2811960826733632	8.267336321088337e-08	516
CD8_mean	CLDN7	LUSC	-0.107626	-0.10762590247676117	9.752323883172043e-08	501
CD8_mean	CLDN7	PAAD	-0.374256	-0.3742556782644926	3.217355074025541e-07	178
CD8_mean	CLDN7	STAD	-0.064884	-0.06488391186042514	8.813957486086821e-08	412
CD3_mean	TACSTD2	BLCA	-0.159745	-0.1597453730091613	3.730091613085573e-07	406
CD3_mean	TACSTD2	BRCA	-0.149325	-0.1493252387860844	2.387860843777734e-07	1095
CD3_mean	TACSTD2	CESC	0.07972	0.07971966637864737	3.336213526272669e-07	304
CD3_mean	TACSTD2	KIRC	-0.043927	-0.04392704991956239	4.991956238653561e-08	533
CD3_mean	TACSTD2	LUAD	-0.104046	-0.10404600886763117	8.867631171027845e-09	516
CD3_mean	TACSTD2	LUSC	-0.094443	-0.09444335623922595	3.562392259515157e-07	501
CD3_mean	TACSTD2	PAAD	-0.250227	-0.25022670041470296	2.995852970144597e-07	178
CD3_mean	TACSTD2	STAD	-0.10667	-0.10667000400214077	4.002140771564022e-09	412
CD3_mean	CLDN4	BLCA	-0.111376	-0.11137558868871227	4.1131128773741477e-07	406
CD3_mean	CLDN4	BRCA	-0.044279	-0.04427946472219539	4.6472219539239745e-07	1095
CD3_mean	CLDN4	CESC	-0.131997	-0.13199657123728126	4.287627187460341e-07	304
CD3_mean	CLDN4	KIRC	-0.13802	-0.13801993402550927	6.597449073164618e-08	533
CD3_mean	CLDN4	LUAD	-0.146944	-0.14694429016257898	2.901625789919482e-07	516
CD3_mean	CLDN4	LUSC	-0.130279	-0.1302786061429099	3.938570901085292e-07	501
CD3_mean	CLDN4	PAAD	-0.299999	-0.29999935153110524	3.515311052249004e-07	178
CD3_mean	CLDN4	STAD	-0.153603	-0.15360305574750685	5.574750686077046e-08	412
CD3_mean	CLDN7	BLCA	-0.175195	-0.17519478069684227	2.1930315771689912e-07	406
CD3_mean	CLDN7	BRCA	-0.187964	-0.1879639461248067	5.38751932788184e-08	1095
CD3_mean	CLDN7	CESC	-0.016413	-0.01641316323360658	1.6323360657946595e-07	304
CD3_mean	CLDN7	KIRC	-0.000723	-0.0007230929543835869	9.295438358684731e-08	533
CD3_mean	CLDN7	LUAD	-0.341412	-0.34141161614253823	3.8385746176095026e-07	516
CD3_mean	CLDN7	LUSC	-0.141246	-0.1412463793316463	3.79331646288561e-07	501
CD3_mean	CLDN7	PAAD	-0.348581	-0.34858145364728255	4.5364728257224485e-07	178
CD3_mean	CLDN7	STAD	-0.109433	-0.10943306316003465	6.316003464679198e-08	412
