analysis,split_fisher_or,split_fisher_or_ci_low,split_fisher_or_ci_high,split_fisher_p,split_n,split_n_high_resp,split_n_high,split_n_low_resp,split_n_low,split_orr_high,split_orr_low,split_high_over_n,split_low_over_n,split_table_low_nr_r_high_nr_r,split_median,split_n_high_group,split_n_low_group,mw_n_responder,mw_n_nonresponder,mw_median_responder,mw_median_nonresponder,mw_mann_whitney_u,mw_mann_whitney_p,mw_auc_responder_higher,mw_auc_bootstrap_95ci_low,mw_auc_bootstrap_95ci_high,logit_logit_or_per_sd,logit_logit_or_ci_low,logit_logit_or_ci_high,logit_logit_p,logit_n,detect_fisher_or,detect_fisher_or_ci_low,detect_fisher_or_ci_high,detect_fisher_p,detect_n,detect_n_high_resp,detect_n_high,detect_n_low_resp,detect_n_low,detect_orr_high,detect_orr_low,detect_high_over_n,detect_low_over_n,detect_table_low_nr_r_high_nr_r,detect_n_detected,detect_n_undetected
primary_pre_pd1_orr,0.5034965034965035,0.14487794454141595,1.749808984629365,0.35429812471653466,41,8,21,11,20,0.38095238095238093,0.55,8/21,11/20,"[[9, 11], [13, 8]]",0.08872100146719059,21,20,19,22,0.08313029385956582,0.2187936332960102,153.0,0.1403262662084399,0.3660287081339713,0.20095693779904306,0.5418660287081339,0.7187451759220934,0.3652556734081572,1.4143370398356803,0.33896053084770406,41,0.40441176470588236,0.10479456033690372,1.5606618788869684,0.3129947359660591,41.0,11.0,28.0,8.0,13.0,0.39285714285714285,0.6153846153846154,11/28,8/13,"[[5, 8], [17, 11]]",28.0,13.0
pre_pd1_crpr_vs_pd,0.43636363636363634,0.11182493350629089,1.7027796679153282,0.3145298318582644,35,8,18,11,17,0.4444444444444444,0.6470588235294118,8/18,11/17,"[[6, 11], [10, 8]]",0.08872100146719059,18,17,19,16,0.08313029385956582,0.2187936332960102,107.0,0.13258866850119752,0.3519736842105263,0.17763157894736842,0.5411184210526315,0.6950957685563229,0.3398848507948988,1.4215347531227973,0.3190674990356578,35,0.4583333333333333,0.10723792230738059,1.9589100564846245,0.4758620689655172,35.0,11.0,23.0,8.0,12.0,0.4782608695652174,0.6666666666666666,11/23,8/12,"[[4, 8], [12, 11]]",23.0,12.0
pre_pd1_paper_yesno,0.40384615384615385,0.11438792668698446,1.4257773586772138,0.214603007467708,41,9,21,13,20,0.42857142857142855,0.65,9/21,13/20,"[[7, 13], [12, 9]]",0.08872100146719059,21,20,22,19,0.07980228116121449,0.23554449069769312,153.0,0.1403262662084399,0.3660287081339713,0.19856459330143542,0.5430622009569378,0.80830478190713,0.429920970437717,1.5197133086779382,0.508817945816508,41,0.3851851851851852,0.09570980067189896,1.5501821740780948,0.20003402300805917,41.0,13.0,28.0,9.0,13.0,0.4642857142857143,0.6923076923076923,13/28,9/13,"[[4, 9], [15, 13]]",28.0,13.0
pre_pd1_orcestra_rnr_liulab,0.3402777777777778,0.09105873986964465,1.271585420742047,0.1938759496258166,38,7,19,12,19,0.3684210526315789,0.631578947368421,7/19,12/19,"[[7, 12], [12, 7]]",0.09192505851402805,19,19,19,19,0.08313029385956582,0.23554449069769312,126.0,0.10920449710509597,0.3490304709141274,0.1786703601108033,0.5277008310249307,0.7370526121680425,0.3704901168505327,1.4662916185775008,0.3846477837791178,38,0.36666666666666664,0.08771691936605834,1.5327082325290506,0.2952959315584456,38.0,11.0,26.0,8.0,12.0,0.4230769230769231,0.6666666666666666,11/26,8/12,"[[4, 8], [15, 11]]",26.0,12.0
pre_pd1_orcestra_rnr_orcestra,0.21301775147928995,0.054236551191748916,0.8366417378728118,0.050210277281902756,38,6,19,13,19,0.3157894736842105,0.6842105263157895,6/19,13/19,"[[6, 13], [13, 6]]",-3.568648583753185,19,19,19,19,-4.54310114899921,-2.81867917513111,126.0,0.1142113622006842,0.3490304709141274,0.1745152354570637,0.5318559556786704,0.6270096906275032,0.3146678212953675,1.2493846702290212,0.1845061691802652,38,,,,,,,,,,,,,,,,
all_pre_orr,0.48043478260869565,0.1879753863969501,1.2279138495975437,0.16012455257696503,73,17,37,23,36,0.4594594594594595,0.6388888888888888,17/37,23/36,"[[13, 23], [20, 17]]",0.04563867193069458,37,36,40,33,0.01933550879130299,0.0895401836349318,476.0,0.03790037648021735,0.3606060606060606,0.23711174242424243,0.4890151515151515,0.747790599003144,0.4615678301995343,1.211502932766663,0.23776459923150262,73,0.32905982905982906,0.1161427657634316,0.9323040517343764,0.047392187424282035,73.0,22.0,48.0,18.0,25.0,0.4583333333333333,0.72,22/48,18/25,"[[7, 18], [26, 22]]",48.0,25.0
pre_combo_orr,0.42857142857142855,0.09543326158125254,1.9246273924251693,0.45779368380325963,32,9,16,12,16,0.5625,0.75,9/16,12/16,"[[4, 12], [7, 9]]",0.01586661361991121,16,16,21,11,0.0003966865943373882,0.03153353026354795,88.0,0.2711217342349349,0.38095238095238093,0.19047619047619047,0.5800865800865801,0.9431961831906456,0.4568801299317978,1.9471607139452587,0.8743548352437651,32,0.24444444444444444,0.04225534842408926,1.414095224586731,0.13885011588498555,32.0,11.0,20.0,10.0,12.0,0.55,0.8333333333333334,11/20,10/12,"[[2, 10], [9, 11]]",20.0,12.0
edt_orr,0.25,0.03521587352330437,1.7747678460578353,0.3469354175236528,18,3,9,6,9,0.3333333333333333,0.6666666666666666,3/9,6/9,"[[3, 6], [6, 3]]",0.0018200175846346425,9,9,9,9,0.0,0.037435641147144844,22.0,0.09628038151495182,0.2716049382716049,0.05555555555555555,0.5246913580246914,1.211813872574294,0.44344089650187035,3.3115864444345697,0.7079903907426405,18,0.14285714285714285,0.017576371919078262,1.161113531237588,0.15343480049362407,18.0,3.0,10.0,6.0,8.0,0.3,0.75,3/10,6/8,"[[2, 6], [7, 3]]",10.0,8.0
