contrast_id,gene,log2fc,p,fdr,n_probes
E-GEOD-50927_uninjured_KOvsWT,Cldn4,-6.0613,1.7663e-29,4.0673e-26,1
E-GEOD-50927_VILIlow_KOvsWT,Cldn4,-12.6928,1.77e-126,3.84e-122,1
E-GEOD-50927_VILIhigh_KOvsWT,Cldn4,-10.1621,1.33054e-98,2.88795e-94,1
E-GEOD-50927_VILI_in_WT_NOT_a_KO_contrast,Cldn4,3.95857,9.90857e-95,7.16885e-91,1
E-GEOD-50927_uninjured_KOvsWT,Cldn3,0.0911122,0.523843,1,1
E-GEOD-50927_VILIlow_KOvsWT,Cldn3,0.00797156,0.966795,1,1
E-GEOD-50927_VILIhigh_KOvsWT,Cldn3,0.186843,0.407865,1,1
E-GEOD-50927_VILI_in_WT_NOT_a_KO_contrast,Cldn3,0.498191,0.00022056,0.0045855,1
E-GEOD-50927_uninjured_KOvsWT,Cldn7,0.112855,0.473673,1,1
E-GEOD-50927_VILIlow_KOvsWT,Cldn7,0.155196,0.412439,1,1
E-GEOD-50927_VILIhigh_KOvsWT,Cldn7,0.678918,0.00116848,0.0653656,1
E-GEOD-50927_VILI_in_WT_NOT_a_KO_contrast,Cldn7,0.740525,1.05605e-06,4.86657e-05,1
E-GEOD-22493_siRNA_vs_OE,CLDN4,-1.22505,0.252001,0.999948,1
E-GEOD-22493_siRNA_vs_OE,TACSTD2,,,,
GSE207704_MCF7_KOvsWT,CLDN4,-0.754505,,,1
GSE207704_T47D_KOvsWT,CLDN4,-1.05286,,,1
GSE207704_mean_MCF7_T47D,CLDN4,-0.903684,,,1
