contrast_id,accession,geo,in_arrayexpress,organism,perturbation,primary,axis,expected,call,n_measured,n_missing,n_up,n_down,frac_expected,median_log2fc,mean_log2fc,wilcoxon_p_expected_direction,wilcoxon_p_opposite_direction,mw_p_vs_background,background_median_log2fc,n_fdr05_expected_direction,missing_genes
E-GEOD-50927_uninjured_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,"germline Cldn4 KO vs WT, whole lung, no VILI",yes,NHEJ,down,null,11,1,5,6,0.545455,-0.0107164,-0.0268231,0.382324,0.649902,0.73822,0,0,Paxx
E-GEOD-50927_uninjured_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,"germline Cldn4 KO vs WT, whole lung, no VILI",yes,STING,up,supports,9,0,7,1,0.777778,0.129186,0.666373,0.0390625,0.972656,0.0285112,0,1,
E-GEOD-50927_uninjured_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,"germline Cldn4 KO vs WT, whole lung, no VILI",yes,STING_sensor,up,directional,6,0,5,1,0.833333,0.122961,0.124024,0.15625,0.890625,0.188165,0,0,
E-GEOD-50927_uninjured_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,"germline Cldn4 KO vs WT, whole lung, no VILI",yes,IFN,up,supports,24,5,22,2,0.916667,0.458515,0.801641,3.27826e-06,0.999997,4.01488e-08,0,7,Oas1;Oasl;Ifi6;Ifi27;Herc5
E-GEOD-50927_uninjured_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,"germline Cldn4 KO vs WT, whole lung, no VILI",yes,APM,up,supports,15,0,13,2,0.866667,0.367613,0.468099,0.000152588,0.999908,5.37012e-05,0,5,
E-GEOD-50927_VILIlow_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,Cldn4 KO VILI-low vs WT VILI,no,NHEJ,down,null,11,1,6,5,0.454545,0.0122523,-0.0597398,0.318848,0.711426,0.84525,0,0,Paxx
E-GEOD-50927_VILIlow_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,Cldn4 KO VILI-low vs WT VILI,no,STING,up,null,9,0,2,6,0.222222,-0.10173,-0.119357,0.84375,0.191406,0.259873,0,0,
E-GEOD-50927_VILIlow_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,Cldn4 KO VILI-low vs WT VILI,no,STING_sensor,up,null,6,0,2,4,0.333333,-0.0673914,0.0423886,0.5,0.578125,0.85192,0,0,
E-GEOD-50927_VILIlow_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,Cldn4 KO VILI-low vs WT VILI,no,IFN,up,null,24,5,11,12,0.458333,-0.0234242,0.0712528,0.290169,0.720021,0.68331,0,0,Oas1;Oasl;Ifi6;Ifi27;Herc5
E-GEOD-50927_VILIlow_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,Cldn4 KO VILI-low vs WT VILI,no,APM,up,null,15,0,8,7,0.533333,0.0385046,0.0318303,0.319336,0.700256,0.648235,0,0,
E-GEOD-50927_VILIhigh_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,Cldn4 KO VILI-high vs WT VILI,no,NHEJ,down,null,11,1,5,6,0.545455,-0.0993452,-0.0502785,0.550781,0.48291,0.76257,0,0,Paxx
E-GEOD-50927_VILIhigh_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,Cldn4 KO VILI-high vs WT VILI,no,STING,up,null,9,0,5,3,0.555556,0.101283,0.249271,0.15625,0.875,0.244942,0,0,
E-GEOD-50927_VILIhigh_KOvsWT,E-GEOD-50927,GSE50927,yes,mouse,Cldn4 KO VILI-high vs WT VILI,no,STING_sensor,up,null,6,0,3,3,0.5,0.0222084,0.178462,0.34375,0.71875,0.594172,0,0,
