accession,repository,organism,perturbation,assay,qualifies,scored,why
E-GEOD-50927,ArrayExpress (GEO mirror GSE50927),Mus musculus,germline Cldn4 knockout,"RNA-seq, whole lung",yes,yes,Direct Cldn4 KO transcriptome. Uninjured KO vs WT is the primary contrast. VILI-low and VILI-high are secondary KO vs WT (Cldn4 logFC -12.7 and -10.2). VILIwtGenes is injury in WT (Cldn4 logFC +3.96) and is not scored.
E-GEOD-22493,ArrayExpress (GEO mirror GSE22493),Homo sapiens,CLDN4 siRNA vs CLDN4 overexpression,"two-color microarray, n=3",yes_with_caveat,yes,"Direct CLDN4 siRNA, but the control channel is CLDN4 overexpression, not scramble or parental WT. Ovarian SKOV-3-IP-Luc, not lung."
GSE207704,"GEO only; paper record S-EPMC10105442 in BioStudies has a docx supplement, no expression matrix and no E-GEOD accession",Homo sapiens,"CLDN4 CRISPR knockout, MCF7 and T47D",RNA-seq collapsed FPKM,linked_not_arrayexpress,yes,Only public human CLDN4 CRISPR transcriptome. Scored from the GEO FPKM table so the ArrayExpress-only result is not mistaken for the human cancer-cell test. Replicates are already pooled.
E-GEOD-60885,ArrayExpress,Homo sapiens,none,DNA methylation,no,no,Methylation study that names Claudin-4 as a trophoblast invasion gene. Not a CLDN4 knockdown or knockout transcriptome.
E-GEOD-84742,ArrayExpress,Mus musculus,"Hopx/Klf4/Tcf7l2/Hnf4a axis, not Cldn4",transcription profiling,no,no,Claudin expression gradients during colonic differentiation. Not a Cldn4 genetic perturbation.
E-GEOD-48443,ArrayExpress,Mus musculus,Cldn18 knockout,transcription profiling,no,no,Claudin-18 knockout lung. Not CLDN4.
E-GEOD-26055,ArrayExpress,Homo sapiens,CLDN7 overexpression,transcription profiling,no,no,"Claudin-7, not CLDN4 knockdown."
S-BSST1967,BioStudies,Homo sapiens,CPP-S4 peptide against CLDN4 palmitoylation; CLDN4 knockdown is described but not the deposited RNA-seq contrast,RNA-seq DESeq2 file read_count.cnt_vs_ctp plus proteomics ExpAll.xlsx,no,no,"Xu et al. Cell Reports Medicine 2025 (PMC12281411). Deposited bulk transcriptome is MHCC97H CPP-S4 vs mock, and proteomics are lenvatinib-vs-mock and palmitoyl-proteome. Raw RNA-seq is CNGB CNP0006650. Not a genetic KD/KO/CRISPR/siRNA matrix. ftp.ebi.ac.uk TLS failed here, so the xls/xlsx were not opened; the contrast is taken from the paper."
S-EPMC8988515,BioStudies (PMC author manuscript),Homo sapiens,"CLDN4 shRNA functional assays, not a deposited KD transcriptome",NHEJ reporter and supplements,no,no,"Yamamoto et al. Mol Cancer Ther 2022. Table S1 is TCGA CLDN4-high vs low (1,582 transcripts), not shCLDN4 RNA-seq. Supplement xlsx download was blocked by PMC recaptcha after the HTML identified the table. No GEO accession."
S-EPMC12603150,BioStudies (Scientific Reports 2025),Homo sapiens,CLDN4 CRISPRi in OVCA429 and OVCAR3,functional IFN/STING assays; no public matrix,no,no,"Data availability statement: raw data available on request. No GEO, ArrayExpress, or PRIDE accession. Not scored."
E-MTAB / E-MEXP / E-PROT / PXD,ArrayExpress and PRIDE via BioStudies,,CLDN4 or Cldn4 or claudin-4,any,no,no,"2026-09-21 queries returned 0 E-MTAB, 0 E-MEXP, 0 E-PROT, and 0 PXD studies. PRIDE keyword search for CLDN4, claudin-4, and Cldn4 returned 0 projects."
