gene	probe_id	n_pre	n_post	pre_median	post_median	p	note
CD8A	TC0200013323.hg.1	13	29	4.16464	4.29265	0.5677599334523885	sanity only; probe IDs from GPL23126 official-symbol scan if present in matrix
GZMA	TC0500007413.hg.1	13	29	4.48938	5.95704	0.07254495724885617	sanity only; probe IDs from GPL23126 official-symbol scan if present in matrix
CXCL9	TC0400011052.hg.1	13	29	9.33046	11.7756	0.25316012835842017	sanity only; probe IDs from GPL23126 official-symbol scan if present in matrix
CD274	TC0900006559.hg.1	13	29	6.28685	7.15629	0.6243237600720506	sanity only; probe IDs from GPL23126 official-symbol scan if present in matrix
IFNG	TC1200011177.hg.1	13	29	3.14243	3.18737	0.3692700733464266	sanity only; probe IDs from GPL23126 official-symbol scan if present in matrix
B2M	TC1500007097.hg.1	13	29	9.57698	11.3348	0.15713286464610648	sanity only; probe IDs from GPL23126 official-symbol scan if present in matrix
