score	adjust	covariate	keratin_scale	k	fail_reason	n_GSE123902	rho_GSE123902	p_GSE123902	n_GSE131907	rho_GSE131907	p_GSE131907	n_GSE205335	rho_GSE205335	p_GSE205335	n_GSE189357	rho_GSE189357	p_GSE189357	n_total	pooled_rho	pooled_p	I2	ci_lo	ci_hi	cliff	cliff_p	r_rb	n_q1	n_q4	median_q1	median_q4	consistent	histology	min_mal	panel_id	abs_rho	abs_cliff	joint
pct_ge2	partial	KRT8	raw	1		11	-0.10708119512378789	0.7539990824271012	19	-0.4907842346778534	0.03287404850802248	21	-0.35697104764124576	0.1121659271315719	9	-0.9400506646539347	0.00016375489460490207	60	-0.5524632851984213	0.02348381111721154	66.52904588729976	-0.8210338193763436	-0.08366216915492242	-0.4980392156862745	0.017357181421087806	-0.4980392156862745	17.0	15.0	0.3958158995815899	0.125	True	all	100	pct_ge2|partial|KRT8_raw|all|min100	0.5524632851984213	0.4980392156862745	1.0505025008846958
pct_ge3	partial	KRT8	raw	1		11	-0.07914655679744534	0.8170706070980437	19	-0.5012114194803841	0.028806799870575276	21	-0.3084388108180452	0.17372340027987082	9	-0.9400506646539347	0.00016375489460490207	60	-0.5416327775228293	0.03175344321715566	68.37211639217283	-0.8210319711108968	-0.05290155947775683	-0.5764705882352941	0.005839138790456125	-0.5764705882352941	17.0	15.0	0.3958158995815899	0.125	True	all	100	pct_ge3|partial|KRT8_raw|all|min100	0.5416327775228293	0.5764705882352941	1.1181033657581234
pct_ge2	semipartial	KRT8	raw	1		11	-0.072449635873287	0.8323509597077485	19	-0.49034899749242844	0.03305302609518118	21	-0.3511912865594148	0.11851954329171702	9	-0.9367809133047937	0.00019656493915700557	60	-0.5415533724525214	0.026591678486458846	66.26518528088175	-0.8151875028495255	-0.07028478022438917	-0.4980392156862745	0.017357181421087806	-0.4980392156862745	17.0	15.0	0.3958158995815899	0.125	True	all	100	pct_ge2|semipartial|KRT8_raw|all|min100	0.5415533724525214	0.4980392156862745	1.039592588138796
pct_gt0	partial	KRT18	cp10k	1		13	-0.5473878992391223	0.05283725880598794	21	-0.4884051407037451	0.024675871626520185	22	-0.5061499509008965	0.016238303140985906	9	-0.7124612538170633	0.03125353156641883	65	-0.5327623056813358	3.2110157085460656e-05	0.0	-0.7033978786693285	-0.3040665350270128	-0.6973684210526315	0.00047681495927473104	-0.6973684210526316	19.0	16.0	0.4086294416243655	0.12380844872566725	True	all	20	pct_gt0|partial|KRT18_cp10k|all|min20	0.5327623056813358	0.6973684210526315	1.2301307267339672
pct_ge3	semipartial	KRT8	raw	1		11	-0.05354945108681885	0.8757418596234665	19	-0.5007669352608354	0.028971727925078114	21	-0.30344484100824715	0.18115826619203415	9	-0.9367809133047937	0.00019656493915700557	60	-0.5319425594541457	0.03451038620250755	67.92516553220933	-0.8152535996242001	-0.04317577976118154	-0.5764705882352941	0.005839138790456125	-0.5764705882352941	17.0	15.0	0.3958158995815899	0.125	True	all	100	pct_ge3|semipartial|KRT8_raw|all|min100	0.5319425594541457	0.5764705882352941	1.1084131476894399
pct_ge2	partial	KRT8	raw	1		13	-0.09849595327700675	0.7488712078456621	21	-0.4367078067101002	0.04777350570924686	22	-0.3786521271108988	0.08225537672816367	9	-0.9400506646539347	0.00016375489460490207	65	-0.5311803399525548	0.0253320834867633	67.8096538022842	-0.8042246115246429	-0.07298690055389644	-0.5131578947368421	0.01027953837979978	-0.513157894736842	19.0	16.0	0.3923257635082224	0.14702454940957116	True	all	20	pct_ge2|partial|KRT8_raw|all|min20	0.5311803399525548	0.5131578947368421	1.044338234689397
pct_gt0	none	none	none	0		13	-0.6593406593406593	0.0142255785114567	21	-0.5220779220779221	0.015195754492505785	22	-0.43534726143421804	0.042861326301676765	9	-0.6	0.08762282904140249	65	-0.5311678045689989	1.6462232944573955e-05	0.0	-0.6967711225150761	-0.3118052568209761	-0.7236842105263158	0.00028794861470847027	-0.7236842105263157	19.0	16.0	0.4334841628959276	0.12380844872566725	True	all	20	pct_gt0|none|none|all|min20	0.5311678045689989	0.7236842105263158	1.2548520150953149
pct_gt0	none	none	none	0		13	-0.6593406593406593	0.0142255785114567	21	-0.5220779220779221	0.015195754492505785	22	-0.43534726143421804	0.042861326301676765	6	-0.6	0.208	62	-0.526787246823524	3.4513342691481305e-05	0.0	-0.69773536667395	-0.29907377458255785	-0.7222222222222222	0.00035549969476974543	-0.7222222222222222	18.0	16.0	0.4279396603498229	0.12380844872566725	True	drop_ais	20	pct_gt0|none|none|drop_ais|min20	0.526787246823524	0.7222222222222222	1.2490094690457463
pct_ge3	partial	KRT8	raw	1		13	-0.1158830560602054	0.7061762469951051	21	-0.4372980972456589	0.047439030942125385	22	-0.3348674016709637	0.12766918742217198	9	-0.9400506646539347	0.00016375489460490207	65	-0.5242637597978193	0.028635673206980506	68.14848076142647	-0.801796987229045	-0.06070450232613682	-0.4407894736842105	0.027662833168829965	-0.4407894736842105	19.0	16.0	0.3958158995815899	0.20815170470462604	True	all	20	pct_ge3|partial|KRT8_raw|all|min20	0.5242637597978193	0.4407894736842105	0.9650532334820298
pct_gt0	partial	KRT5	raw	1		8	-0.679841800678349	0.0636032538499261	21	-0.5440159791919222	0.010791522889594037	22	-0.4119713507428632	0.05676428164334702	9	-0.6652186776701561	0.05054878175085871	60	-0.5236043684356957	0.00011532363249930551	0.0	-0.7047994165576319	-0.27827527068069113	-0.6862745098039216	0.0010185255411453824	-0.6862745098039216	17.0	15.0	0.4334841628959276	0.125	True	all	20	pct_gt0|partial|KRT5_raw|all|min20	0.5236043684356957	0.6862745098039216	1.2098788782396173
