gene	n_probes	probes	used_to_score_cells
Cldn4	1	1418283_at	no
Tacstd2	1	1423323_at	no
Cd3d	1	1422828_at	no
Cd3e	1	1422105_at	no
Nkg7	1	1450753_at	no
Klrd1	1	1460245_at	no
Epcam	2	1416579_a_at;1447899_x_at	no
Ncr1	1	1422089_at	no
Cd8a	5	1425335_at;1440164_x_at;1440811_x_at;1444078_at;1451673_at	no
