accession	relation	n_samples	organism	assay	model	kp_kl_lung
GSE76628	this series (part II)	78	Mus musculus	bulk Affymetrix Mouse430_2	Ad-VEGF-A164 flank/ear angiogenesis, nude mice	no
GSE76588	sister subseries (part I) of SuperSeries GSE76630	20	Mus musculus	bulk Affymetrix Mouse430_2	Ad-VEGF-A164 flank angiogenesis, same paper	no
GSE76630	SuperSeries (PMID 27197264)	98	Mus musculus	bulk Affymetrix Mouse430_2	gastric-cancer stromal signatures via Ad-VEGF mouse model	no
