group	n_arrays	inferential_unit	usable_for_cldn4_tnk
control_d0	8	one bulk array per mouse	no
AdVEGF_d5_NT	8	one bulk array per mouse	no
AdVEGF_d5_DC101	8	one bulk array per mouse	no
AdVEGF_d5_G6	8	one bulk array per mouse	no
AdVEGF_d20_NT	8	one bulk array per mouse	no
AdVEGF_d20_DC101	8	one bulk array per mouse	no
AdVEGF_d20_G6	8	one bulk array per mouse	no
AdVEGF_d60_NT	8	one bulk array per mouse	no
AdVEGF_d60_DC101	6	one bulk array per mouse	no
AdVEGF_d60_G6	8	one bulk array per mouse	no
