gsm	title	source_name	day	treatment	group	organism	tissue	model	strain	assay	epithelial_malignant_scored	cldn4_pctpos	t_fraction	nk_fraction
GSM2029389	can_Ad_VEGF_Normal_095	Flank tissue_control_day 0	0	none	control_d0	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029390	can_Ad_VEGF_Normal_096	Flank tissue_control_day 0	0	none	control_d0	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029391	can_Ad_VEGF_Normal_097	Flank tissue_control_day 0	0	none	control_d0	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029392	can_Ad_VEGF_Normal_098	Flank tissue_control_day 0	0	none	control_d0	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029393	can_Ad_VEGF_Normal_099	Flank tissue_control_day 0	0	none	control_d0	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029394	can_Ad_VEGF_Normal_100	Flank tissue_control_day 0	0	none	control_d0	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029395	can_Ad_VEGF_Normal_101	Flank tissue_control_day 0	0	none	control_d0	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029396	can_Ad_VEGF_Normal_102	Flank tissue_control_day 0	0	none	control_d0	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029397	can_Ad_VEGF_5_Day_DC101_017	Flank tissue_Ad-VEGF-A164_day 5_DC101 treated	5	DC101	AdVEGF_d5_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
GSM2029398	can_Ad_VEGF_5_Day_DC101_018	Flank tissue_Ad-VEGF-A164_day 5_DC101 treated	5	DC101	AdVEGF_d5_DC101	Mus musculus	flank skin	Ad-VEGF-A164 tumor-surrogate angiogenesis	Crl:NU(NCr)-Foxn1nu athymic nude	bulk Affymetrix Mouse430_2 MAS5	no			
