metric	n_mice	KL	K	delta_KL_minus_K	MW_p	note
T/NK fraction	1 vs 1	0.504759386567953	0.542712066905615	-0.0379526803376617	NA	n=1 vs 1 mice; no mouse-level test
Cldn4 mean, all cells	1 vs 1	0.003144771669931	0.000112720891884305	0.0030320507780467	NA	n=1 vs 1 mice; no mouse-level test
Cldn4 %pos, all cells	1 vs 1	0.330512956107879	0.0149342891278375	0.315578666980042	NA	n=1 vs 1 mice; no mouse-level test
Cldn4 mean, marker epithelium	1 vs 1	0.0970074558745663	0.0269563961449039	0.0700510597296625	NA	n=1 vs 1 mice; no mouse-level test
Cldn4 %pos, marker epithelium	1 vs 1	9.77011494252874	3.57142857142857	6.19868637110016	NA	n=1 vs 1 mice; no mouse-level test
IFN ISG mean, marker epithelium	1 vs 1	0.259301089784204	0.123015056176718	0.136286033607487	NA	n=1 vs 1 mice; no mouse-level test
MHC/APM mean, marker epithelium	1 vs 1	1.68737730451405	0.822412744166676	0.864964560347371	NA	n=1 vs 1 mice; no mouse-level test
n marker epithelial cells	1 vs 1	174	28	146	NA	n=1 vs 1 mice; no mouse-level test
