record_id	repository	organism	assay	perturbation	in_geo	geo_or_mirror	openness	indexed_public_bytes	download_action	eligibility	reason	url	pmid	queried_on
PRJNA856719	SRA/BioProject	Homo sapiens	RNA-seq	CRISPR CLDN4 knockout (MCF7 and T47D)	yes	GSE207704	open (4 CLDN4-/- runs, cluster public)	1812472134	not downloaded	excluded_in_GEO	True CLDN4-loss RNA-seq, but the series is in GEO. Prior public analyses already use the GEO matrix. FASTQ was not pulled again.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA856719	37059993	2026-09-21
PRJNA219385	SRA/BioProject	Mus musculus	RNA-seq	germline Cldn4 knockout lung ± VILI	yes	GSE50927	open (5 runs, cluster public)	34419008894	not downloaded	excluded_in_GEO	True Cldn4-loss RNA-seq, but the series is in GEO. About 34 GB of public FASTQ. Not a non-GEO deposit.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA219385	25106430	2026-09-21
PRJNA128653	BioProject	Homo sapiens	expression microarray	CLDN4 siRNA vs CLDN4-high SKOV-3	yes	GSE22493 / E-GEOD-22493	open GEO matrix	NA	not downloaded	excluded_in_GEO	True CLDN4 silencing transcriptome, array not RNA-seq, and it is in GEO. Zero SRA runs.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA128653	NA	2026-09-21
PMID41016339	none found	Homo sapiens	RNA-seq claimed	CRISPR CLDN4 knockout, H1688 SCLC	no	none	not deposited	0	not downloaded	reported_no_accession	Kashiwagi et al. 2025 say RNA-seq of CLDN4-KO H1688 identified SAA1. NCBI BioProject/SRA/GEO, GSA, GSA-Human, and OMIX have no matching accession (Kashiwagi+CLDN4 BioProject count = 0).	https://pubmed.ncbi.nlm.nih.gov/41016339/	41016339	2026-09-21
PMID40892111	none found	Mus musculus	RNA-seq of cerulein AP, then shRNA by qPCR	CLDN4 shRNA is functional follow-up, not the sequenced contrast	no	none	author on request	0	not downloaded	not_a_public_kd_rnaseq	Zheng et al. 2025 sequenced cerulein AP vs control, then knocked down CLDN4 and assayed it by qPCR/Western/ELISA. Data availability: corresponding author on reasonable request. Open supplement is a 14.3 KB primer table, not a count matrix.	https://doi.org/10.1007/s10142-025-01683-1	40892111	2026-09-21
PMID41697223	none found	Mus musculus	not a transcriptome	germline Cldn4 deletion, abdominal sepsis	no	none	no sequencing deposit located	0	not downloaded	no_rnaseq	Oami et al. 2026 measure permeability, cytokines, and survival. Abstract has no RNA-seq. BioProject query Oami+claudin/Cldn4/sepsis returned 0.	https://pubmed.ncbi.nlm.nih.gov/41697223/	41697223	2026-09-21
PRJNA1424384	SRA/BioProject	Homo sapiens	sgRNA-seq CRISPR screen	genome-wide Avana screen for BFT host factors in HT29; not a CLDN4 knockout transcriptome	no	none	open (6 runs, cluster public)	229032623	not downloaded	near_miss_wrong_assay	Open and not in GEO, but the reads are sgRNA counts from Bacteroides fragilis toxin selection. Claudin-4 is the toxin receptor in the paper, not the perturbed gene of an RNA-seq contrast.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1424384	42020735	2026-09-21
PRJNA634686	SRA/BioProject	Homo sapiens	4C-seq	MSH2 knockout, viewpoint at the CLDN4 locus	no	none	open (6 runs, cluster public)	4771025110	not downloaded	near_miss_wrong_assay	Open SRA and no GEO hit, but this is chromatin conformation at CLDN4, not CLDN4 shRNA/CRISPR RNA-seq.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA634686	NA	2026-09-21
PRJNA730017	SRA/BioProject	Homo sapiens	RNA-seq	FOXM1 depletion in SCLC lines, including H1688	yes	GSE174462	in GEO	NA	not downloaded	near_miss_wrong_gene	H1688 appears here because of FOXM1 knockdown, not CLDN4.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA730017	NA	2026-09-21
HRA013141	GSA-Human	Homo sapiens	ATAC-seq	XPO1 knockdown in NCI-H1688	no	none	open (isControlledAccess=0)	NA	not downloaded	near_miss_wrong_gene	Only H1688 hit in the GSA-Human finished catalog. Wrong gene and wrong assay.	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013141	NA	2026-09-21
GSA-Human-catalog	GSA-Human	NA	catalog screen	CLDN4 / claudin-4 / Cldn4 in title or record text	no	none	7312 finished studies screened	NA	not downloaded	catalog_zero	Strict CLDN4/claudin-4/Cldn4 match count = 0. Claudin title hits are CLDN18.2 CAR-NK/CAR-T (HRA020013, HRA016029), CLDN18-ARHGAP (HRA007573), and a claudin-low ccRCC subtype (HRA003416).	https://ngdc.cncb.ac.cn/gsa-human/json/finished.json	NA	2026-09-21
GSA-CRA-search	GSA	NA	catalog screen	searchTerm=CLDN4 and searchTerm=Cldn4	no	none	11 INSDC mirrors, 0 CRA	NA	not downloaded	catalog_zero	Both queries return the same 11 INSDC experiments (GSE50927 Cldn4 KO RNA-seq, GSE207704 CLDN4-/- RNA-seq, and PRJNA634686 4C-seq). No CRA accession.	https://ngdc.cncb.ac.cn/gsa/search?searchTerm=CLDN4	NA	2026-09-21
OMIX-releaseList	OMIX	NA	catalog screen	CLDN4 / Cldn4 / claudin-4 in the release-list HTML	no	none	10741 OMIX accessions screened	NA	not downloaded	catalog_zero	Full releaseList HTML (ends at </body>) contains no CLDN4, Cldn4, or claudin-4 string.	https://ngdc.cncb.ac.cn/omix/releaseList	NA	2026-09-21
