accession	contrast	gene	unit	setting	scale	role	n_kl	n_kp	mean_kl	mean_kp	median_kl	median_kp	delta_mean	mwu_p	kl_values	kp_values	note
GSE137244	KL_minus_KP	Tacstd2	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	5.855612554685915	2.6173850660030213	5.7398481026993275	3.2600256559614555	3.2382274886828935	0.007936507936507936	5.70321;5.18943;5.73985;6.58466;6.06091	3.40327;3.02857;0;3.39506;3.26003	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset.
GSE137244	KL_minus_KP	Cldn4	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	8.874985228159096	3.3053580662263338	9.08992710748277	3.6064422281316078	5.569627161932762	0.007936507936507936	7.96451;8.53352;9.16845;9.61851;9.08993	3.74308;4.24793;1.52607;3.40327;3.60644	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset.
GSE137244	KL_minus_KP	Cldn3	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	8.384443559833766	4.225239374562298	8.315511889134802	5.033863451866284	4.159204185271468	0.007936507936507936	8.1501;8.2503;8.31551;8.77564;8.43066	5.03386;4.96394;0.632268;5.41718;5.07895	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset.
GSE137244	KL_minus_KP	Cldn6	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	8.566328225581852	0.5784051287594423	8.687305690470208	0.632268215499513	7.98792309682241	0.007936507936507936	8.91418;9.09091;7.90947;8.68731;8.22978	0.632268;0.704872;0.545968;0.641546;0.367371	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset.
GSE137244	KL_minus_KP	Cldn7	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	7.0350201584765255	2.757705541736615	7.034083626615416	3.29130885982897	4.27731461673991	0.007936507936507936	7.28123;7.13658;6.91791;7.03408;6.80529	3.58015;3.38819;0.432959;3.29131;3.09592	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset.
GSE137244	KL_minus_KP	Cdh1	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	6.866901105011753	7.349683689909218	6.669735462797983	7.374430937662357	-0.48278258489746495	0.09523809523809523	6.65607;6.64111;6.66974;7.43946;6.92813	7.2266;7.42391;7.69391;7.02956;7.37443	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset.
GSE137244	KL_minus_KP	F11r	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	6.97980899240933	7.077463644730486	6.970623614470605	7.168321115739722	-0.09765465232115567	0.6904761904761905	6.45631;6.93428;6.97062;7.34731;7.19052	7.19928;7.20877;6.83756;6.97338;7.16832	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset.
GSE137244	KL_minus_KP	Ocln	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	4.73132001863395	3.2653274459909722	4.896756218474805	3.48155728070859	1.4659925726429774	0.007936507936507936	4.06178;4.1127;4.89676;5.50684;5.07852	3.48156;3.87873;2.31325;3.16511;3.488	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset.
GSE137244	KL_minus_KP	TJ7	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	7.348401041158039	4.079883270273624	7.264065121954524	4.311348839915664	3.268517770884415	0.007936507936507936	7.06917;7.24277;7.26407;7.77274;7.39326	4.41383;4.54519;2.85457;4.27448;4.31135	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset. TJ7 mean of Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.
GSE137396	KL_minus_KP	Tacstd2	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	12.478824133346563	11.335290981824201	12.92851837525789	11.277287400130357	1.1435331515223623	0.09523809523809523	13.1715;12.9285;12.9616;10.8431;12.4893	11.8792;11.1762;12.032;11.2773;10.3117	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08).
GSE137396	KL_minus_KP	Cldn4	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	13.267159846903615	12.710248251025725	13.532964631698826	12.49360530705712	0.5569115958778905	0.8412698412698413	13.726;11.4762;13.533;15.5019;12.0987	12.4836;12.4936;12.6797;13.5657;12.3287	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08).
GSE137396	KL_minus_KP	Cldn3	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	13.358470136766078	13.528617075265396	13.243769031961852	13.467860240707878	-0.17014693849931817	0.6904761904761905	13.2438;14.0216;13.2429;12.654;13.6302	13.7434;13.3284;13.9634;13.4679;13.14	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08).
GSE137396	KL_minus_KP	Cldn6	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	11.774400363394749	11.219689218443747	12.32755264408124	11.12023787734196	0.5547111449510016	0.8412698412698413	12.3276;9.70217;12.3617;13.6992;10.7814	10.4263;10.8138;11.1643;12.5739;11.1202	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08).
GSE137396	KL_minus_KP	Cldn7	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	13.224377757613064	12.61937202564534	13.379108675951123	12.596188684374441	0.605005731967724	0.09523809523809523	13.7697;12.6405;13.7117;13.3791;12.6209	12.6468;12.5387;12.5962;13.2478;12.0674	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08).
GSE137396	KL_minus_KP	Cdh1	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	15.834894208840021	15.059241881335371	16.042900302894708	15.09279990795325	0.7756523275046501	0.015873015873015872	16.383;15.1993;16.2268;16.0429;15.3224	14.8606;14.9875;15.2056;15.1497;15.0928	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08).
GSE137396	KL_minus_KP	F11r	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	13.762882202756813	13.444754669609768	13.882168641436836	13.556506377985023	0.3181275331470452	0.30952380952380953	14.1435;13.431;13.8822;14.0198;13.338	13.6209;13.8697;13.5565;13.4017;12.775	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08).
GSE137396	KL_minus_KP	Ocln	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	11.723510243058138	12.185803629575863	11.699570284471687	12.26297482064067	-0.4622933865177252	0.015873015873015872	11.8918;11.6996;11.8669;11.6124;11.5469	12.3998;11.8792;12.1202;12.2668;12.263	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08).
