accession	contrast	gene	unit	setting	scale	role	n_kl	n_kp	mean_kl	mean_kp	median_kl	median_kp	delta_mean	mwu_p	kl_values	kp_values	note
GSE137244	KL_minus_KP	Tacstd2	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	5.855612554685915	2.6173850660030213	5.7398481026993275	3.2600256559614555	3.2382274886828935	0.007936507936507936	5.70321;5.18943;5.73985;6.58466;6.06091	3.40327;3.02857;0;3.39506;3.26003	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset.
GSE137244	KL_minus_KP	Cldn4	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	8.874985228159096	3.3053580662263338	9.08992710748277	3.6064422281316078	5.569627161932762	0.007936507936507936	7.96451;8.53352;9.16845;9.61851;9.08993	3.74308;4.24793;1.52607;3.40327;3.60644	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset.
GSE137244	KL_minus_KP	TJ7	cell_line	cultured_cells	log2(FPKM+1)	locked_reference	5.0	5.0	7.348401041158039	4.079883270273624	7.264065121954524	4.311348839915664	3.268517770884415	0.007936507936507936	7.06917;7.24277;7.26407;7.77274;7.39326	4.41383;4.54519;2.85457;4.27448;4.31135	Locked reference, reproduced. KL = KL155mix, KL47-1, KLC, KLD, KLE. KP = B6AL10-1..5. Normal lung excluded. Not a new dataset. TJ7 mean of Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.
GSE137396	KL_minus_KP	Tacstd2	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	12.478824133346563	11.335290981824201	12.92851837525789	11.277287400130357	1.1435331515223623	0.09523809523809523	13.1715;12.9285;12.9616;10.8431;12.4893	11.8792;11.1762;12.032;11.2773;10.3117	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08).
GSE137396	KL_minus_KP	Cldn4	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	13.267159846903615	12.710248251025725	13.532964631698826	12.49360530705712	0.5569115958778905	0.8412698412698413	13.726;11.4762;13.533;15.5019;12.0987	12.4836;12.4936;12.6797;13.5657;12.3287	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08).
GSE137396	KL_minus_KP	TJ7	nodule	in_vivo_nodule	log2(deposited_abundance+1)	rescore	5.0	5.0	13.277956394190355	12.966818107271601	13.546440541353673	12.883048255140393	0.31113828691875334	0.5476190476190477	13.6408;12.5958;13.5464;13.8442;12.7626	12.883;12.8444;13.0408;13.3819;12.6839	Same Deng et al. paper as GSE137244, but GEMM lung nodules rather than cell lines. KL samples are labeled NA; KP samples are labeled vehicle. Previously Welch on a log matrix in an ICI screen (Tacstd2 delta about +1.08). TJ7 mean of Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.
GSE164758	KL_minus_KP	Tacstd2	tumor	primary_bulk_tumor	log2(FPKM+1)	new	9.0	8.0	6.496560479497545	5.638497582888118	6.374500492788668	5.75757542375348	0.858062896609427	8.227067050596462e-05	6.57933;6.35716;6.21054;6.5741;6.3745;6.98547;6.78234;6.26083;6.34476	5.72271;5.88784;6.14784;4.91342;6.00883;5.79244;5.65369;4.98121	Eichner et al. primary NSCLC tumors, treatment none. Annotated GEO samples used: KL n=9, KP n=8. Unannotated extra FPKM columns (KL-H457*, KPa1a*) were excluded. Bulk tumor RNA, so stroma is in the measurement.
GSE164758	KL_minus_KP	Cldn4	tumor	primary_bulk_tumor	log2(FPKM+1)	new	9.0	8.0	3.73988381197024	4.094728122637296	3.6835841779501113	4.130244329829404	-0.354844310667056	0.4234471410941999	3.68358;2.918;3.39232;3.48311;2.2854;4.5645;4.7412;4.46643;4.12441	4.15381;4.26296;3.51084;4.01409;3.55311;4.10668;4.27135;4.88499	Eichner et al. primary NSCLC tumors, treatment none. Annotated GEO samples used: KL n=9, KP n=8. Unannotated extra FPKM columns (KL-H457*, KPa1a*) were excluded. Bulk tumor RNA, so stroma is in the measurement.
GSE164758	KL_minus_KP	TJ7	tumor	primary_bulk_tumor	log2(FPKM+1)	new	9.0	8.0	5.154574967950239	5.123553200242403	5.195202863220393	5.159042480427301	0.031021767707835934	0.8148087206910737	5.23295;5.01205;5.08943;5.1952;4.8146;5.39177;5.24774;5.25978;5.14764	4.85689;5.21857;5.28369;5.05087;4.73228;5.11461;5.20348;5.52804	Eichner et al. primary NSCLC tumors, treatment none. Annotated GEO samples used: KL n=9, KP n=8. Unannotated extra FPKM columns (KL-H457*, KPa1a*) were excluded. Bulk tumor RNA, so stroma is in the measurement. TJ7 mean of Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.
GSE164758	KPL_minus_KP	Tacstd2	tumor	primary_bulk_tumor	log2(FPKM+1)	secondary_kpl	15.0	8.0	6.5604164665238915	5.638497582888118	6.770115448954491	5.75757542375348	0.9219188836357732	0.0018885856818283795	7.0449;7.11416;6.50177;7.03837;6.18063;6.9338;6.77012;6.30794;7.05578;6.76547;5.91162;6.94285;6.77505;5.48133;5.58247	5.72271;5.88784;6.14784;4.91342;6.00883;5.79244;5.65369;4.98121	Secondary contrast on the same matrix. KPL is Kras/p53/Lkb1, not KL. KPL n=15 vs KP n=8.
GSE164758	KPL_minus_KP	Cldn4	tumor	primary_bulk_tumor	log2(FPKM+1)	secondary_kpl	15.0	8.0	5.6893007741684185	4.094728122637296	5.41997702674268	4.130244329829404	1.5945726515311227	8.1580375024984e-06	5.41998;5.16559;4.33385;6.34797;5.22581;5.29297;5.8785;5.10777;6.3168;5.29704;5.00446;6.08504;5.89557;7.96202;6.00614	4.15381;4.26296;3.51084;4.01409;3.55311;4.10668;4.27135;4.88499	Secondary contrast on the same matrix. KPL is Kras/p53/Lkb1, not KL. KPL n=15 vs KP n=8.
GSE164758	KPL_minus_KP	TJ7	tumor	primary_bulk_tumor	log2(FPKM+1)	secondary_kpl	15.0	8.0	5.997526519338047	5.123553200242403	5.941007224575939	5.159042480427301	0.8739733190956436	0.0003915858001199232	5.63432;5.857;5.17246;6.11018;5.49377;5.61145;5.94101;5.17824;6.62286;5.87226;6.05124;6.76441;6.35165;6.78935;6.5127	4.85689;5.21857;5.28369;5.05087;4.73228;5.11461;5.20348;5.52804	Secondary contrast on the same matrix. KPL is Kras/p53/Lkb1, not KL. KPL n=15 vs KP n=8. TJ7 mean of Cldn3,Cldn4,Cldn6,Cldn7,Cdh1,F11r,Ocln.
GSE244452	KL_minus_KP	Tacstd2	tumor	syngeneic_bulk_tumor	log2(deposited_count+1)	new	3.0	3.0	10.525546786281426	3.2979397338207215	10.24127057645096	3.382648422933412	7.227607052460705	0.1	11.2879;10.2413;10.0475	2.76874;3.38265;3.74243	Syngeneic KL vs KP bulk tumors, n=3 vs 3. Deposited table has per-sample values for 7449 genes, not a full transcriptome. TJ genes missing from the deposit: Cdh1, F11r. Two-sided exact Mann-Whitney floor at n=3 vs 3 is 0.10.
GSE244452	KL_minus_KP	Cldn4	tumor	syngeneic_bulk_tumor	log2(deposited_count+1)	new	3.0	3.0	12.236565824430796	3.260386792491872	12.31848085911575	2.6229248815861026	8.976179031938925	0.1	11.9854;12.4058;12.3185	2.28592;4.87232;2.62292	Syngeneic KL vs KP bulk tumors, n=3 vs 3. Deposited table has per-sample values for 7449 genes, not a full transcriptome. TJ genes missing from the deposit: Cdh1, F11r. Two-sided exact Mann-Whitney floor at n=3 vs 3 is 0.10.
GSE244452	KL_minus_KP	TJ7	tumor	syngeneic_bulk_tumor	log2(deposited_count+1)	new	3.0	3.0	11.312986126199993	3.0422461906112575	11.320158861137688	2.781271004991348	8.270739935588736	0.1	11.2079;11.3202;11.4109	2.78127;3.59982;2.74565	Syngeneic KL vs KP bulk tumors, n=3 vs 3. Deposited table has per-sample values for 7449 genes, not a full transcriptome. TJ genes missing from the deposit: Cdh1, F11r. Two-sided exact Mann-Whitney floor at n=3 vs 3 is 0.10. TJ7 mean of Cldn3,Cldn4,Cldn6,Cldn7,Ocln.
GSE274352	KL_minus_KP	Tacstd2	cell_line	cultured_cells_empty_vector	log2(normalized_count+1)	new	3.0	3.0	5.300996640377928	6.8435030678728594	5.222837531643305	6.8681706698031695	-1.5425064274949314	0.1	4.96055;5.22284;5.7196	7.2262;6.86817;6.43614	Untreated empty-vector cell lines from the same study as GSE274351. IFN-beta and STING arms are not in this contrast. n=3 vs 3 cannot reach two-sided exact Mann-Whitney p < 0.05 (floor 0.10).
