cohort	gene	n	n_low	n_high	median_low	median_high	log2_median_ratio	spearman_rho	spearman_p	spearman_q	mannwhitney_p	mannwhitney_q
LUAD	LGALS1	510	255	255	3006.35	3812.63	0.342672	0.125884	0.00441045	0.0104247	0.00404084	0.0116735
LUAD	LGALS2	510	255	255	19.216	25.3675	0.383263	0.0569259	0.199333	0.287925	0.129316	0.240157
LUAD	LGALS3	510	255	255	5585.93	7428.11	0.411134	0.377326	1.05838e-18	2.75178e-17	1.8874e-12	4.90723e-11
LUAD	LGALS4	510	255	255	12.6411	12.4069	-0.0249843	0.00421517	0.924348	0.954119	0.605695	0.684699
LUAD	LGALS7	510	255	255	2.9555	3.4323	0.164195	0.042132	0.342335	0.445035	0.36857	0.479141
LUAD	LGALS7B	510	255	255	1.4786	2.0141	0.282202	0.00939077	0.832452	0.901823	0.525656	0.650812
LUAD	LGALS8	510	255	255	1042.58	1032.3	-0.014282	0.021686	0.62513	0.706668	0.96932	0.96932
LUAD	LGALS9	510	255	255	1611.15	1983.61	0.29987	0.191717	1.30389e-05	4.84303e-05	4.64805e-05	0.000172642
LUAD	LGALS9B	510	255	255	0.5911	1.9685	0.89971	0.192296	1.22622e-05	4.84303e-05	4.31211e-05	0.000172642
LUAD	LGALS9C	510	255	255	27.0188	41.4707	0.600073	0.222723	3.74637e-07	2.43514e-06	9.61964e-07	5.00222e-06
LUAD	LGALS12	510	255	255	2.7668	5.1963	0.718068	0.172793	8.77537e-05	0.0002852	8.82882e-05	0.000286936
LUAD	LGALS13	510	255	255	0	0	0	-0.0945303	0.0328152	0.0656304	0.149068	0.252604
LUAD	LGALS14	510	255	255	0	0	0	-0.00255395	0.954119	0.954119	0.8137	0.846248
LUAD	LGALS16	0	0	0								
LUSC	LGALS1	484	242	242	4183.51	3819.6	-0.131259	-0.0596286	0.19033	0.287925	0.561838	0.663991
LUSC	LGALS2	484	242	242	14.3163	12.3499	-0.198244	-0.122127	0.00714681	0.0154848	0.0551375	0.119464
LUSC	LGALS3	484	242	242	3227.66	4226.53	0.388881	0.303925	8.41407e-12	1.09383e-10	5.38479e-08	4.66682e-07
LUSC	LGALS4	484	242	242	3.9553	3.5968	-0.108343	-0.0638453	0.160797	0.261296	0.213578	0.308502
LUSC	LGALS7	484	242	242	141.38	557.073	1.97071	0.260063	6.36747e-09	5.51847e-08	2.66056e-09	3.45872e-08
LUSC	LGALS7B	484	242	242	104.462	267.995	1.35086	0.205698	5.05383e-06	2.62799e-05	8.59182e-07	5.00222e-06
LUSC	LGALS8	484	242	242	1040.29	1078.09	0.0514502	0.0917731	0.0435862	0.0809459	0.328443	0.449448
LUSC	LGALS9	484	242	242	1337.93	1206.95	-0.148519	-0.0553509	0.224174	0.306765	0.155449	0.252604
LUSC	LGALS9B	484	242	242	1.7806	3.27085	0.619127	0.139677	0.00206954	0.00597867	0.00864448	0.0204324
LUSC	LGALS9C	484	242	242	26.6236	33.0783	0.302949	0.129783	0.00423725	0.0104247	0.00765556	0.0199044
LUSC	LGALS12	484	242	242	1.7022	1.6364	-0.0355652	-0.0259055	0.569667	0.673243	0.646057	0.699895
LUSC	LGALS13	484	242	242	0	0	0	-0.0397232	0.383211	0.474452	0.0830517	0.166103
LUSC	LGALS14	484	242	242	0	0	0	-0.0695425	0.126555	0.219362	0.179262	0.274166
LUSC	LGALS16	0	0	0								
