cohort	gene	n	purity_attr	spearman_rho	spearman_p	partial_spearman_rho	partial_spearman_p	partial_spearman_q
CPTAC_LUAD	LGALS1	109	TUMOR_PURITY_BYESTIMATE_RNASEQ	0.107826	0.264415	0.0786489	0.416268	0.539376
CPTAC_LUAD	LGALS2	109	TUMOR_PURITY_BYESTIMATE_RNASEQ	0.181736	0.0585866	0.176017	0.0671293	0.223764
CPTAC_LUAD	LGALS3	109	TUMOR_PURITY_BYESTIMATE_RNASEQ	0.380216	4.54136e-05	0.380085	4.57107e-05	0.000914213
CPTAC_LUAD	LGALS4	109	TUMOR_PURITY_BYESTIMATE_RNASEQ	0.12295	0.202779	0.12339	0.201155	0.402311
CPTAC_LUAD	LGALS7B	79	TUMOR_PURITY_BYESTIMATE_RNASEQ	-0.0666748	0.55934	-0.0668939	0.558047	0.587417
CPTAC_LUAD	LGALS8	109	TUMOR_PURITY_BYESTIMATE_RNASEQ	0.0779588	0.420382	0.0819109	0.39714	0.539376
CPTAC_LUAD	LGALS9	109	TUMOR_PURITY_BYESTIMATE_RNASEQ	0.156483	0.10418	0.158113	0.100576	0.287361
CPTAC_LUAD	LGALS9B	85	TUMOR_PURITY_BYESTIMATE_RNASEQ	-0.0824116	0.453361	-0.0786594	0.474253	0.539376
CPTAC_LUAD	LGALS9C	98	TUMOR_PURITY_BYESTIMATE_RNASEQ	0.150617	0.138778	0.156488	0.12386	0.309649
CPTAC_LUAD	LGALS12	108	TUMOR_PURITY_BYESTIMATE_RNASEQ	0.110868	0.25333	0.0822544	0.397385	0.539376
CPTAC_LUSC	LGALS1	69	ESTIMATE_TUMORPURITY	-0.118049	0.334015	-0.0989039	0.418783	0.539376
CPTAC_LUSC	LGALS2	69	ESTIMATE_TUMORPURITY	0.0519547	0.671587	0.111692	0.360878	0.539376
CPTAC_LUSC	LGALS3	69	ESTIMATE_TUMORPURITY	0.254259	0.0350112	0.271977	0.0237757	0.0958094
CPTAC_LUSC	LGALS4	69	ESTIMATE_TUMORPURITY	0.0757399	0.536221	0.0853855	0.485438	0.539376
CPTAC_LUSC	LGALS7B	69	ESTIMATE_TUMORPURITY	0.0986847	0.41982	0.0915966	0.454138	0.539376
CPTAC_LUSC	LGALS8	69	ESTIMATE_TUMORPURITY	0.260762	0.0304586	0.271648	0.0239523	0.0958094
CPTAC_LUSC	LGALS9	69	ESTIMATE_TUMORPURITY	0.318524	0.00764445	0.413884	0.000407614	0.00407614
CPTAC_LUSC	LGALS9B	67	ESTIMATE_TUMORPURITY	0.374731	0.00178247	0.365392	0.00236217	0.0157478
CPTAC_LUSC	LGALS9C	67	ESTIMATE_TUMORPURITY	0.153723	0.214237	0.162822	0.188013	0.402311
CPTAC_LUSC	LGALS12	65	ESTIMATE_TUMORPURITY	-0.00541958	0.965824	0.0317308	0.801875	0.801875
