cohort	study_id	sample_id	tacstd2_group	TACSTD2	LGALS1	LGALS2	LGALS3	LGALS4	LGALS7	LGALS7B	LGALS8	LGALS9	LGALS9B	LGALS9C	LGALS12	LGALS13	LGALS14	LGALS16
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-55-8620-01	low	105.373	2058.64	42.8635	1034.68	44.6495	0	0	734.806	1325.79	0.5953	28.5757	0.5953	0.5953	1.786	
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-86-8358-01	low	125.328	1985.36	0.6631	659.798	0.6631	0	0	1049.05	625.316	0.6631	19.2303	0	0	0	
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-91-A4BC-01	low	126.632	5282.64	33.9426	1870.76	6.5274	60.0522	67.8851	641.338	1838.12	0	44.3864	62.0104	0	0	
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-55-8506-01	low	158.784	8957.77	2.8153	5060.81	0	0.5631	0.5631	1042.58	1484.8	0	24.7748	3.3784	0	0	
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-05-4415-01	low	237.333	2384.89	0	3846.22	31.5556	0	0.4444	1811.78	379.111	17.7778	24.8889	0	0.4444	0	
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-69-8255-01	low	258.807	1854.92	273.509	5438.56	3945.08	24.1331	92.9265	2960.11	933.981	0.2774	23.0236	0.5548	0	697.365	
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-38-4625-01	low	303.577	15294	2.8161	5717.54	14.6438	0	0	1003.82	1431.43	3.3793	30.1324	3.6609	0	0	
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-91-8499-01	low	337.321	3006.35	49.6234	9754.54	5.9075	0.5908	0	1379.18	993.059	0.5908	27.7655	0	0	10.6336	
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-55-5899-01	low	364.052	2803.83	2.8576	3264.47	0	0	0	1106.23	1287.04	0	22.8604	0.5715	0	0	
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-86-8054-01	low	373.99	1287.49	2.6642	843.893	1.3321	49.2882	63.2753	1167.17	180.168	0	1.9982	0.333	0	0	
LUAD	luad_tcga_pan_can_atlas_2018	TCGA-50-6591-01	low	428.315	2618.28	0	1721.62	14.9343	2.3895	3.5842	786.123	326.165	0.5974	8.3632	0.5974	0	0	
