	welch_t
NUDT16L1	12.428323685133316
CLDN4	12.234166962750491
TAS2R30	10.96657315146162
AHDC1	10.619138640467693
ZYG11A	10.172630788093894
WDR34	8.63249651816075
ZNF726	8.476307191747079
WDR90	8.125422839903017
SERHL2	8.064122864633244
TAS2R31	8.039946025873997
CLDN20	7.81919914412167
TAS2R19	7.697053192071036
DVL1	7.605294704428286
SCAMP5	7.580629437522687
RAB26	7.416647178079426
SDHA	7.361036892865048
IDH2	7.162593010979869
DOCK6	7.143635913090737
PDIK1L	7.117811525070838
PILRB	7.086094761106027
NUP188	6.942557166249848
TAS2R20	6.933791794336846
ZXDC	6.753572239517404
RMND5B	6.665137825549069
TRRAP	6.549265904485041
LINC00116	6.5308759311972455
TAS2R46	6.464403079945927
NFATC4	6.4413909755799015
SLC23A3	6.403269358928771
GPR21	6.380510541679262
LAMA5	6.3586179270252625
ZBTB42	6.287239364963445
VAPB	6.22151201250375
BTBD6	6.16638037228726
DCTPP1	6.128359014600422
POLR3K	6.089995965535801
TBC1D16	6.068686920081568
PGP	6.0577154450746695
GTF2IRD1	6.040598936737674
MORC2-AS1	6.022266022349928
ACTR1B	5.867099898018475
TRMU	5.858816623762169
PTS	5.834078767547847
AP4M1	5.812720618260704
NTHL1	5.783156861572949
CLPTM1L	5.71752472556867
RAET1G	5.679731016534258
DGCR8	5.669163345116238
GPT2	5.627001034480677
AIG1	5.622907238210135
MUTYH	5.614655537677488
LRRC47	5.607414858057504
COX14	5.588780108408199
SLC35E2	5.588483736260442
C16orf91	5.56008917508866
UBE2J2	5.552949208940321
CATSPER3	5.5496428441342305
PEX10	5.523316768852644
ANKS3	5.518098618527693
RTN4IP1	5.51757259013685
ANKLE2	5.512164239498287
PLEKHH1	5.49410076176911
IRS1	5.475819539369242
SLC22A23	5.456956722189961
DDTL	5.438657085353699
LINC00337	5.437348290070681
TMEM184A	5.415455611171905
SYCP3	5.404819096191604
DNASE1	5.38927496285597
NARFL	5.375123304148932
LRRC14	5.348122704577117
TAF6	5.339082857691668
WDR27	5.32668900142833
TRAF4	5.325101102927386
PHF13	5.313216839055381
PPIP5K1	5.307598552559547
SENP8	5.25865526464132
STK25	5.25620515032261
SLC25A10	5.243552496788243
KIAA1468	5.2424245356708825
MAB21L1	5.2384782742869564
ZSCAN25	5.236853527074618
ELL3	5.23014180089817
ZNF785	5.228822122884228
N6AMT1	5.217810386701377
NIPA1	5.205229194908766
NDOR1	5.197054396768948
GATS	5.164800847372273
CCNL2	5.14282202148619
BMPR1B	5.127636547829858
AGAP1	5.122727496245858
ATP6V1C2	5.087490247462371
NUBP2	5.074120387101699
ZNF253	5.063386081805798
IVD	5.059833665566493
ADSL	5.049491643241048
INTU	5.046226349630037
RTTN	5.037711993253295
WBP1	5.028981476360787
NPIPB15	5.027718403411171
ASF1B	5.019066378806214
TMEM134	4.996512978472571
MUM1	4.992463893249677
KAT2A	4.988371283935912
CUL9	4.986054554486009
PEX26	4.9814365487595245
ANGPTL7	4.973056768581823
DHX35	4.972728128380107
