dataset,gene,malignant_definition,n_malignant,n_immune,mean_malignant,mean_immune,pct_pos_malignant,pct_pos_immune,log2FC_of_means,auroc_malignant_vs_immune,cell_level_p,n_paired_patients,n_patients_malignant_higher,paired_wilcoxon_p,n_nonmalignant_epithelial,mean_nonmalignant_epithelial,pct_pos_nonmalignant_epithelial,log2FC_malignant_vs_nonmalig_epi,p_malignant_vs_nonmalig_epi,pct_of_positive_in_malignant,pct_of_positive_in_immune,spearman_rho_immune_frac_vs_malignant_mean,spearman_p_immune_frac
NSCLC_EMTAB6149,CLDN4,"TISCH2 major-lineage == ""Malignant""",5728,30694,1.1902570724487305,0.07074572145938873,62.04608938547486,4.349384244477748,4.072486400604248,0.7917141559156832,0.0,,,,1346.0,1.3130831718444824,67.4591381872214,-0.1416851282119751,0.0026728466618806124,59.54096163511476,22.36555536940861,,
NSCLC_GSE127465,CLDN4,"TISCH2 major-lineage == ""Malignant""",3995,26055,0.8964436650276184,0.007440867368131876,50.26282853566959,0.4989445403953176,6.912598133087158,0.7491037179702416,0.0,7.0,7.0,0.015625,,,,,,93.74416433239962,6.069094304388422,-0.28571428571428575,0.5345092286010406
NSCLC_GSE131907,CLDN4,"proxy: major-lineage == ""Epithelial"" restricted to tumor-tissue cells (Source contains ""tumor""); no TISCH2 malignancy call available for this dataset",9573,53114,1.4166452884674072,0.03960932791233063,80.25697273581949,3.3738750611891404,5.160494327545166,0.891339529144223,0.0,9.0,9.0,0.00390625,,,,,,80.17322341646666,18.699780861943026,0.2833333333333333,0.46003032896572005
NSCLC_GSE148071,CLDN4,"TISCH2 major-lineage == ""Malignant""",48118,20077,1.116219162940979,0.05657905712723732,61.25150671266469,3.9298700004980827,4.302208423614502,0.7902611563792711,0.0,36.0,36.0,2.9103830456733704e-11,8147.0,1.3677420616149902,73.7326623296919,-0.2931758463382721,0.0,80.02878244813729,2.142391658520691,-0.054568854568854575,0.7519313401584008
NSCLC_EMTAB6149,EPCAM,"TISCH2 major-lineage == ""Malignant""",5728,30694,1.8537291288375854,0.088814876973629,79.76606145251397,4.978171629634456,4.383485317230225,0.8838133888194625,0.0,,,,1346.0,1.221429705619812,68.64784546805349,0.6018596291542053,0.0,63.546592489568845,21.251738525730183,,
NSCLC_GSE127465,EPCAM,"TISCH2 major-lineage == ""Malignant""",3995,26055,0.8955802917480469,0.004154170397669077,51.96495619524405,0.28785261945883706,7.752118110656738,0.7585725488274659,0.0,7.0,7.0,0.015625,,,,,,96.20018535681186,3.4754402224281744,-0.25,0.5887244480896832
NSCLC_GSE131907,EPCAM,"proxy: major-lineage == ""Epithelial"" restricted to tumor-tissue cells (Source contains ""tumor""); no TISCH2 malignancy call available for this dataset",9573,53114,1.3533951044082642,0.03556488826870918,80.98819596782619,2.8354106262002485,5.249985694885254,0.894896935537086,0.0,9.0,9.0,0.00390625,,,,,,82.84004701356983,16.091462763115718,0.5333333333333333,0.13922686754397814
NSCLC_GSE148071,EPCAM,"TISCH2 major-lineage == ""Malignant""",48118,20077,1.3939094543457031,0.04826800525188446,70.40400681657592,3.411864322358918,4.851925849914551,0.8406182106864796,0.0,36.0,35.0,2.4770276393652366e-07,8147.0,1.051300048828125,68.82287958757824,0.4069623351097107,0.0,83.12966234786022,1.6808990969768356,-0.311969111969112,0.06398475061874366
NSCLC_EMTAB6149,PTPRC,"TISCH2 major-lineage == ""Malignant""",5728,30694,0.058148741722106934,1.604099154472351,4.748603351955307,67.94161725418648,-4.785871505737305,0.1722810910945418,0.0,,,,1346.0,0.12208078801631927,8.841010401188708,-1.0700162649154663,1.756503720251601e-09,1.2688934502705729,97.28494122037694,,
NSCLC_GSE127465,PTPRC,"TISCH2 major-lineage == ""Malignant""",3995,26055,0.08384881168603897,1.3508373498916626,5.331664580725907,59.98848589522164,-4.0099196434021,0.21866183237586612,0.0,7.0,0.0,0.015625,,,,,,1.3392857142857142,98.2771629778672,-0.03571428571428572,0.9394082054712856
