dataset	patient	n_cells	n_malignant	n_cldn4_high	n_cldn4_low	n_tnk	sample_origin	tnk_frac	eligible_paired	mal_CLDN4_mean	mal_CLDN4_pct_pos	orig.ident	tnk_ifn	tnk_cyto	tnk_exh	tnk_ifn_minus_cyto
GSE131907	P3013	4845.0	1352.0	451.0	901.0	1780.0	mBrain	0.3673890608875129	True	1.2590223550796509	0.724112426035503		0.12435648357495666	0.47794101521971505	0.12070638852726136	-0.3535845316447584
GSE131907	P0018	8333.0	1002.0	573.0	429.0	1090.0	nLung|tLung	0.1308052322092883	True	1.824816465377808	0.9281437125748504		0.2930350286187604	0.5531829421275428	0.1452922813062157	-0.2601479135087824
GSE131907	P0030	7978.0	784.0	169.0	615.0	1414.0	nLung|tLung	0.1772374028578591	True	1.0103753805160522	0.6262755102040817		0.18999911567516392	0.5889303571478065	0.11607506112860781	-0.3989312414726426
GSE131907	P0034	8502.0	2374.0	999.0	1375.0	366.0	nLung|tLung	0.0430486944248412	True	1.6022334098815918	0.9275484414490311		0.17235828650882468	0.6915145506084498	0.09762733482888766	-0.5191562640996251
GSE131907	P3004	1904.0	1229.0	287.0	942.0	131.0	mBrain	0.0688025210084033	True	1.3547914028167725	0.8934092758340114		0.3274213798576966	0.5607248889947576	0.17869398982397147	-0.233303509137061
GSE131907	P1006	7187.0	1186.0	422.0	764.0	3904.0	PE|tL/B	0.5432030054264645	True	1.2913167476654053	0.7116357504215851		0.3972965301654767	0.6936697846270233	0.09123669059148856	-0.2963732544615466
GSE131907	P0031	9819.0	182.0	45.0	137.0	3713.0	nLung|tLung	0.378144413891435	True	1.1920487880706787	0.7582417582417582		0.18871881375525845	0.7337355609717113	0.12398190104535647	-0.5450167472164529
GSE131907	P0020	9819.0	434.0	258.0	176.0	2418.0	nLung|tLung	0.2462572563397494	True	1.814907550811768	0.8986175115207373		0.1749800226825755	0.6316630901003789	0.19659355296088116	-0.4566830674178034
GSE131907	P0008	7145.0	42.0	20.0	22.0	2128.0	nLung|tLung	0.2978306508047585	True	1.5306764841079712	0.8571428571428571		0.14839531314282794	0.29496239494931487	0.11097038783399123	-0.14656708180648692
GSE131907	P3019	3300.0	755.0	141.0	614.0	370.0	mBrain	0.1121212121212121	True	1.018040657043457	0.671523178807947		0.3537744374771137	0.46915788502831546	0.10089035910953369	-0.11538344755120178
GSE131907	P1011	6121.0	203.0	73.0	130.0	2757.0	PE|mLN	0.4504165985950008	True	1.392881155014038	0.8078817733990148		0.20355487643973902	0.6673642580530473	0.07968849287967064	-0.4638093816133083
GSE131907	P1058	2813.0	460.0	51.0	409.0	1546.0	tL/B	0.5495911837895485	True	0.9481318593025208	0.7217391304347827		0.21566386055928888	0.8200397238667522	0.21546541047947748	-0.6043758633074633
