ligand	geneset	pearson	pearson_p	auroc	aupr	n_background	n_geneset	mean_delta_high_minus_low	median_delta_high_minus_low	paired_p	paired_padj	n_patients_de	frac_patients_receptor	potential_GSE131907	potential_GSE205335	score_activity	score_de	score_receptor	prioritization	rank_activity	rank_priority
HLA-A	a_priori_cytotoxicity	0.24090480571286382	0.0001021541303799594	0.47628927089508	0.28700527795870373	255	14	0.24322702195130141	0.22707414627075195	5.225989785372797e-06	1.4391571870488166e-05	51	1.0	True	True	0.8181229204885158	0.8736032851434713	1.0	0.8972420685439957	4.0	1.0
ICAM1	a_priori_cytotoxicity	0.11410532673239741	0.0688947104778013	0.36040308239478364	0.10371872276075408	255	14	0.19996845579532652	0.16360512375831604	7.319306280667348e-09	9.675356166555113e-08	51	1.0	True	True	0.537734509513426	0.7595007182246347	1.0	0.765745075912687	19.0	2.0
APP	a_priori_cytotoxicity	0.08247507527167713	0.18925427411450843	0.33432128037937164	0.0899767068717301	255	14	0.19009320161707116	0.12250572443008423	1.1243713097292355e-07	6.940084980742522e-07	51	1.0	True	True	0.46779135188278537	0.7334528865269291	1.0	0.7337480794699047	26.0	3.0
HLA-E	a_priori_cytotoxicity	0.08155887650494734	0.1942338052054111	0.44309425014819204	0.17966306387762115	255	14	0.19263352059266148	0.23003888130187988	4.584685650802641e-07	2.051646828734182e-06	51	0.9607843137254902	True	True	0.46576538522735234	0.7401534534126266	0.942857142857143	0.7162586604990406	27.0	4.0
LGALS3	a_priori_cytotoxicity	-0.06652679907490794	0.28991811213738583	0.3360995850622407	0.07390853892054969	255	14	0.29114654557962044	0.12459671497344971	6.142428813060041e-07	2.6178446608041603e-06	51	1.0	True	True	0.13830735781381148	1.0	1.0	0.7127691192712705	112.0	5.0
CCN1	a_priori_cytotoxicity	-0.02889274458057461	0.6460839197752573	0.39300533491404854	0.07358696433611152	255	14	0.25106302339752967	0.1768517978489399	4.76837158203125e-06	1.3336539268493652e-05	22	1.0	False	True	0.2215265699356659	0.8942722059803415	1.0	0.7052662586386692	69.0	6.0
HLA-DRA	a_priori_cytotoxicity	0.2965830786806584	1.4233505726848196e-06	0.4001185536455246	0.2308976132477909	255	14	-0.02610786348654359	-0.004902496933937073	0.3113781819395105	0.3483543410448274	51	1.0	True	True	0.9412428466017941	0.16318210108385597	1.0	0.7014749825618832	2.0	7.0
LGALS3BP	a_priori_cytotoxicity	-0.07269942259777118	0.24737684256032702	0.32957913455838767	0.05756924361757759	255	14	0.28968127236208496	0.20087671279907227	1.0466620052186515e-09	2.9553102728033543e-08	51	0.9803921568627451	True	True	0.1246579949375673	0.996135067566609	0.9714285714285714	0.6974072113109159	116.0	8.0
MDK	a_priori_cytotoxicity	-0.015967432528849503	0.7996941883424645	0.40782454060462353	0.084306959238406	255	14	0.24155228782226057	0.1688709259033203	8.128535790784189e-06	2.108707110942565e-05	51	0.9803921568627451	True	True	0.2501079784452283	0.869185860341615	0.9714285714285714	0.696907470071805	60.0	9.0
B2M	a_priori_cytotoxicity	0.10964071900768914	0.08055204057013042	0.45850622406638997	0.15887801250319883	255	14	0.13332049753151687	0.08675122261047363	0.0008188956296302775	0.0015429717653033651	51	0.9803921568627451	True	True	0.5278620378311811	0.5837042507601253	0.9714285714285714	0.694331620006626	20.0	10.0
