ligand	geneset	pearson	pearson_p	auroc	aupr	n_background	n_geneset	mean_delta_high_minus_low	median_delta_high_minus_low	paired_p	paired_padj	n_patients_de	frac_patients_receptor	potential_GSE131907	potential_GSE205335	score_activity	score_de	score_receptor	prioritization	rank_activity	rank_priority
LRPAP1	a_priori_cytotoxicity	0.3231547062716781	1.3111239409553768e-07	0.3532898636633076	0.22966424794786627	255	14	0.12219854692618053	0.1025083065032959	1.0210883866755238e-08	1.0730319870890798e-07	51	0.6470588235294118	True	True	1.0	0.5543680238348577	0.48571428571428577	0.6800274365163812	1.0	14.0
HLA-DRA	a_priori_cytotoxicity	0.2965830786806584	1.4233505726848196e-06	0.4001185536455246	0.2308976132477909	255	14	-0.02610786348654359	-0.004902496933937073	0.3113781819395105	0.3483543410448274	51	1.0	True	True	0.9412428466017941	0.16318210108385597	1.0	0.7014749825618832	2.0	7.0
HLA-DQB1	a_priori_cytotoxicity	0.2586700024787848	2.8930649415106075e-05	0.4101956135151156	0.2465994724492182	255	14	0.014383523630243087	0.00012552767293527722	0.8074553206568335	0.8403168744044953	51	0.7843137254901961	True	True	0.8574066409888479	0.2699857152274914	0.6857142857142857	0.6043688806435417	3.0	34.0
HLA-A	a_priori_cytotoxicity	0.24090480571286382	0.0001021541303799594	0.47628927089508	0.28700527795870373	255	14	0.24322702195130141	0.22707414627075195	5.225989785372797e-06	1.4391571870488166e-05	51	1.0	True	True	0.8181229204885158	0.8736032851434713	1.0	0.8972420685439957	4.0	1.0
CD47	a_priori_cytotoxicity	0.2159580964107661	0.0005152518264035386	0.3645524599881447	0.1626649887271011	255	14	0.16219509699765375	0.1223103404045105	1.259232516317772e-06	4.695887925435025e-06	51	0.5686274509803921	True	True	0.7629589069096412	0.6598664126302184	0.3714285714285714	0.5980846303228103	5.0	36.0
CD58	a_priori_cytotoxicity	0.1994782766527898	0.0013647505143724553	0.34439834024896265	0.14133385571381055	255	14	0.03850097363522532	0.020808584988117218	3.872600691536026e-05	9.002539269934398e-05	51	0.9803921568627451	True	True	0.7265175073688221	0.33360000478075463	0.9714285714285714	0.6771820278593826	6.0	15.0
TNC	a_priori_cytotoxicity	0.18676274742627655	0.002752579201642576	0.3494368701837582	0.12802822299697847	255	14	0.04555242733148785	0.0014593973755836487	0.1212973114517199	0.155087276784699	51	0.9803921568627451	True	True	0.6983999861992075	0.35219953404743937	0.9714285714285714	0.6740093638917394	7.0	16.0
HLA-DRB1	a_priori_cytotoxicity	0.1702398274618139	0.0064286648698168355	0.4054534676941316	0.16215122384861372	255	14	0.05600455399675697	0.008107615634799004	0.15695315522552944	0.1910014826914567	51	1.0	True	True	0.6618632802856291	0.3797689749292264	1.0	0.6805440850716185	8.0	13.0
SPP1	a_priori_cytotoxicity	0.1657776023369434	0.00798675420070899	0.34232365145228216	0.1481241503324458	255	14	0.004535291227512062	-0.0012073391117155552	0.973047420887899	0.978513979432213	51	1.0	True	False	0.6519960771848318	0.24400915852163155	1.0	0.6320017452354878	9.0	26.0
MIF	a_priori_cytotoxicity	0.1644107761779517	0.008527073956290954	0.42857142857142855	0.13877634927920302	255	14	-0.05046553763688779	-0.05291473865509033	0.032585757035245785	0.045927956766212565	51	1.0	True	True	0.6489736498225087	0.09893417537347063	1.0	0.5826359417319931	10.0	44.0
ITGB2	a_priori_cytotoxicity	0.161243999366315	0.009905575412434494	0.35862477771191464	0.16495985199189717	255	14	-0.023185164152642292	-0.002144351601600647	0.7499556273330805	0.7850412707170843	51	0.9803921568627451	True	True	0.6419710380983362	0.17089126775220265	0.9714285714285714	0.5947636257597034	11.0	38.0
TIMP3	a_priori_cytotoxicity	0.15382328217130253	0.013934606599535368	0.31713100177830467	0.1316790063808851	255	14	0.0070626157696596255	0.0025180645752698183	0.1343756065101101	0.167409450355185	51	1.0	True	True	0.6255617979395056	0.250675450156362	1.0	0.6254124160319559	12.0	29.0
MICA	a_priori_cytotoxicity	0.151101918377293	0.015738181823260564	0.4451689389448725	0.2479475277648174	255	14	0.02353294784267086	0.014812149107456207	0.00010024886930691242	0.00020865753030159678	51	0.9803921568627451	True	True	0.619544116510349	0.2941190345035666	0.9714285714285714	0.628363907480829	13.0	28.0
HLA-DPB1	a_priori_cytotoxicity	0.14867284113132825	0.017517195239510962	0.39181979845880255	0.2631304813066999	255	14	-0.05792112452863697	-0.029602348804473877	0.013338724594837748	0.02040710856817057	51	0.7843137254901961	True	True	0.614172760771287	0.07926866914361348	0.6857142857142857	0.4597185718763954	14.0	98.0
