gene	n	rho	p	in_ifn	in_cyto	in_exh
CLDN3	51	0.5947046995450356	4.187805157752469e-06	False	False	False
ATP1B1	51	0.5755656108597286	9.937641545224705e-06	False	False	False
CEACAM6	51	0.4991401957269954	0.0001926739175935888	False	False	False
NPFF	51	-0.4673351057491765	0.0005452189064421543	False	False	False
CLDN4	51	0.46398190045248866	0.0006049138225483887	False	False	False
BCAM	51	0.45994962707209747	0.0006844613423275328	False	False	False
LRFN2	51	-0.4525218621305619	0.0008560217351538623	False	False	False
ERBB3	51	0.44629969015246385	0.0010284641159496205	False	False	False
CDH1	51	0.4412317021876382	0.0011912667396083597	False	False	False
SCGB3A2	51	0.4396127003336237	0.001247933531515215	False	False	False
AQP1	51	0.4180225399986898	0.002270433393864093	False	False	False
CD34	51	-0.41611744941924983	0.002389133475472465	False	False	False
APP	51	0.40805429864253395	0.0029547030526365266	False	False	False
CACNA1D	51	-0.4018729420934256	0.0034653402913643857	False	False	False
C4BPA	51	0.39814212179105485	0.0038098674868147038	False	False	False
SPINT1	51	0.3970135746606334	0.003919859176608284	False	False	False
GZMM	51	-0.3928506787330317	0.004350127397532454	False	True	False
NTF4	51	0.39256862587107483	0.004380725338917512	False	False	False
MUC1	51	0.39248868778280543	0.004389431561823121	False	False	False
KIR3DL2	51	-0.39123057092752744	0.004528470919479933	False	False	False
HCST	51	-0.39122171945701356	0.004529462665320899	False	False	False
S100A10	51	0.39049773755656103	0.004611227973781451	False	False	False
TSPAN10	51	-0.388826253109312	0.0048049660730311965	False	False	False
CD24	51	0.38868778280542987	0.004821331330023367	False	False	False
EDN1	51	0.38536180188044106	0.005229374876299955	False	False	False
KLRC3	51	-0.38421364097465127	0.005377090648519435	False	False	False
GDF15	51	0.3831598400755971	0.0055158658466083425	False	False	False
EPCAM	51	0.37954751131221715	0.00601562219840647	False	False	False
SDC1	51	0.3788640060800223	0.006114505003354692	False	False	False
COL21A1	51	0.37692351661952445	0.0064030043612855045	False	False	False
ADAM17	51	-0.37466063348416284	0.006754359221540096	False	False	False
PTPRF	51	0.37448811068658533	0.006781822423279554	False	False	False
PTPRZ1	51	0.37369329609617546	0.006909605143689809	False	False	False
CXCL17	51	0.3736864188426577	0.006910719884005268	False	False	False
EOMES	51	-0.36868778280542985	0.0077635319327201205	False	False	False
NRP2	51	0.355990429840401	0.010351822653396198	False	False	False
KLRK1	51	-0.35455986424930047	0.010685468345913576	False	True	False
BTN3A1	51	-0.3543891402714932	0.010725897687559603	False	False	False
TLR9	51	-0.34990130825168925	0.011836957995516668	False	False	False
S100A8	51	-0.3481763069740257	0.012289591007641803	False	False	False
MDK	51	0.34760180995475115	0.012443597606643823	False	False	False
MMP7	51	0.34393299298314406	0.013466693366186354	False	False	False
TSPAN15	51	0.3434389140271493	0.013609827331181466	False	False	False
ITGB6	51	0.34308356327215217	0.013713575139396795	False	False	False
APOC2	51	-0.3429906370632486	0.013740817128123722	False	False	False
CNTN2	51	-0.3428589062471209	0.01377951430236356	False	False	False
ITGA10	51	-0.34234170929383534	0.01393234877478375	False	False	False
PDGFC	51	0.34189538917936607	0.014065401907365976	False	False	False
EGFR	51	0.3411012753162658	0.014304823396522101	False	False	False
GPC4	51	0.3382459241131179	0.01519469054993479	False	False	False
TNFRSF12A	51	0.3367420814479638	0.015682055398448292	False	False	False
DBH	51	0.3355598778230116	0.01607447902275354	False	False	False
SFTPD	51	0.33517372863049955	0.016204456914434926	False	False	False
MILR1	51	-0.333886937172258	0.0166440702138485	False	False	False
CNR2	51	-0.3310637146199683	0.017644243639160107	False	False	False
NPW	51	-0.3297652872903434	0.018121095089421568	False	False	False
EPHA2	51	0.3290559654335084	0.018386182782564167	False	False	False
CYTL1	51	-0.3285272240967503	0.018585916781714836	False	False	False
COL12A1	51	0.32767651943623843	0.018911133306052683	False	False	False
ITGA3	51	0.32715672308651667	0.019112209798760046	False	False	False
LAMA2	51	-0.3251724863055582	0.01989651793350559	False	False	False
ADGRG5	51	-0.3248037286742762	0.020045236109687514	False	False	False
ADGRF5	51	0.32458937035683544	0.02013211700350851	False	False	False
TOP2A	51	0.32376298114578517	0.020470043830749567	False	False	False
DSC3	51	-0.32300992429821673	0.02078214529106476	False	False	False
IGFLR1	51	-0.32226244343891397	0.02109590055878316	False	False	False
BMP3	51	0.3221717333805613	0.02113424676430235	False	False	False
KRT8	51	0.32108597285067875	0.02159781947909869	False	False	False
KDR	51	0.3205310687808768	0.021838032047179014	False	False	False
TREML2	51	-0.320077896593614	0.022035873072338577	False	False	False
INSL3	51	-0.3183314881162698	0.022812487709385945	False	False	False
ANOS1	51	0.31707969430085753	0.023383218102566324	False	False	False
COL1A1	51	0.3167949622931272	0.023514698825409543	False	False	False
IFNLR1	51	-0.3157849586970567	0.02398611242313695	False	False	False
LIFR	51	0.31534234759666985	0.0241951870723526	False	False	False
KRT18	51	0.31393665158371037	0.02486936776858524	False	False	False
SCN11A	51	0.31362555203873943	0.025020684094846028	False	False	False
BDKRB1	51	-0.3125109308645919	0.02556918240250299	False	False	False
PDGFD	51	-0.312449103993593	0.025599899724018303	False	False	False
ITGB8	51	0.3124183172070291	0.025615206993068212	False	False	False
FASLG	51	-0.31212669683257915	0.025760582226993022	False	True	False
SERPINA5	51	-0.3120747401524524	0.02578655549249975	False	False	False
KRT19	51	0.3119457013574661	0.025851157220741643	False	False	False
MIF	51	-0.31176470588235294	0.025941998871351502	False	False	False
TIMD4	51	-0.31161794778050284	0.026015852956102495	False	False	False
LGALS3BP	51	0.3114027149321267	0.02612448452857288	False	False	False
NPB	51	-0.31052969613792797	0.026569014712189865	False	False	False
ITGB2	51	-0.3104977375565611	0.026585406986036324	False	False	False
CLU	51	0.31022624434389134	0.026725003607557248	False	False	False
RARRES1	51	0.30967045372944296	0.02701269402518368	False	False	False
FGF11	51	-0.30966200789763454	0.027017085687837193	False	False	False
CD72	51	-0.30953027550069345	0.027085661213297134	False	False	False
KITLG	51	0.30835990183899364	0.027701334768599015	False	False	False
LGALS3	51	0.30832579185520365	0.027719452184586914	False	False	False
IGFBP4	51	0.3069683257918552	0.02844854497866138	False	False	False
ADORA2A	51	-0.3063496968415958	0.028786080041804617	False	False	False
PCDHGB6	51	-0.3061039558525575	0.028921084671856744	False	False	False
MFAP2	51	0.3057115287770252	0.029137770162125185	False	False	False
ANGPTL6	51	-0.3056898914678366	0.029149756850420344	False	False	False
IRF9	51	-0.30561085972850677	0.029193573982344255	False	False	False
CRB3	51	0.3039435282119132	0.030130860701962452	False	False	False
APLP2	51	0.303710407239819	0.030263883827775225	False	False	False
NCR1	51	-0.30364336600058167	0.030302229183816896	False	False	False
FCN1	51	-0.30020803625261105	0.032321963088140816	False	False	False
NTS	51	-0.2999010392743873	0.03250777029598112	False	False	False
VEGFB	51	0.2996380090497737	0.03266767132718728	False	False	False
TSPAN13	51	0.29927601809954746	0.03288879906002424	False	False	False
TACSTD2	51	0.29919228949488913	0.03294012237538578	False	False	False
PPBP	51	-0.29834959360397406	0.03346038017615886	False	False	False
RGMA	51	0.29763902546141324	0.033904341552958156	False	False	False
SERPINC1	51	-0.2975331303497502	0.03397092046366464	False	False	False
IGFL1	51	0.29744928257926806	0.03402371444640348	False	False	False
PLXNA2	51	0.2960830403346363	0.03489357491191708	False	False	False
OSMR	51	0.2945921350698014	0.03586371643469052	False	False	False
FAM3B	51	0.2943072453256511	0.03605160867956952	False	False	False
LRRC4	51	-0.2939744119149554	0.036272150187339834	False	False	False
TBXA2R	51	-0.29332624978916444	0.03670483202109634	False	False	False
DSG2	51	0.29322335969551466	0.03677390668141077	False	False	False
CLDN7	51	0.2932126696832579	0.03678108950626912	False	False	False
IL31RA	51	0.2929370786174763	0.03696666450376656	False	False	False
CCR3	51	-0.29278394163196453	0.03707011593884731	False	False	False
FCAR	51	-0.2922984539206637	0.0373996663154066	False	False	False
IL36G	51	0.29184574837248684	0.03770913709780722	False	False	False
CST7	51	-0.2908597285067873	0.03839049221944662	False	True	False
INHBA	51	-0.28945790566769153	0.03937659900542335	False	False	False
COL6A3	51	-0.2887393029918299	0.03989011875816817	False	False	False
C10orf99	51	-0.28763488671282317	0.04069006643669424	False	False	False
CLEC4G	51	-0.28763488671282317	0.04069006643669424	False	False	False
ICAM3	51	-0.287420814479638	0.04084663669265472	False	False	False
THBS4	51	0.28673878823997717	0.04134876548738067	False	False	False
TNFRSF21	51	0.2866071317739542	0.0414462758897034	False	False	False
BTN3A3	51	-0.28660633484162895	0.04144686670579865	False	False	False
SCTR	51	0.28600348507018986	0.04189578110770327	False	False	False
FBLN2	51	-0.28514929614699475	0.04253867611486616	False	False	False
MPDZ	51	0.2847167040828035	0.042867331819795955	False	False	False
SLPI	51	0.28416932517058435	0.04328617304656805	False	False	False
LAMB3	51	0.28284573894897574	0.04431280706852644	False	False	False
GPR55	51	-0.28257817958781767	0.04452273830060579	False	False	False
SYT1	51	0.2825305237358651	0.0445602149833105	False	False	False
CXCL14	51	0.28232185012458233	0.044724620221800036	False	False	False
IL12RB1	51	-0.2819909502262443	0.04498633850821631	False	False	False
