dataset	ligand	n	mean_high	mean_low	median_delta	mean_delta	W	p	padj
GSE131907	OCLN	29	0.37226034572412225	0.27684228032313546	0.08128227293491364	0.09541806540098684	0.0	3.725290298461914e-09	6.407499313354492e-07
GSE131907	ICAM1	29	0.7231507696982088	0.5501484054558236	0.14304369688034058	0.1730023642423852	1.0	7.450580596923828e-09	6.407499313354492e-07
GSE131907	F11R	29	0.5416929161754148	0.41853741736247624	0.10519257187843323	0.12315549881293855	6.0	5.21540641784668e-08	2.288392611912319e-06
GSE131907	GRN	29	0.8631910065124775	0.7213452961938135	0.10274583101272583	0.14184571031866403	7.0	7.078051567077637e-08	2.288392611912319e-06
GSE131907	LAMA5	29	0.28694197946581346	0.20588927677479282	0.060757726430892944	0.08105270269102063	7.0	7.078051567077637e-08	2.288392611912319e-06
GSE131907	CD9	29	1.6015982771741932	1.320866012367709	0.20945096015930176	0.28073226480648433	8.0	9.313225746154785e-08	2.288392611912319e-06
GSE131907	LGALS3BP	29	1.265274064294223	1.0624160435179184	0.1687307357788086	0.20285802077630471	8.0	9.313225746154785e-08	2.288392611912319e-06
GSE131907	ST14	29	0.5581146612249571	0.41797942244287195	0.11454135179519653	0.14013523878208523	10.0	1.601874828338623e-07	3.4440308809280396e-06
GSE131907	CTSD	29	1.7973438768551266	1.6065892782704583	0.20458245277404785	0.1907545985846684	12.0	2.60770320892334e-07	4.983610577053494e-06
GSE131907	CDH1	29	0.6990274345052654	0.5504212888150379	0.12301144003868103	0.14860614569022737	15.0	5.103647708892822e-07	8.778274059295655e-06
GSE131907	HLA-E	29	0.9803422298924677	0.8205758682612715	0.12471306324005127	0.15976636163119612	19.0	1.1436641216278076e-06	1.788274808363481e-05
GSE131907	ICAM4	29	0.17380749272706453	0.10611442403651067	0.04760504513978958	0.06769306869055386	21.0	1.6652047634124756e-06	2.3867934942245483e-05
GSE131907	LAMB3	29	0.47075557092140463	0.3530456155923934	0.06812500953674316	0.11770995532901123	23.0	2.384185791015625e-06	2.929142543247768e-05
GSE131907	SECTM1	29	0.09093000111972978	0.05733927800159516	0.02749674580991268	0.033590723118134616	23.0	2.384185791015625e-06	2.929142543247768e-05
GSE131907	LAMC2	29	0.2000185676432889	0.13363976831194654	0.03670484572649002	0.06637879933134236	27.0	4.697591066360474e-06	5.3865710894266766e-05
GSE131907	PSEN1	29	0.16754614186055702	0.12338387606472805	0.04078366607427597	0.044162265795828964	28.0	5.5246055126190186e-06	5.938950926065445e-05
GSE131907	MPZL3	29	0.14660307264019704	0.10469720910849242	0.033925436437129974	0.041905863531704605	29.0	6.4782798290252686e-06	6.554494885837331e-05
GSE131907	MMP14	29	0.15463551146716908	0.10474082525691082	0.02062438428401947	0.049894686210258256	30.0	7.577240467071533e-06	7.240474224090576e-05
