accession	n_quant	median	mean	hits
P0CG40_SP9	129	12.0398091075958	11.825901326498531	
P55011_S12A2	119	11.3639650096402	11.686114766832747	
P35453_HXD13	110	11.789183569822551	12.173363250925354	
P50914_RL14	134	13.316960239361201	13.388182147325283	
O14654_IRS4	132	13.9163822010158	13.904679726807712	
P37108_SRP14	134	13.37669595809755	13.28261273150601	
Q96JP5_ZFP91	129	14.5258581879438	14.582829664131093	
Q9Y4H2_IRS2	94	13.158126204650301	13.316852510576712	
P36578_RL4	131	12.9036414473914	13.272810713814149	
Q92945_FUBP2	134	13.57977360345855	13.559024882573091	
Q8TEJ3_SH3R3	131	13.1885743040055	13.282136192189881	
Q8NCE2_MTMRE	134	14.266156771571	14.3753067524731	
Q6SPF0_SAMD1	134	12.58937766127625	12.562035133014692	
O76031_CLPX	134	13.943206161295251	14.043396848286518	
A6NIH7_U119B	127	11.5269578662869	11.568207097308534	
Q9BTD8_RBM42	134	13.140158936077349	13.11937913910007	
Q9P258_RCC2	134	14.539592189681	14.751037948187237	
Q9H3U1_UN45A	120	12.4330322597899	12.297058971163898	
O60518_RNBP6	134	13.0509993732505	13.074730443266327	
Q8NHG8_ZNRF2	119	10.0976845008825	10.408328699928482	
Q9Y2U8_MAN1	134	13.7911567432054	13.890883132349208	
Q13671_RIN1	134	13.6685477198534	13.728127554048298	
Q15596_NCOA2	132	13.44662209896425	13.507468008860938	
Q53GG5_PDLI3	114	12.78713808562205	13.003178462231498	
Q9UPT8_ZC3H4	128	13.967371304614101	13.976842260506883	
Q68DK7_MSL1	128	13.720412404430899	13.771388080950059	
Q96L91_EP400	130	11.9619420550015	12.00876022785586	
P55036_PSMD4	134	14.334286604909249	14.45045849826934	
A1X283_SPD2B	134	13.11809879050805	13.387121121478604	
P05154_IPSP	134	14.98596910451095	14.824964134263173	
O60346_PHLP1	125	12.3294182256512	12.420221605590008	
Q8WWH5_TRUB1	134	14.68571095429475	14.871836315765737	
Q96D53_ADCK4	79	11.1238671657409	11.5532255515288	
Q6P2E9_EDC4	45	13.4645321868606	13.354376938727253	
Q9UNF1_MAGD2	134	14.52778433527785	14.590266634874247	
Q9NZQ3_SPN90	134	14.12831365580595	14.277370525443311	
Q86UU1_PHLB1	64	12.0896254881971	11.847368448038905	
Q9NQP4_PFD4	134	13.477352642026151	13.493207593457962	
O95551_TYDP2	134	14.924398035422051	15.06230540208692	
O15357_SHIP2	120	13.1402352268288	13.091571315857033	
P21953_ODBB	128	13.4648738288504	13.458245503030627	
O15042_SR140	132	14.00716476428715	14.131048417459715	
A7E2V4_ZSWM8	41	11.9557394166653	11.785305729071052	
Q01780_EXOSX	127	13.4952365158504	13.555510984407395	
O15405_TOX3	124	12.68734870532015	12.518989816134955	
P02786_TFR1	134	11.9519070605475	11.958858935755943	
P07954_FUMH	113	14.035800956169	14.010882437347629	
