class	protein	n_R	n_NR	median_R	median_NR	p_val	foldchange
signature	O15020_SPTN2	30	18	13.4882683	12.565897825	0.0012434134739765	1.11153931861111
signature	Q92696_PGTA	30	18	12.930972735000001	12.11510106	0.00103877111315452	1.02765094944444
signature	Q4L180_FIL1L	30	18	13.83586219	15.31038708	0.00108646444949354	-1.29264141
signature	Q7Z3C6_ATG9A	30	18	13.81748837	14.639136425	0.00306767683429797	-0.836679581666667
junction_or_epithelial	P16422_EPCAM	30	18	14.791301555	15.42358317	0.352379876501279	-0.401889587888888
signature	Q9NQ48_LZTL1	30	18	12.194665409999999	13.510201365	0.00500544959899907	-1.29410988684444
junction_or_epithelial	P43121_MUC18	30	18	12.863787575	12.23234729	0.0956424515617731	0.65532329878889
signature	Q9UPZ3_HPS5	30	18	11.779938195	12.49099507	0.00867981627631891	-0.851058282633334
junction_or_epithelial	P15941_MUC1	30	18	11.948889350000002	12.072279	0.252136581588374	-0.524649711755556
junction_or_epithelial	Q9H3R2_MUC13	30	18	12.87053373	13.23715058	0.306511635941428	-0.323124134744445
junction_or_epithelial	Q9UKN1_MUC12	30	18	13.801207565	13.39404577	0.868768726929555	0.0591147695555545
junction_or_epithelial	O00501_CLD5	30	18	13.638131175000002	13.173013405	0.299698063038723	0.513492999222223
signature	Q9UHG0_DCDC2	30	18	11.313496775	12.615062025	0.00254153978408669	-1.26296021851111
junction_or_epithelial	Q16625_OCLN	30	18	12.075842734999998	12.060334725	0.748624267924517	0.142669825422223
junction_or_epithelial	Q9NY35_CLDN1	30	18	11.645463745	12.564700465	0.526960434691425	-0.304266889622223
junction_or_epithelial	Q8WXI7_MUC16	30	18	12.35302992	12.539736675	0.628066507935331	-0.25366821061111
junction_or_epithelial	P56856_CLD18	30	18	12.18937285	12.2792672	0.347031556598915	-0.441197830244445
