gene	n_samples	n_detected	detect_frac	median	mean	max	P2530	SR12-1	SR12-103	SR12-138	SR12-189	SR12-190	SR12-4	SR12-66	SR12-81	SR12-82	SR12-92	SR12-94	SR12-96	SR13-001	SR-13-82	SR15-088	SR15-273	SR15-546	SR15-731	V570	V576	V622	V626	V631	V634	V97
CDH1	26	26	1.0000	15.0	14.0769	22.0	11.0	19.0	15.0	6.0	22.0	16.0	18.0	7.0	12.0	16.0	19.0	6.0	4.0	21.0	10.0	21.0	15.0	10.0	18.0	22.0	15.0	13.0	9.0	7.0	18.0	16.0
CLDN1	26	3	0.1154	0.0	0.2308	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
CLDN11	26	1	0.0385	0.0	0.0769	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLDN3	26	4	0.1538	0.0	0.2692	3.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
EPCAM	26	13	0.5000	0.5	1.4615	11.0	0.0	11.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	6.0	2.0	0.0	6.0	0.0	2.0	0.0	0.0	2.0	2.0
IDO1	26	9	0.3462	0.0	2.4231	29.0	1.0	0.0	5.0	16.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
MUC1	26	17	0.6538	2.0	6.7692	39.0	7.0	15.0	23.0	1.0	16.0	6.0	1.0	14.0	12.0	17.0	11.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	39.0	4.0	0.0	0.0	0.0
OCLN	26	11	0.4231	0.0	1.3462	10.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	10.0	1.0	0.0	1.0	3.0
TACSTD2	26	24	0.9231	10.0	11.2692	29.0	29.0	11.0	8.0	19.0	10.0	12.0	24.0	3.0	2.0	11.0	9.0	2.0	0.0	10.0	4.0	19.0	22.0	10.0	21.0	27.0	0.0	8.0	5.0	9.0	10.0	8.0
TJP1	26	26	1.0000	9.0	11.4615	36.0	4.0	11.0	16.0	15.0	19.0	15.0	6.0	21.0	12.0	36.0	19.0	7.0	3.0	11.0	8.0	7.0	8.0	7.0	9.0	4.0	6.0	20.0	7.0	9.0	13.0	5.0
