accession	description	hits
P13864	DNA (cytosine-5)-methyltransferase 1 OS=Mus musculus OX=10090 GN=Dnmt1 PE=1 SV=5	
Q1HFZ0	RNA cytosine C(5)-methyltransferase NSUN2 OS=Mus musculus OX=10090 GN=Nsun2 PE=1 SV=2	
Q9CZN7	Serine hydroxymethyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Shmt2 PE=1 SV=1	
Q9DBC3	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS=Mus musculus OX=10090 GN=Cmtr1 PE=1 SV=1	
Q9DBE9	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 OS=Mus musculus OX=10090 GN=Ftsj3 PE=1 SV=1	
Q9JIF0	Protein arginine N-methyltransferase 1 OS=Mus musculus OX=10090 GN=Prmt1 PE=1 SV=1	
Q8CIG8	Protein arginine N-methyltransferase 5 OS=Mus musculus OX=10090 GN=Prmt5 PE=1 SV=3	
P50431	Serine hydroxymethyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Shmt1 PE=1 SV=3	
P35550	rRNA 2'-O-methyltransferase fibrillarin OS=Mus musculus OX=10090 GN=Fbl PE=1 SV=2	
Q9D0L8	mRNA cap guanine-N7 methyltransferase OS=Mus musculus OX=10090 GN=Rnmt PE=1 SV=1	
Q922H1	Protein arginine N-methyltransferase 3 OS=Mus musculus OX=10090 GN=Prmt3 PE=1 SV=3	
Q922K7	Probable 28S rRNA (cytosine-C(5))-methyltransferase OS=Mus musculus OX=10090 GN=Nop2 PE=1 SV=1	
Q91YR5	eEF1A lysine and N-terminal methyltransferase OS=Mus musculus OX=10090 GN=Mettl13 PE=1 SV=1	
Q8C3P7	N6-adenosine-methyltransferase subunit METTL3 OS=Mus musculus OX=10090 GN=Mettl3 PE=1 SV=2	
Q3UFY8	tRNA methyltransferase 10 homolog C OS=Mus musculus OX=10090 GN=Trmt10c PE=1 SV=2	
Q91WU5	Arsenite methyltransferase OS=Mus musculus OX=10090 GN=As3mt PE=1 SV=2	
Q9CQG2	RNA N6-adenosine-methyltransferase METTL16 OS=Mus musculus OX=10090 GN=Mettl16 PE=1 SV=1	
Q8CE96	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 OS=Mus musculus OX=10090 GN=Trmt6 PE=1 SV=1	
Q9D0C4	tRNA (guanine(37)-N1)-methyltransferase OS=Mus musculus OX=10090 GN=Trmt5 PE=1 SV=1	
Q8BNV1	tRNA (uracil-5-)-methyltransferase homolog A OS=Mus musculus OX=10090 GN=Trmt2a PE=1 SV=2	
P59114	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase OS=Mus musculus OX=10090 GN=Pcif1 PE=1 SV=1	
Q9WVG6	Histone-arginine methyltransferase CARM1 OS=Mus musculus OX=10090 GN=Carm1 PE=1 SV=2	
Q8K4F6	28S rRNA (cytosine-C(5))-methyltransferase OS=Mus musculus OX=10090 GN=Nsun5 PE=1 SV=2	
Q9CWG8	Protein arginine methyltransferase NDUFAF7, mitochondrial OS=Mus musculus OX=10090 GN=Ndufaf7 PE=1 SV=4	
O88587	Catechol O-methyltransferase OS=Mus musculus OX=10090 GN=Comt PE=1 SV=2	
P23506	Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Mus musculus OX=10090 GN=Pcmt1 PE=1 SV=3	
O35969	Guanidinoacetate N-methyltransferase OS=Mus musculus OX=10090 GN=Gamt PE=1 SV=1	
Q91X20	Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Mus musculus OX=10090 GN=Ash2l PE=1 SV=1	
P97770	tRNA (guanine(6)-N2)-methyltransferase THUMP3 OS=Mus musculus OX=10090 GN=Thumpd3 PE=1 SV=1	
Q3TX08	tRNA (guanine(26)-N(2))-dimethyltransferase OS=Mus musculus OX=10090 GN=Trmt1 PE=1 SV=2	
Q9EP82	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 OS=Mus musculus OX=10090 GN=Wdr4 PE=1 SV=2	
O35130	Ribosomal RNA small subunit methyltransferase NEP1 OS=Mus musculus OX=10090 GN=Emg1 PE=1 SV=1	
Q91WC0	Actin-histidine N-methyltransferase OS=Mus musculus OX=10090 GN=Setd3 PE=1 SV=1	
Q8BIG7	Catechol O-methyltransferase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Comtd1 PE=1 SV=1	
Q3TYX3	Histone-lysine N-trimethyltransferase SMYD5 OS=Mus musculus OX=10090 GN=Smyd5 PE=1 SV=2	
Q8R2U4	N-terminal Xaa-Pro-Lys N-methyltransferase 1 OS=Mus musculus OX=10090 GN=Ntmt1 PE=1 SV=3	
Q9Z120	tRNA (guanine-N(7)-)-methyltransferase OS=Mus musculus OX=10090 GN=Mettl1 PE=1 SV=1	
Q9Z148	Histone-lysine N-methyltransferase EHMT2 OS=Mus musculus OX=10090 GN=Ehmt2 PE=1 SV=2	
Q9JI44	DNA methyltransferase 1-associated protein 1 OS=Mus musculus OX=10090 GN=Dmap1 PE=1 SV=1	
Q5DW34	Histone-lysine N-methyltransferase EHMT1 OS=Mus musculus OX=10090 GN=Ehmt1 PE=1 SV=2	
Q80XC2	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A OS=Mus musculus OX=10090 GN=Trmt61a PE=1 SV=1	
P0DPE0	EEF1A lysine methyltransferase 4 OS=Mus musculus OX=10090 GN=Eef1akmt4 PE=2 SV=1	
O88508	DNA (cytosine-5)-methyltransferase 3A OS=Mus musculus OX=10090 GN=Dnmt3a PE=1 SV=2	
Q3U3W5	Protein arginine N-methyltransferase 9 OS=Mus musculus OX=10090 GN=Prmt9 PE=2 SV=2	
Q6PDK2	Histone-lysine N-methyltransferase 2D OS=Mus musculus OX=10090 GN=Kmt2d PE=1 SV=2	
Q922X9	Protein arginine N-methyltransferase 7 OS=Mus musculus OX=10090 GN=Prmt7 PE=1 SV=1	
Q9CWR2	Histone-lysine N-methyltransferase SMYD3 OS=Mus musculus OX=10090 GN=Smyd3 PE=2 SV=1	
Q8C1Z8	tRNA methyltransferase 10 homolog A OS=Mus musculus OX=10090 GN=Trmt10a PE=2 SV=2	
O55060	Thiopurine S-methyltransferase OS=Mus musculus OX=10090 GN=Tpmt PE=1 SV=1	
Q9DCS2	Methyltransferase-like 26 OS=Mus musculus OX=10090 GN=Mettl26 PE=1 SV=1	
Q8BKW4	rRNA N6-adenosine-methyltransferase ZCCHC4 OS=Mus musculus OX=10090 GN=Zcchc4 PE=2 SV=1	
Q80UY1	Carnosine N-methyltransferase OS=Mus musculus OX=10090 GN=Carnmt1 PE=1 SV=1	
