protein	n_R	n_NR	median_R	median_NR	p_val	foldchange	hits
P0CG40_SP9	30	18	12.549135345	12.241267839999999	0.882330348097992	0.0820498178999998	
P55011_S12A2	30	18	11.36859417	12.10596928	0.0382065222566243	-0.963666513288889	
P35453_HXD13	30	18	11.706646155	12.484563885	0.0978994198432419	-0.821990946488889	
P50914_RL14	30	18	13.247744245	13.272245569999999	0.821969114704308	0.0793125126666663	
O14654_IRS4	30	18	13.928411409999999	13.89695428	0.5909722991022	0.147656754222222	
P37108_SRP14	30	18	13.31489372	13.484549065	0.446777431311441	-0.395894161355555	
Q96JP5_ZFP91	30	18	14.69964023	14.89486329	0.299431706958426	-0.433868980888889	
P36578_RL4	30	18	13.023855465	13.13869425	0.607868070421595	-0.248092449666666	
Q92945_FUBP2	30	18	13.73003494	13.87078861	0.626220811731698	0.161839811111111	
Q8TEJ3_SH3R3	30	18	13.14572145	13.16180492	0.794598707619534	-0.134258898333334	
Q8NCE2_MTMRE	30	18	14.559275329999998	14.236582705	0.131139984417059	0.613405570555557	
Q6SPF0_SAMD1	30	18	12.168987510000001	12.79748193	0.00783976151384668	-1.05842727296667	
O76031_CLPX	30	18	13.79982926	13.829732575	0.115536038125502	0.735690465000001	
A6NIH7_U119B	30	18	11.88089447	11.48216551	0.455467666175449	0.387220373533333	
Q9BTD8_RBM42	30	18	13.21544913	13.659757214999999	0.0769234263873545	-0.796255370733332	
Q9P258_RCC2	30	18	14.469595085000002	14.31540289	0.922702629714343	0.0353670343333334	
Q9H3U1_UN45A	30	18	12.303649570000001	12.591524785	0.986867062925048	0.00631185613333329	
O60518_RNBP6	30	18	13.199741849999999	12.748087155	0.429245423885824	0.214618174	
Q8NHG8_ZNRF2	30	18	10.227118775	10.736695735000001	0.842217709812592	0.106892296266667	
Q9Y2U8_MAN1	30	18	14.03688955	13.35068648	0.275410994577705	0.369524044333332	
Q13671_RIN1	30	18	13.604666680000001	13.632587555	0.995188930527778	0.00326778163333152	
Q15596_NCOA2	30	18	13.456483185	13.669407485	0.388535210421348	-0.295301741777777	
Q53GG5_PDLI3	30	18	12.781753375	12.85368495	0.733012432988669	-0.143652968	
Q9UPT8_ZC3H4	30	18	13.99008422	14.085481080000001	0.183541399995247	-0.508459293	
Q68DK7_MSL1	30	18	14.033972675	13.62823124	0.463074016150985	0.261137925666667	
Q96L91_EP400	30	18	12.598699135	12.21523432	0.144263679138438	0.6351865017	
