gene	distance	Z	FC	p.value	p.adj	dataset	obs_logFC_high_minus_low	obs_p	in_IFN	in_MHC	in_TJ	in_family
CD74	0.0001365288002486	3.54241595402039	28.8985537180747	7.62698403588956e-08	2.84105155336886e-05	GSE123902	-1.1990826275328614	0.15485516085877674	True	False	False	True
MT-ND4	5.05072875112722e-05	4.07277349040198	84.2775637397164	4.29966966068378e-20	1.61237612275642e-17	GSE131907	0.6779626180918927	0.1225675974719138	False	False	False	False
MT-CYB	2.33471378101336e-05	3.5553332520906	18.0082360842198	2.19951294313718e-05	0.0046478232606627	GSE131907	0.808586296234752	0.05074853431733253	False	False	False	False
MT-CO1	2.31991777411487e-05	3.55120472892091	17.780708677741	2.47883907235346e-05	0.0046478232606627	GSE131907	0.6187621772429645	0.17435232285986912	False	False	False	False
MT-ND4	5.32217747394899e-05	3.84711735852861	41.7067872967476	1.06040227261935e-10	3.97650852232256e-08	GSE205335	0.6779626180918927	0.1225675974719138	False	False	False	False
MT-ND1	4.53291815886212e-05	3.74200894688445	30.2540686593053	3.78995386177982e-08	9.47488465444955e-06	GSE205335	0.9474813195106101	0.04120347731521715	False	False	False	False
SFTPB	8.14311543271947e-05	4.34014051564677	94.0756568320146	3.0369130897632003e-22	1.0978440819494e-19	GSE189357	2.617214608552378	0.06467793845692427	False	False	False	False
SFTPC	3.65906681571598e-05	3.7197458515382	18.9948888547137	1.31069074882048e-05	0.0031587647046573	GSE189357	1.9298209389517074	0.08735337152083482	False	False	False	False
