gene	weight
ACTB	0.011
ACTG1	0.021
ACTN1	0.065
ACTN4	0.035
ACTR2	-0.004
ACTR3	-0.019
ADAR	0.005
ADGRF5	0.078
ADIRF	0.056
AES	0.006
AFDN	0.116
AGR3	0.046
AHNAK	0.036
AKAP13	-0.022
AMOTL1	0.014
AMOTL2	0.036
ANAPC16	-0.001
ANXA1	-0.14
ANXA2	0.089
ANXA5	-0.004
APC	0.033
APLP2	0.158
APOC1	-0.002
APOL6	0.019
APRT	-0.002
AREG	-0.046
ARF1	-0.008
ARF4	0.0
ARGLU1	0.026
ARHGAP17	0.003
ARHGDIB	-0.148
ARHGEF2	0.034
ARID5B	-0.014
ARL2	0.0
ARL4A	-0.025
ARPC1A	0.018
ARPC1B	-0.001
ARPC2	-0.033
ARPC3	-0.065
ARPC4	0.0
ARPC5	0.003
ARPC5L	0.006
ASAH1	0.026
ATF3	0.012
ATP1A1	0.105
ATP1B1	0.078
ATP1B3	-0.126
ATP5F1D	-0.006
ATP5IF1	0.007
ATP5MC3	0.0
ATP5MD	-0.002
ATP5ME	0.003
ATP5MF	0.004
ATP5MPL	0.003
ATP5PF	-0.001
ATP6V0B	-0.007
ATP6V0E1	0.0
ATP6V1G1	-0.011
AUTS2	0.01
B2M	-0.156
BANK1	0.0
BCAM	0.058
BLOC1S1	-0.002
BPGM	0.0
BRD2	0.011
BRI3	0.032
BST2	-0.037
BTG1	-0.124
BTG2	0.005
C12ORF57	-0.022
C16ORF89	0.095
C1R	0.0
C1S	0.0
C4ORF3	0.009
CALR	0.001
CANX	0.017
CAPG	-0.085
CAPN2	0.119
CASP1	0.0
CASP3	0.0
CASP4	0.01
CASP7	0.005
CASP8	-0.002
CAST	0.035
CAV1	0.155
CCL2	0.0
CCL5	-0.015
CCND1	0.059
CCNI	-0.062
CCNL1	-0.011
CCRL2	0.0
CD151	0.134
CD38	0.002
CD40	0.0
CD44	-0.173
CD46	0.063
CD47	0.101
CD55	0.138
CD59	0.044
CD69	-0.156
CD74	0.003
CD81	0.009
CD83	-0.123
CD9	0.042
CDC42	-0.029
CDH1	0.095
CDK4	0.0
CDKN1A	-0.03
CEACAM6	0.119
CEBPB	0.005
CEBPD	0.015
CFH	0.003
CFLAR	0.064
CFTR	0.002
CGN	0.069
CGNL1	0.042
CIB1	-0.003
CIITA	0.0
CIRBP	-0.027
CITED2	0.013
CLDN1	0.002
CLDN12	0.017
CLDN18	0.137
CLDN23	0.0
CLDN3	0.029
CLDN4	0.0
CLDN5	0.001
CLDN7	0.079
CLU	-0.018
CMTR1	0.0
CNP	0.0
COMMD6	-0.035
COX5B	-0.002
COX6A1	-0.003
COX6B1	-0.001
COX6C	0.027
COX7A2	-0.001
COX7B	-0.004
COX8A	-0.011
CPA3	-0.197
CPM	0.051
CRB3	0.025
CRIP1	-0.002
CSF1	-0.067
CST3	0.0
CSTB	0.034
CTGF	0.032
CTSD	0.0
CTSH	0.087
CTTN	0.068
CUTA	-0.002
CXCL17	0.085
CXCL2	0.054
CXCL8	0.0
CYB5A	0.137
CYBA	-0.066
CYCS	-0.099
CYP4B1	0.151
CYR61	0.06
CYSTM1	0.036
DAD1	-0.015
DBI	-0.014
DCXR	0.0
DDT	0.002
DDX17	0.097
DDX3X	-0.116
DDX58	0.004
DDX60	0.007
DHCR24	0.149
DLG1	0.038
DLG2	0.0
DLG3	0.001
DNAJA1	-0.145
DNAJB1	-0.022
DNAJB6	-0.115
DSTN	0.131
DUSP1	-0.006
DUSP6	-0.054
DYNLL1	-0.037
DYNLRB1	0.009
DYNLT1	0.029
EEF2	-0.002
EGR1	0.008
EID1	0.008
EIF1AX	-0.019
EIF2AK2	0.013
EIF3E	-0.06
EIF4A2	0.012
EIF4A3	-0.058
EIF4E3	0.003
EIF4G2	0.037
EIF5	-0.069
ELF1	-0.173
ELF3	0.059
ELOB	0.008
EMP2	0.168
EMP3	-0.168
ENO1	0.016
EPB41L4B	0.002
EPCAM	0.128
EPHA2	0.003
EPSTI1	0.0
ERAP1	0.01
ERAP2	0.0
ERBB2	0.056
ERH	-0.006
ERP29	0.0
ERRFI1	0.05
ESAM	0.0
EXT1	0.036
EZR	0.012
F11R	0.099
FABP5	0.012
FAM107B	-0.047
FAM177A1	0.014
FAS	0.032
FIS1	-0.001
FKBP2	0.009
FLNA	0.044
FOLR1	0.137
FOS	-0.021
FOSB	-0.092
