gene	k_cohorts	meta_Z	meta_p	k_edge	mean_edge	in_IFN	in_MHC	in_TJ	in_family	obs_logFC_high_minus_low	obs_p
ACTB	4	2.5503609854916474	0.010761143060150693	4	-0.09875	False	False	True	True	-0.4683221023102246	0.338658820964035
ACTG1	4	2.4106304094750186	0.01592497696557046	4	-0.001749999999999999	False	False	True	True	-0.2980866271367015	0.5114362765612056
ACTN1	4	-0.23708487581911697	0.8125909452687934	4	-0.004750000000000001	False	False	True	True	-0.32239083121681017	0.5868758065598115
ACTN4	4	0.33742907844688136	0.7357934672333808	4	0.024999999999999998	False	False	True	True	-0.4254138045296053	0.4006988595234452
ACTR2	4	-0.41319127682313905	0.6794664787216708	4	-0.0085	False	False	True	True	-0.23973395118358523	0.5440998694934501
ACTR3	4	0.7740069001489205	0.43892671079179424	4	-0.022750000000000003	False	False	True	True	-0.4249970006109079	0.34119657485909555
ACTR3B	3	-1.814436743174414	0.06961051322540739	3	-0.0030000000000000005	False	False	True	True	0.15767989911810162	0.6504580305995369
ACTR3C	3	-2.336897097709215	0.019444535300048763	3	0.004333333333333334	False	False	True	True	0.11331276923735838	0.7552745308321126
ADAR	4	-1.2997574543756638	0.1936841116818202	4	0.0045	True	False	False	True	-0.0792090226470038	0.8216667168381427
ADIRF	3	1.5942889567280003	0.11087132998230854	3	-0.059	False	False	False	False	-0.12948198525193944	0.8790059456562981
AFDN	3	-0.37965478013732484	0.704201691338354	3	0.041666666666666664	False	False	True	True	0.511784671239197	0.28075294245162324
AGR2	3	0.5458982493724222	0.5851358818030236	3	0.06233333333333333	False	False	False	False	0.5497912965978916	0.5940834892162856
AGR3	3	1.7168551659097846	0.086005638425194	3	0.07033333333333332	False	False	False	False	1.7840284834215654	0.11130614885706565
AHNAK	2	0.7960570699250641	0.42599886509406515	2	0.05349999999999999	False	False	False	False	-1.6154445283438446	0.012147983835443736
AK1	2	1.5023974750018574	0.13299448807646438	2	0.061	False	False	False	False	1.1412735237028584	0.012956836901389629
AMOT	2	-1.4905228166388371	0.13608682170404512	2	-0.0035	False	False	True	True	1.154817732333731	0.023506145803391155
AMOTL1	4	-0.4900439554876964	0.624102795179154	4	0.0010000000000000005	False	False	True	True	0.734940560758006	0.17372013653520219
AMOTL2	4	-1.0406649888907873	0.2980310576381373	4	0.01625	False	False	True	True	-0.4368685507628223	0.39450026019881806
ANXA1	4	0.47572200878628046	0.6342724391488374	4	-0.052250000000000005	False	False	False	False	-0.862016274509385	0.16288531902466907
ANXA2	3	1.6195982814691754	0.1053185990130517	3	-0.010999999999999996	False	False	False	False	-0.4949708356746322	0.3157787021004454
ANXA5	3	0.3991762362214238	0.6897633518876176	3	-0.04666666666666667	False	False	False	False	-0.8043116694847252	0.12308732592868192
APC	4	-1.578977831882332	0.11434114187648481	4	0.00475	False	False	True	True	0.05758629128434673	0.881118749331616
APLP2	4	1.678555984880862	0.09323861083054232	4	0.06425	False	False	False	False	0.29305629245547454	0.5602488382742532
APOC1	2	-0.43769381935657153	0.6616082504798744	2	-0.0115	False	False	False	False	-1.0423204635200976	0.120305024179012
APOL6	4	-1.4193892973341158	0.15578555095962823	4	0.009000000000000001	True	False	False	True	-0.08757815499242923	0.8667547279569936
APP	3	-1.1552854661620107	0.2479735456470581	3	0.0026666666666666674	False	False	False	False	0.7429334503240306	0.14873273461038358
APRT	3	0.1746354918814625	0.8613660586196942	3	-0.018666666666666668	False	False	False	False	-0.0879228331869851	0.7950390351669816
AQP3	3	1.1771437952314447	0.23913811741590862	3	0.06966666666666667	False	False	False	False	0.8082635258775088	0.35992186750881544
AREG	3	-0.06755961948895645	0.946136200898692	3	-0.019666666666666666	False	False	False	False	-1.5054357856099665	0.11937565414576608
ARF4	2	-2.414848362856674	0.015741761685120027	2	0.0	False	False	False	False	-0.2835738607410649	0.41180412330601074
ARHGAP17	4	-1.919992440013638	0.05485885434009036	4	-0.001	False	False	True	True	0.04378602962329578	0.913916059485073
ARHGDIB	4	2.518778553730335	0.011776269423848072	4	-0.0615	False	False	False	False	-0.2815786497355593	0.7050492773356156
ARHGEF2	4	-0.9843604623088698	0.32493831083828373	4	0.007250000000000001	False	False	True	True	0.5675078697587599	0.17416558392942372
ARID5B	4	-1.1640967406716891	0.24438480936096196	4	-0.0025000000000000005	True	False	False	True	-0.5048552442517622	0.19397187129544133
ARL2	4	0.4465332026350905	0.6552121343007893	4	-0.031000000000000003	False	False	True	True	-0.533278647899288	0.16611457849804645
ARL4A	4	-1.9600445973937197	0.049990577896648576	4	-0.012	True	False	False	True	0.17870297015858072	0.7170899084913318
ARL6IP1	3	0.20507601683299923	0.8375127339979304	3	0.037333333333333336	False	False	False	False	0.6196219834341885	0.19169473566411918
ARPC1A	4	1.1732388122757973	0.2407000517451593	4	-0.0255	False	False	True	True	-0.013109325458464195	0.9715157217001543
ARPC1B	4	1.0714897756987918	0.28394926550153277	4	-0.045750000000000006	False	False	True	True	-0.7455523472076178	0.14911218678269902
ARPC2	4	1.9654869610084271	0.04935790334776271	4	-0.05475	False	False	True	True	-0.5709826329738034	0.09164063463689408
ARPC3	4	2.4619786993860098	0.013817287249490448	4	0.005249999999999998	False	False	True	True	-0.2708719202835024	0.4455069425268248
ARPC4	4	0.15448631079465602	0.8772263040505419	4	-0.005999999999999999	False	False	True	True	-0.2802114428792966	0.4874497284551254
ARPC5	4	0.9340703921224319	0.3502675835046025	4	-0.03375	False	False	True	True	-0.17348943740312253	0.6918967369882812
ARPC5L	4	-0.9132798912328934	0.3610953554892873	4	0.0027500000000000003	False	False	True	True	0.06167900564371033	0.8626097109804934
ASAH1	3	0.5912217176941921	0.5543718730443599	3	0.050333333333333334	False	False	False	False	0.08309453470274498	0.8480641907198869
