n_family	n_background	rank_biserial	p	median_family	median_background	dataset	family	test
182	399	-0.5925803519788482	1.9870417096077422e-30	-0.7213802381018415	0.480923755732879	GSE123902	IFN	wilcoxon_Z_family_vs_nonfamily
20	399	-0.24335839598997488	0.06630302671888803	0.07320482112924595	0.480923755732879	GSE123902	MHC-I/APM	wilcoxon_Z_family_vs_nonfamily
155	399	-0.5162098795375536	3.800279217038841e-21	-0.471512806588395	0.480923755732879	GSE123902	TJ	wilcoxon_Z_family_vs_nonfamily
189	396	-0.5698786809897921	6.783042845419661e-29	-0.720435653004058	0.5080527134979655	GSE131907	IFN	wilcoxon_Z_family_vs_nonfamily
21	396	-0.10846560846560849	0.4025767741771653	0.27769531123972	0.5080527134979655	GSE131907	MHC-I/APM	wilcoxon_Z_family_vs_nonfamily
156	396	-0.47775835275835277	2.2136262262334404e-18	-0.512998508165402	0.5080527134979655	GSE131907	TJ	wilcoxon_Z_family_vs_nonfamily
198	380	-0.44000531632110584	3.70781221828072e-18	-0.359000809334946	0.416018936675499	GSE205335	IFN	wilcoxon_Z_family_vs_nonfamily
21	380	0.057644110275689275	0.65713432336133	0.578057272029357	0.416018936675499	GSE205335	MHC-I/APM	wilcoxon_Z_family_vs_nonfamily
163	380	-0.3827897965773329	1.5011083248117686e-12	-0.49203369974556	0.416018936675499	GSE205335	TJ	wilcoxon_Z_family_vs_nonfamily
168	399	-0.513515932688865	4.370700819014827e-22	-0.5435800202896125	0.273784113047542	GSE189357	IFN	wilcoxon_Z_family_vs_nonfamily
19	399	-0.29270544783010155	0.031121222479240453	-0.16845832787205	0.273784113047542	GSE189357	MHC-I/APM	wilcoxon_Z_family_vs_nonfamily
147	399	-0.41046493785484117	1.8176752888032309e-13	-0.247025557913691	0.273784113047542	GSE189357	TJ	wilcoxon_Z_family_vs_nonfamily
