gKO	n_genes	n_cells	nc_nNet	nc_nCells	nc_nComp	nc_q	td_K	ma_nDim	qc	n_fdr05	n_fdr05_excluding_ko	elapsed_sec	scTenifoldKnk	scTenifoldNet	dataset
CLDN4	745	1222	10	500	3	0.9	3	2	False	2	1	1972.696	1.1	1.4	GSE123902
CLDN4	750	2062	10	500	3	0.9	3	2	False	4	3	2817.001	1.1	1.4	GSE131907
CLDN4	750	2100	10	500	3	0.9	3	2	False	3	2	2437.054	1.1	1.4	GSE205335
CLDN4	723	900	10	500	3	0.9	3	2	False	3	2	2234.652	1.1	1.4	GSE189357
RPL17	750	2062	10	500	3	0.9	3	2	False	4	3	3496.844	1.1	1.4	GSE131907
