family	n_q1	n_q4	n_genes_in_set	n_genes_present	logFC_high_minus_low	p	df	rank
IFN	18	16	224	222	-0.5998483584485667	0.05711627352017609	29	5
MHC-I/APM	18	16	21	21	-0.7934581527816089	0.053803698165575516	29	5
TJ	18	16	214	211	0.0181051414265398	0.9440383865395822	29	5
