gene	k_cohorts	meta_Z	meta_p	k_edge	mean_edge	in_IFN	in_MHC	in_TJ	in_family	obs_logFC_high_minus_low	obs_p
MT-ND4	2	5.600208525536103	2.1409410880806535e-08	2	0.004499999999999997	False	False	False	False	0.6779626180918927	0.1225675974719138
MT-ND1	3	5.12830792865943	2.923579667692505e-07	3	0.06366666666666666	False	False	False	False	0.9474813195106101	0.04120347731521715
MT-ND2	2	4.719342844327543	2.366077564127302e-06	2	0.014000000000000005	False	False	False	False	0.7663388252837908	0.07309869520154351
MT-CYB	2	4.590331236800606	4.425431497600597e-06	2	0.013499999999999998	False	False	False	False	0.808586296234752	0.05074853431733253
MT-CO1	2	4.552201960200199	5.3087336525663205e-06	2	0.0225	False	False	False	False	0.6187621772429645	0.17435232285986912
MT-CO3	2	4.3336067177033915	1.4668612333150999e-05	2	0.0	False	False	False	False	0.806710203543042	0.04509616054747859
SFTPB	3	4.249129896462544	2.1460245576751708e-05	3	0.09866666666666668	False	False	False	False	2.617214608552378	0.06467793845692427
MT-ATP6	2	4.2090120905723625	2.5648966526762734e-05	2	0.005999999999999998	False	False	False	False	0.8601549002237014	0.06418371779983001
MT-ND3	2	3.9377177810885864	8.226026238823254e-05	2	0.019000000000000003	False	False	False	False	0.23439144815837548	0.6239171359878558
MT-ND5	4	3.698076016259202	0.00021723983837379366	4	0.052500000000000005	False	False	False	False	0.4748261786613568	0.2774564152389934
MT-CO2	2	3.6952354394405287	0.00021968312359542941	2	0.028000000000000004	False	False	False	False	0.580174572569767	0.1367989343043026
B2M	4	3.127420050395115	0.0017634777531381864	4	-0.0565	True	True	False	True	-0.8591721322412396	0.034457762370076125
VIM	4	2.917368552204651	0.0035299840026410297	4	-0.17775	False	False	True	True	-2.3785981351340837	0.006851935523107156
SFTA2	4	2.866064964753235	0.004156089475666065	4	0.11024999999999999	False	False	False	False	1.7890501491162298	0.17084291474634794
HLA-B	4	2.78688707769431	0.005321701966489892	4	-0.04925	True	True	False	True	-1.440833221938302	0.016463487239968433
MUC1	4	2.72371103861446	0.006455295858539599	4	0.0955	False	False	False	False	0.24116432268607485	0.7523214312289022
HLA-C	4	2.622404698372455	0.00873116831698466	4	-0.027499999999999997	True	True	False	True	-1.018816056323523	0.055209406557254995
NEAT1	4	2.6099817705822868	0.009054704762770436	4	0.07975000000000002	False	False	False	False	-0.20051275725679615	0.6782945482584861
CD74	4	2.6035012609953325	0.009227692818339975	4	-0.041249999999999995	True	False	False	True	-1.1990826275328614	0.15485516085877674
ACTB	4	2.5503609854916474	0.010761143060150693	4	-0.09875	False	False	True	True	-0.4683221023102246	0.338658820964035
SLC34A2	3	2.5286596827658063	0.011449898853357857	3	0.11266666666666668	False	False	False	False	1.1683390640662694	0.2601336172204374
ARHGDIB	4	2.518778553730335	0.011776269423848072	4	-0.0615	False	False	False	False	-0.2815786497355593	0.7050492773356156
C16ORF89	3	2.4908653053343746	0.012743241980595095	3	0.055333333333333325	False	False	False	False	1.9262007470118367	0.0384953253964622
ARPC3	4	2.4619786993860098	0.013817287249490448	4	0.005249999999999998	False	False	True	True	-0.2708719202835024	0.4455069425268248
ACTG1	4	2.4106304094750186	0.01592497696557046	4	-0.001749999999999999	False	False	True	True	-0.2980866271367015	0.5114362765612056
SFTA3	3	2.389374125079046	0.016877106110507988	3	0.134	False	False	False	False	3.0375587963873	0.001836795787285865
MGST1	4	2.382261577963021	0.01720667019662823	4	0.07775	False	False	False	False	-0.1827009026118325	0.8046881376150808
NPC2	4	2.377973290563691	0.01740808680589188	4	0.0335	False	False	False	False	0.8770054054593764	0.14333207716977603
MALAT1	2	2.373207720720075	0.017634343532824052	2	0.041499999999999995	False	False	False	False	0.6575506114629381	0.05869413072670899
SRGN	2	2.3412594003467544	0.019218808822510054	2	-0.1545	False	False	False	False	-3.2614356003551226	1.3863987624197242e-05
CXCL17	3	2.3317945355608485	0.019711502646437236	3	0.14866666666666667	False	False	False	False	2.50460885804689	0.034882704264940625
TUBA1B	4	2.2936977425883827	0.021807866513561317	4	-0.05875	False	False	True	True	-0.1645203023885667	0.7386282475509024
CTSH	3	2.2752455051602962	0.022891206479494705	3	0.07533333333333334	False	False	False	False	0.6001002045180026	0.33361068347478284
H2AFZ	4	2.262463160213543	0.02366880246396769	4	-0.0675	False	False	False	False	-0.12029687346464539	0.7805498875261428
SNRPB	3	2.2596181885863147	0.023844957755140287	3	-0.03	False	False	False	False	0.10943724158865843	0.8071256773601881
ELF3	4	2.2147226000232734	0.026779110649192715	4	0.11524999999999999	False	False	False	False	1.1900264908016949	0.11624559974475487
HLA-A	4	2.1883711444725207	0.028642578408445623	4	-0.007000000000000001	True	True	False	True	-0.796654234194001	0.18396639335191106
TUBB	3	2.1435447918934205	0.03206937842968031	3	-0.123	False	False	False	False	-0.333951765115731	0.5086166932198105
BST2	4	2.0931427194339842	0.03633641622638228	4	-0.04975000000000001	True	False	False	True	-1.6666530481626542	0.027027120741267247
SFTPA1	3	2.0865520036002017	0.03692864973107415	3	0.057666666666666665	False	False	False	False	1.131523064242657	0.3574267744227701
